ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,793068b9-b812-4fa8-b805-01e7a6ab3f78,1,,,,3825643,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6706, 'name': 'Francisco Casilla Cortés'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3063, 'name': 'Danilo Luiz da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5202, 'name': 'José Ignacio Fernández Iglesias'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5539, 'name': 'Carlos Henrique Casimiro'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 3990, 'name': 'Jesé Rodríguez Ruiz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Real Madrid,220,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9bb5d197-bc20-4411-ba95-ef7cfe62134a,2,,,,3825643,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 26753, 'name': 'Javier Varas Herrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 7906, 'name': 'David Simón Rodríguez Santana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8440, 'name': 'Aythami Artiles Oliva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 7907, 'name': 'Pedro Bigas Rigo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 26448, 'name': 'Javier Garrido Behovide'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 6929, 'name': 'José Vicente Gómez Umpiérrez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6608, 'name': 'Nabil El Zhar'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 6721, 'name': 'Willian José da Silva'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Las Palmas,208,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,eb0d5a83-4a8c-41bc-8780-7a4ded4cd83f,3,,,,3825643,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['157bdfeb-a76d-414f-8ca6-677ede0176bf'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,157bdfeb-a76d-414f-8ca6-677ede0176bf,4,,,,3825643,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['eb0d5a83-4a8c-41bc-8780-7a4ded4cd83f'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2b523043-9a50-4559-bbbc-45ce128e2e1b,2092,,,,3825643,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Las Palmas,208,['15852ca0-485d-4145-a7f6-25383f4127c5'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,15852ca0-485d-4145-a7f6-25383f4127c5,2093,,,,3825643,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Las Palmas,208,['2b523043-9a50-4559-bbbc-45ce128e2e1b'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.98183,,,,,,,,,,,,b3ee59bd-739f-4e45-9b72-96641d1ff6a3,5,,,"[60.0, 40.0]",3825643,0,True,,,2.3561945,,Right Foot,,,,"[58.9, 41.1]",,Ground Pass,,1.555635,,,,Francisco Román Alarcón Suárez,4926.0,,,,,,Kick Off,1,From Kick Off,Cristiano Ronaldo dos Santos Aveiro,5207.0,Center Forward,2,Real Madrid,220,['4db4fb3d-3c55-4150-98fe-7aac028153df'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.411,Pass,
,,,,,,,,,,,,,,,,1.190636,,,,,,,,,,,,c42270cf-9faf-40a2-9355-53fd783f3678,7,,,"[59.2, 41.7]",3825643,0,,,,-3.0643275,,Right Foot,,,,"[43.7, 40.5]",,Ground Pass,,15.546382,,,,Carlos Henrique Casimiro,5539.0,,,,,,,1,From Kick Off,Francisco Román Alarcón Suárez,4926.0,Right Wing,2,Real Madrid,220,['d05ab151-558f-4caf-90ae-6e97fe1637f8'],1,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:01.635,Pass,
,,,,,,,,,,,,,,,,1.074773,,,,,,,,,,,,c0b3876d-7976-48ac-ba17-bebbf3632d59,10,,,"[43.9, 40.5]",3825643,0,,,,-1.3184783,,Right Foot,,,,"[47.2, 27.7]",,Ground Pass,,13.218548,,,,Toni Kroos,5574.0,,,,,,,1,From Kick Off,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,2,Real Madrid,220,['5155ea40-27a5-478b-9302-b30c89dac32f'],3,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:03.556,Pass,
,,,,,,,,,,,,,,,,1.366198,,,,,,,,,,,,0b4c8ed4-687f-4630-a8c1-20b0b502f936,13,,,"[49.7, 23.1]",3825643,0,,,,-1.6945136,,Right Foot,,,,"[47.3, 3.8]",,Ground Pass,,19.44865,,,,Marcelo Vieira da Silva Júnior,5552.0,,,,,,,1,From Kick Off,Toni Kroos,5574.0,Left Center Midfield,2,Real Madrid,220,['1bd3386e-ac61-4199-baf3-efe7c733bc16'],6,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:06.087,Pass,
