bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9b4697cd-12e2-4d24-b13b-8bf38daaaa9b,1,,,3825658,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 6376, 'name': 'Stefan Savić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6320, 'name': 'Filipe Luís Kasmirski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 20669, 'name': 'Tiago Cardoso Mendes'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 6}, {'player': {'id': 5633, 'name': 'Yannick Ferreira Carrasco'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 17622, 'name': 'Jackson Arley Martínez Valencia'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Atlético Madrid,212,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,996f4c60-3cf9-410f-96e1-891820719485,2,,,3825658,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26633, 'name': 'Alberto Lora Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 6561, 'name': 'Luis Hernández Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 6573, 'name': 'Bernardo José Espinosa Zúñiga'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 23994, 'name': 'Alejandro Menéndez Díez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 13107, 'name': 'Sergio Álvarez Díaz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 18398, 'name': 'Omar Mascarell González'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 23838, 'name': 'Pablo Pérez Rodríguez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 6926, 'name': 'Alen Halilović'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 6602, 'name': 'Miguel Ángel Guerrero Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Sporting Gijón,1041,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e882e8dc-c0a0-44c4-b0cf-82c1e47c4bb3,3,,,3825658,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['b0ff5142-4074-4970-8b1b-71b1327a6bf7'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b0ff5142-4074-4970-8b1b-71b1327a6bf7,4,,,3825658,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['e882e8dc-c0a0-44c4-b0cf-82c1e47c4bb3'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6bc90fba-a06a-4507-9748-10ccea926de2,1634,,,3825658,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,89,Atlético Madrid,212,['1cf1dc11-c682-4b54-9358-6cc44acda13f'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1cf1dc11-c682-4b54-9358-6cc44acda13f,1635,,,3825658,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,89,Atlético Madrid,212,['6bc90fba-a06a-4507-9748-10ccea926de2'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.357652,,,,,,,,,,,,,abe8b0f6-3729-4fea-a4b1-bd39fcdb1a60,5,,"[61.0, 40.1]",3825658,0,,,,,2.176341,,Right Foot,,,"[58.3, 44.0]",,Ground Pass,,4.7434163,,,Jorge Resurrección Merodio,5199.0,,,,,Kick Off,1,From Kick Off,Jackson Arley Martínez Valencia,17622.0,Right Center Forward,2,Atlético Madrid,212,['6ca1e369-8c2a-410d-aa19-3fdf18b5597e'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.638,Pass,
,,,,,,,,,,,,,,,1.233378,,,,,,,,,,,,,28a6e32b-e529-4e27-95f7-627a4de1eff8,8,,"[56.7, 44.8]",3825658,0,,,,,-2.8848844,,Right Foot,,,"[40.7, 40.6]",,Ground Pass,,16.542068,,,Tiago Cardoso Mendes,20669.0,,,,,,1,From Kick Off,Jorge Resurrección Merodio,5199.0,Right Midfield,2,Atlético Madrid,212,['1ae088a2-f3b4-4d17-a508-8d1fa6abe78b'],1,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:01.356,Pass,
,,,,,,,,,,,,,,,1.309848,,,,,,,,,,,,,7f219c86-647b-4b09-b295-5f6b65f92678,12,,"[39.4, 37.7]",3825658,0,,,,,-1.4808437,,Left Foot,,,"[41.7, 12.2]",,Ground Pass,,25.603516,,,Filipe Luís Kasmirski,6320.0,,,,,,1,From Kick Off,Tiago Cardoso Mendes,20669.0,Left Defensive Midfield,2,Atlético Madrid,212,"['05649a2d-892f-44a7-9045-468960c34a4a', '5d9fd464-a3e5-4d6c-b498-0227d454f97c']",3,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:03.936,Pass,True
,,,,,,,,,,,,,,,2.26573,,,,,,,,,,,,,221653e8-dff3-444f-89f8-07558c3392a0,16,,"[45.7, 7.7]",3825658,0,,,,,0.24389407,,Left Foot,,,"[89.1, 18.5]",,High Pass,,44.723595,Incomplete,,Antoine Griezmann,5487.0,,,,,,1,From Kick Off,Filipe Luís Kasmirski,6320.0,Left Back,2,Atlético Madrid,212,"['1e832b68-37cd-406a-a771-2ab9fab6bfb8', '95e5e56c-40ab-4c10-b14b-7e2e7a411a94']",7,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:07.137,Pass,
