50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,42a111df-aded-4016-881d-755e1ee71c0d,1,,,,3825685,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6561, 'name': 'Luis Hernández Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8818, 'name': 'Jorge Meré Pérez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 6573, 'name': 'Bernardo José Espinosa Zúñiga'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 24263, 'name': 'Ismael López Blanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 18398, 'name': 'Omar Mascarell González'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 18925, 'name': 'Ignacio Cases Mora'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 6926, 'name': 'Alen Halilović'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 6880, 'name': 'Arnaldo Antonio Sanabria Ayala'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 40822, 'name': ""Daniel Arnaud N''Di\t""}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 33}]}",Sporting Gijón,1041,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8428e9ab-ad8a-454c-8dc3-06e941bd77f2,2,,,,3825685,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26753, 'name': 'Javier Varas Herrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 7906, 'name': 'David Simón Rodríguez Santana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8440, 'name': 'Aythami Artiles Oliva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 26448, 'name': 'Javier Garrido Behovide'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6929, 'name': 'José Vicente Gómez Umpiérrez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6608, 'name': 'Nabil El Zhar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 8167, 'name': 'Sergio Ezequiel Araújo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Las Palmas,208,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5358faeb-7e9c-495a-b48b-11103434cbdb,3,,,,3825685,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,['6a916939-9e6b-42ad-a8b9-fb691690ccd5'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6a916939-9e6b-42ad-a8b9-fb691690ccd5,4,,,,3825685,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,['5358faeb-7e9c-495a-b48b-11103434cbdb'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9a302910-cefd-46e8-98e4-75e821ca59d5,1629,,,,3825685,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,Sporting Gijón,1041,['fc6cd84d-1192-4c31-8816-f79e2865287e'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fc6cd84d-1192-4c31-8816-f79e2865287e,1630,,,,3825685,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,Sporting Gijón,1041,['9a302910-cefd-46e8-98e4-75e821ca59d5'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.324977,,,,,,,,,,,,,1671adc5-9898-45e4-b52f-bcd2291ad423,5,,,"[60.0, 40.0]",3825685,0,,,,,-1.7761917,,Right Foot,,,"[59.5, 37.6]",,Ground Pass,,2.4515302,,,,Daniel Arnaud N''Di	,40822.0,,,,,Kick Off,1,From Kick Off,Alen Halilović,6926.0,Right Midfield,2,Sporting Gijón,1041,['43e1285b-7d52-4950-a323-0c88066afd77'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.849,Pass,
,,,,,,,,,,,,,,,,1.214127,,,,,,,,,,,,,04989ee3-febf-41e4-8b9f-a6e9337939c4,7,,,"[58.8, 37.6]",3825685,0,,,,,3.1089954,,Left Foot,,,"[49.6, 37.9]",,Ground Pass,,9.20489,,,,Omar Mascarell González,18398.0,,,,,,1,From Kick Off,Daniel Arnaud N''Di	,40822.0,Left Center Forward,2,Sporting Gijón,1041,['59c7bf95-d0f2-4cf0-8f00-732da029f35b'],1,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:01.174,Pass,
,,,,,,,,,,,,,,,,2.863963,,,,,,,,,,,,,09c185fb-3fbe-42d3-a372-ab19eb3ff975,10,,,"[48.7, 44.9]",3825685,0,,,,,-0.6115341,,Right Foot,,,"[90.2, 15.8]",,High Pass,,50.685894,,Incomplete,,Arnaldo Antonio Sanabria Ayala,6880.0,,,,,,1,From Kick Off,Omar Mascarell González,18398.0,Right Defensive Midfield,2,Sporting Gijón,1041,"['20045d06-2021-4483-a2f8-9195594801cd', '66b35de9-3912-46e5-922c-58faca5e2b4d']",3,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:03.346,Pass,
,,,,,,,,,,,,,,,,1.966062,,,,,,,,,,,,,954bcb02-d381-4877-aa6d-0f19ef8be580,14,,,"[74.3, 26.2]",3825685,0,,,,,1.2757456,,Head,,,"[80.5, 46.6]",,Low Pass,,21.32135,,Incomplete,,Alen Halilović,6926.0,,,,,Recovery,1,From Kick Off,Ignacio Cases Mora,18925.0,Left Defensive Midfield,2,Sporting Gijón,1041,"['732bf9e4-bb0e-4d50-9cba-863e088cb024', 'b5867a3f-b255-4ca0-9d4b-a5fdbfde1208']",7,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:07.998,Pass,
