bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7d625087-93d3-4d3f-a132-793d62fe0fde,1,,,3825689,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 7577, 'name': 'Carles Planas Antolínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 19668, 'name': 'Augusto Matías Fernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 6801, 'name': 'Pedro Pablo Hernández'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 23785, 'name': ""Théo Bongonda Mbul''Ofeko Batombo""}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 6724, 'name': 'Manuel Agudo Durán'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 5217, 'name': 'Iago Aspas Juncal'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Celta Vigo,209,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2fc62454-a9e6-4fdc-ba40-7ca8f3c15510,2,,,3825689,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 24086, 'name': 'Antonio José Raillo Arenas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 4741, 'name': 'Juan Rafael Fuentes Hernández'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 27241, 'name': 'Víctor Guillermo Álvarez Delgado'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 5}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Espanyol,214,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,765ece78-41c4-4994-b207-2a8f7d9b0d18,3,,,3825689,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,['3d8ec667-0d82-45c6-9bc9-00d6a72f98d0'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3d8ec667-0d82-45c6-9bc9-00d6a72f98d0,4,,,3825689,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,['765ece78-41c4-4994-b207-2a8f7d9b0d18'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e27086f8-0966-47f4-9ebf-84144d84a8ef,1627,,,3825689,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,100,Espanyol,214,['4ff42952-0332-4c62-90dc-d5b67c6c6c83'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4ff42952-0332-4c62-90dc-d5b67c6c6c83,1628,,,3825689,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,100,Espanyol,214,['e27086f8-0966-47f4-9ebf-84144d84a8ef'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.697212,,,,,,,,,,,,81f5664d-bcb8-4c34-91b0-ea459ab301fb,5,,"[61.0, 40.1]",3825689,0,,,,,1.9513026,,Left Foot,,,,"[60.2, 42.1]",,Ground Pass,,2.1540658,,,,Fabián Ariel Orellana Valenzuela,7105.0,,,,,,Kick Off,1,From Kick Off,Iago Aspas Juncal,5217.0,Center Forward,2,Celta Vigo,209,['75eb2c11-c0f0-4616-b51b-7e96e11085f2'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.204,Pass,
,,,,,,,,,,,,,,,,1.913398,,,,,,,,,,,,5e4ab0a6-7eb7-46ac-a647-0131f54a058b,7,,"[60.3, 42.5]",3825689,0,,,,,-2.6680303,,Right Foot,,,,"[32.2, 28.1]",,Ground Pass,,31.574831,,,,Gustavo Daniel Cabral Cáceres,6794.0,,,,,,,1,From Kick Off,Fabián Ariel Orellana Valenzuela,7105.0,Center Attacking Midfield,2,Celta Vigo,209,['96fbc74d-1979-458e-a59d-ffb7da10319f'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.901,Pass,
,,,,,,,,,,,,,,,,2.734404,,,,,,,,,,,,d975b9d1-3d19-4600-bd7f-27e91ac1d870,10,,"[27.8, 46.0]",3825689,0,,,,,0.28783143,,Right Foot,,,,"[73.4, 59.5]",,High Pass,,47.55639,,Incomplete,,,,,,,,,,1,From Kick Off,Gustavo Daniel Cabral Cáceres,6794.0,Left Center Back,2,Celta Vigo,209,['8a9b1bbc-465f-4f00-943f-92464a91a324'],5,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:05.192,Pass,
,,,,,,,,,,,,,,,,1.110299,,,,,,,,,,,,8a9b1bbc-465f-4f00-943f-92464a91a324,12,,"[46.7, 20.6]",3825689,0,,,,True,-0.24220859,,,,,,"[63.7, 16.4]",,High Pass,,17.511139,,,,Víctor Guillermo Álvarez Delgado,27241.0,,,,,,Recovery,1,Regular Play,Papa Kouly Diop,6867.0,Left Defensive Midfield,3,Espanyol,214,"['89c1d4a4-e906-43dd-8296-720317d947c0', 'd975b9d1-3d19-4600-bd7f-27e91ac1d870', 'f7c130ff-45ee-4741-8b2c-8ec14657c109']",7,,,,,,,,,,,,,,,,,Espanyol,214,00:00:07.927,Pass,True
