bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e9189b72-578d-43f7-b5f0-2df5aef3e876,1,,,3825690,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 26753, 'name': 'Javier Varas Herrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 7906, 'name': 'David Simón Rodríguez Santana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 26448, 'name': 'Javier Garrido Behovide'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6929, 'name': 'José Vicente Gómez Umpiérrez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6934, 'name': 'Jerónimo Figueroa Cabrera'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 8167, 'name': 'Sergio Ezequiel Araújo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Las Palmas,208,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6fab0e14-a3f8-4401-86f5-da3d5fb0181c,2,,,3825690,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6654, 'name': 'Antonio Adán Garrido'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 11634, 'name': 'Cristiano Piccini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 27349, 'name': 'Heiko Westermann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 26801, 'name': 'Jordi Figueras Montel'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 27347, 'name': 'Juan Manuel Vargas Risco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 24162, 'name': 'Xavier Torres Buigues'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 27346, 'name': 'Petros Matheus dos Santos Araújo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 6651, 'name': 'Joaquín Sánchez Rodríguez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 26723, 'name': 'Álvaro Cejudo Carmona'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 16}, {'player': {'id': 6630, 'name': 'Jorge Molina Vidal'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 24}]}",Real Betis,218,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,30884ddc-97a4-46ec-b2f0-a732e6d5de54,3,,,3825690,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['97f3d4cd-9c35-425d-9557-6dc8e4fffe84'],0,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,97f3d4cd-9c35-425d-9557-6dc8e4fffe84,4,,,3825690,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['30884ddc-97a4-46ec-b2f0-a732e6d5de54'],0,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,51b201ff-7aea-4eef-9a3a-83842af6b623,1675,,,3825690,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,113,Real Betis,218,['c609cbf2-6953-4c6d-8655-d14454083faf'],0,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c609cbf2-6953-4c6d-8655-d14454083faf,1676,,,3825690,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,113,Real Betis,218,['51b201ff-7aea-4eef-9a3a-83842af6b623'],0,,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.407279,,,,,,,,,,,,,e82e7f06-7b50-4899-b506-0f4340a09976,5,,"[60.0, 40.0]",3825690,0,,True,,,1.6756732,,Right Foot,,,,"[59.6, 43.8]",,Ground Pass,,3.8209946,,,,,Pedro Taunausú Domínguez Placeres,6928.0,,,,,Kick Off,1,From Kick Off,Sergio Ezequiel Araújo,8167.0,Center Forward,2,Las Palmas,208,['e6e49c4f-4a51-480f-9361-6cfed0a244ba'],0,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.575,Pass,
,,,,,,,,,,,,,,,,,2.236582,,,,,,,,,,,,,943d247b-25d9-4fff-a3ff-0502d4962d67,7,,"[60.7, 41.1]",3825690,0,,,,,3.113029,,Right Foot,,,,"[32.7, 41.9]",,Ground Pass,,28.011427,,,,,Hernán Daniel Santana Trujillo,15805.0,,,,,,1,From Kick Off,Pedro Taunausú Domínguez Placeres,6928.0,Center Attacking Midfield,2,Las Palmas,208,['b5561ed0-d163-450b-a297-60f6780c8b68'],1,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:01.550,Pass,
,,,,,,,,,,,,,,,,,2.48336,,,,,,,,,,,,,d4f89f42-c2ae-4d9a-af4f-5e008ad0b825,10,,"[27.2, 43.4]",3825690,0,,,,,-0.5955659,,Right Foot,,,,"[69.7, 14.6]",,High Pass,,51.33897,,,,,José Vicente Gómez Umpiérrez,6929.0,,,,,,1,From Kick Off,Hernán Daniel Santana Trujillo,15805.0,Right Center Back,2,Las Palmas,208,['e3e92881-54fc-4d56-a0bd-7f6498f596fc'],5,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:05.254,Pass,
,,,,,,,,,,,,,,,,,1.704404,,,,,,,,,,,,,ada5cd20-0545-478c-aadf-09bc77886ada,12,,"[70.6, 14.2]",3825690,0,,,,,0.08314123,,Head,,,,"[80.2, 15.0]",,High Pass,,9.633276,,,Incomplete,,,,,,,,,1,From Kick Off,José Vicente Gómez Umpiérrez,6929.0,Left Defensive Midfield,2,Las Palmas,208,['95496b8e-63d8-48d0-8177-a41a9f044100'],7,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:07.747,Pass,
