bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7514fbaf-1d42-4738-95d9-d0cc124848e1,1,,,,3825764,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8697, 'name': 'Andrés Eduardo Fernández Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 20064, 'name': 'Hugo Miguel Almeida Costa Lopes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6702, 'name': 'David Rodríguez Lombán'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 19454, 'name': 'Ricardo Miguel Moreira da Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 4546, 'name': 'Dimitri Foulquier'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 6599, 'name': 'Rubén Salvador Pérez Del Mármol'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 25707, 'name': 'Francisco Manuel Rico Castro'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6918, 'name': 'Isaac Ajayi Success'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6680, 'name': 'Rubén Rochina Naixes'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 6847, 'name': 'Adalberto Peñaranda Maestre'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 26248, 'name': 'David Barral Torres'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Granada,1049,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c1de031d-0d14-432b-9e9d-7b056d126be3,2,,,,3825764,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5117f5c6-cdb0-48b2-a9a2-7e9c0e16bfbf,3,,,,3825764,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['98c79223-5877-4410-a982-2230a3480e1e'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,98c79223-5877-4410-a982-2230a3480e1e,4,,,,3825764,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['5117f5c6-cdb0-48b2-a9a2-7e9c0e16bfbf'],0,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4833c871-02c2-4c9d-8cca-2a1147a2163f,2051,,,,3825764,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Real Madrid,220,['f18ba6d9-4c7c-467c-8108-1907b4f21329'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f18ba6d9-4c7c-467c-8108-1907b4f21329,2052,,,,3825764,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Real Madrid,220,['4833c871-02c2-4c9d-8cca-2a1147a2163f'],0,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.015639,,,,,,,,,,,,08253525-5b57-48a4-a797-c2d14f6465c8,5,,,"[61.0, 40.1]",3825764,0,,,,-2.010639,,Right Foot,,,,"[60.2, 38.4]",,Ground Pass,,1.8788295,,,,Rubén Rochina Naixes,6680.0,,,,,Kick Off,1,From Kick Off,David Barral Torres,26248.0,Center Forward,2,Granada,1049,['21e502cc-ae67-4bd7-83a7-7f40ece85160'],0,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.461,Pass,
,,,,,,,,,,,,,,,1.520123,,,,,,,,,,,,1de44bdc-af83-4a8c-a666-e1f2d66da9fb,8,,,"[59.6, 38.2]",3825764,0,,,,-2.8131309,,Left Foot,,,,"[37.3, 30.6]",,Ground Pass,,23.5595,,,,Ricardo Miguel Moreira da Costa,19454.0,,,,,,1,From Kick Off,Rubén Rochina Naixes,6680.0,Center Attacking Midfield,2,Granada,1049,['5b022561-5c60-4934-8a92-7446b41eadb1'],1,,,,,,,,,,,,,,,,,Granada,1049,00:00:01.152,Pass,
,,,,,,,,,,,,,,,3.242387,,,,,,,,,,,,e30e3308-1baf-4cc9-84e3-e4e8e0ca1a1f,11,,,"[39.0, 32.5]",3825764,0,,,,0.7853982,,Right Foot,,,,"[85.2, 78.7]",,High Pass,,65.33667,,Incomplete,,Isaac Ajayi Success,6918.0,,True,,,,1,From Kick Off,Ricardo Miguel Moreira da Costa,19454.0,Left Center Back,2,Granada,1049,"['b0223a6b-7df0-49c0-832c-f428cef1fd40', 'b656fd2f-5f92-4d2e-a65c-ea6f7199441c']",4,,,,,,,,,,,,,,,,,Granada,1049,00:00:04.142,Pass,
,,,,,,,,,,,,,,,0.088979,,,,,,,,,,,,b0223a6b-7df0-49c0-832c-f428cef1fd40,14,,,"[34.9, 1.4]",3825764,0,,,True,0.35877067,,,,,,"[37.3, 2.3]",,High Pass,,2.5632012,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Marcelo Vieira da Silva Júnior,5552.0,Left Back,2,Granada,1049,"['c9944e45-9d0b-41e3-9614-b61a8c4a658a', 'e30e3308-1baf-4cc9-84e3-e4e8e0ca1a1f', 'f59a6eba-7690-499d-95ac-40a492802e40']",7,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:07.384,Pass,True
,,,,,,,,,,,,,,,1.973072,,,,,,,,,,,,a8482ccb-3e06-49af-bc6a-5886b443ab84,16,,,"[35.8, 0.1]",3825764,0,True,,,2.3952372,,,,,,"[22.5, 12.4]",,Low Pass,,18.11574,,,,Sergio Ramos García,5201.0,,,,,Throw-in,1,From Throw In,Marcelo Vieira da Silva Júnior,5552.0,Left Back,3,Real Madrid,220,['31662043-fc0d-442e-b74e-43dec9f8b586'],16,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:16.999,Pass,
,,,,,,,,,,,,,,,2.531497,,,,,,,,,,,,c59ecd2f-bedf-45d6-b158-0bb7ad39b780,18,,,"[19.1, 12.8]",3825764,0,True,,,1.5336387,,Right Foot,,,,"[20.1, 39.7]",,Ground Pass,,26.918581,,,,Raphaël Varane,5485.0,,,,,,1,From Throw In,Sergio Ramos García,5201.0,Left Center Back,3,Real Madrid,220,['d1be2532-afeb-474c-8dd2-cff14de3d1a2'],18,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:18.993,Pass,
,,,,,,,,,,,,,,,1.905097,,,,,,,,,,,,29be7569-20d0-482f-9b4f-8306e974c29c,20,,,"[20.1, 39.7]",3825764,0,,,,1.167757,,Right Foot,,,,"[34.0, 72.3]",,Ground Pass,,35.439667,,,,Daniel Carvajal Ramos,5721.0,,,,,,1,From Throw In,Raphaël Varane,5485.0,Right Center Back,3,Real Madrid,220,['3ffaf3b3-202b-4998-9b78-c26289f67901'],22,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:22.454,Pass,
,,,,,,,,,,,,,,,2.216097,,,,,,,,,,,,fa5f0e3e-0d61-4484-9073-616f4f20d368,23,,,"[37.3, 71.7]",3825764,0,,,,-2.3298848,,Right Foot,,,,"[18.8, 52.2]",,Ground Pass,,26.87936,,,,Raphaël Varane,5485.0,,,,,,1,From Throw In,Daniel Carvajal Ramos,5721.0,Right Back,3,Real Madrid,220,['c748f34b-8326-4bdb-b13a-44a568a06fe1'],25,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:25.433,Pass,
,,,,,,,,,,,,,,,3.01123,,,,,,,,,,,,64899a4c-12f6-4579-82bb-c16e0873ceb6,26,,,"[18.8, 52.2]",3825764,0,,,,-1.0164187,,Right Foot,,,,"[49.2, 3.1]",,Low Pass,,57.7492,,,,Marcelo Vieira da Silva Júnior,5552.0,,True,,,,1,From Throw In,Raphaël Varane,5485.0,Right Center Back,3,Real Madrid,220,['254fd6e2-716c-45f5-b49c-66f47fffcabb'],28,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:28.186,Pass,
