bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,874e40cc-8bd4-4c62-bf0d-5bf413a5a770,1,,,3825811,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 5598, 'name': 'Óscar Esau Duarte Gaitán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 27148, 'name': 'Abraham González Casanova'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 6624, 'name': 'Jorge Franco Alviz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Espanyol,214,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f23fe294-aab5-49a6-9123-293a6b9c5fae,2,,,3825811,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 10612, 'name': 'Yoel Rodríguez Oterino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6914, 'name': 'Roberto Román Triguero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6713, 'name': 'Diego Javier Llorente Ríos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 27}, {'player': {'id': 18404, 'name': 'José Ángel Crespo Rincón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 11298, 'name': 'José Ignacio Martínez García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 26848, 'name': 'Roberto Trashorras Gayoso'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 26607, 'name': 'José Raúl Baena Urdiales'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 11539, 'name': 'Adrián Embarba Blázquez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 24782, 'name': 'Jonhatan Montiel Caballero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 26}, {'player': {'id': 7900, 'name': 'Tiago Manuel Dias Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 26690, 'name': 'Alberto Mateus Contreiras Gonçalves'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Rayo Vallecano,360,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,eabb7748-0211-4906-ad92-cf8844b61661,3,,,3825811,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['9147bf78-613c-4b68-844e-0e4889f3842c'],0,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9147bf78-613c-4b68-844e-0e4889f3842c,4,,,3825811,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['eabb7748-0211-4906-ad92-cf8844b61661'],0,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9378170a-7312-4134-b8a8-dc40ee8ec3ae,1695,,,3825811,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Espanyol,214,['9b8b8bb4-dac0-45e5-a65d-df6068750f9d'],0,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9b8b8bb4-dac0-45e5-a65d-df6068750f9d,1696,,,3825811,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Espanyol,214,['9378170a-7312-4134-b8a8-dc40ee8ec3ae'],0,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.237434,,,,,,,,,,,,,b8ec4e64-32a4-4459-8a4b-5569336b6162,5,,"[61.0, 40.1]",3825811,0,,,,,-2.4037776,,Right Foot,,,,"[59.9, 39.1]",,Ground Pass,,1.4866068,,,,Alberto Mateus Contreiras Gonçalves,26690.0,,,,,,Kick Off,1,From Kick Off,Jonhatan Montiel Caballero,24782.0,Center Attacking Midfield,2,Rayo Vallecano,360,['762ed00d-e99a-4f71-8e31-a9ef7617fa9a'],0,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.583,Pass,
,,,,,,,,,,,,,,,,,,1.111925,,,,,,,,,,,,,289078ed-378e-496d-9801-eea88180fc0e,7,,"[60.2, 40.4]",3825811,0,,,,,3.0069947,,Left Foot,,,,"[50.6, 41.7]",,Ground Pass,,9.687621,,,,Roberto Trashorras Gayoso,26848.0,,,,,,,1,From Kick Off,Alberto Mateus Contreiras Gonçalves,26690.0,Center Forward,2,Rayo Vallecano,360,['63c4c700-da6d-4960-b858-4cc910f6e56f'],0,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.821,Pass,
,,,,,,,,,,,,,,,,,,1.524078,,,,,,,,,,,,,ac0225e3-bc36-40b5-a8a3-262912b75f0c,10,,"[50.1, 47.4]",3825811,0,,,,,2.7739224,,Right Foot,,,,"[36.6, 52.6]",,Ground Pass,,14.466859,,,,Diego Javier Llorente Ríos,6713.0,,,,,,,1,From Kick Off,Roberto Trashorras Gayoso,26848.0,Right Defensive Midfield,2,Rayo Vallecano,360,['0cea06be-a2d5-42a0-89c9-228acdfe738f'],2,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:02.863,Pass,
,,,,,,,,,,,,,,,,,,1.955827,,,,,,,,,,,,,9c06abff-4773-450c-abe5-77f853f0303e,13,,"[36.4, 52.6]",3825811,0,,,,,-1.9241666,,Right Foot,,,,"[27.4, 28.2]",,Ground Pass,,26.006922,,,,José Ángel Crespo Rincón,18404.0,,,,,,,1,From Kick Off,Diego Javier Llorente Ríos,6713.0,Right Center Back,2,Rayo Vallecano,360,['e7e34d70-2c0d-43bc-abfa-2335dee37a61'],5,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:05.372,Pass,
