bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7550bf9c-f0f3-45c2-9b7e-72a27a43fbb2,1,,,3825821,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5598, 'name': 'Óscar Esau Duarte Gaitán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 27148, 'name': 'Abraham González Casanova'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Espanyol,214,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cbdabc4e-5296-4523-b2ba-ae9217b39baa,2,,,3825821,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6386, 'name': 'Eneko Bóveda Altube'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6788, 'name': 'Xabier Etxeita Gorritxategi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6388, 'name': 'Ander Iturraspe Derteano'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6656, 'name': 'Mikel Rico Moreno'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 6606, 'name': 'Javier Eraso Goñi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 6392, 'name': 'Íñigo Lekue Martínez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 30}, {'player': {'id': 6394, 'name': 'Aritz Aduriz Zubeldia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Athletic Club,215,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1ed47a66-2ae5-464d-93e1-ea0649bb41dc,3,,,3825821,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['9bad5258-e296-4c11-8ef1-2fccac90786a'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9bad5258-e296-4c11-8ef1-2fccac90786a,4,,,3825821,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['1ed47a66-2ae5-464d-93e1-ea0649bb41dc'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,195a5c8d-b20a-4f99-9bb0-36879b8ba985,1771,,,3825821,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,100,Espanyol,214,['a5365b09-5be5-4461-8108-24903523dfe8'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a5365b09-5be5-4461-8108-24903523dfe8,1772,,,3825821,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,100,Espanyol,214,['195a5c8d-b20a-4f99-9bb0-36879b8ba985'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,2.392481,,,,,,,,,,,,1dd1d903-d288-4c88-82cc-d66a107c8d40,5,,"[61.0, 40.1]",3825821,0,,,,,2.8588557,,Left Foot,,,"[28.3, 49.6]",,Ground Pass,,34.052017,,,,Enzo Pablo Roco Roco,16456.0,,,,,Kick Off,1,From Kick Off,Gerard Moreno Balaguero,6766.0,Center Forward,2,Espanyol,214,['7e8cc84e-e238-461f-a768-f6ccc6ea81df'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.596,Pass,
,,,,,,,,,,,,,,,2.227871,,,,,,,,,,,,403d79cf-d41f-407e-a8f2-bc68cb7a222c,8,,"[27.8, 50.1]",3825821,0,,,,,-0.06743572,,Right Foot,,,"[73.7, 47.0]",,High Pass,,46.004566,,Incomplete,,Gerard Moreno Balaguero,6766.0,,,,,,1,From Kick Off,Enzo Pablo Roco Roco,16456.0,Right Center Back,2,Espanyol,214,"['bd207a03-d86d-4b98-b5a5-ba72c420ea38', 'f3e8881d-4ee4-4417-8b7a-57fccfda0489']",4,,,,,,,,,,,,,,,,,Espanyol,214,00:00:04.188,Pass,
,,,,,,,,,,,,,,,1.802657,,,,,,,,,,,,bd207a03-d86d-4b98-b5a5-ba72c420ea38,11,,"[46.4, 33.1]",3825821,0,,,,True,-2.9945142,,,,,"[32.9, 31.1]",,Low Pass,,13.647344,,,,Mikel Balenziaga Oruesagasti,6789.0,,,,,Recovery,1,Regular Play,Aymeric Laporte,4353.0,Left Center Back,3,Athletic Club,215,"['403d79cf-d41f-407e-a8f2-bc68cb7a222c', 'aee5b4a0-73a1-46a1-a07b-0594583ba27d', 'f51c2173-c485-4ddb-ac87-e3aca7682adf']",6,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:06.416,Pass,True
,,,,,,,,,,,,,,,3.030127,,,,,,,,,,,,6d731812-a3b5-4b92-8b4d-8e36f37a53f1,14,,"[32.2, 31.0]",3825821,0,,,,,2.509902,,Left Foot,,,"[11.7, 46.0]",,Ground Pass,,25.401772,,,,Gorka Iraizoz Moreno,6576.0,,,,,,1,Regular Play,Mikel Balenziaga Oruesagasti,6789.0,Left Back,3,Athletic Club,215,['849cdbe4-83d9-464b-9834-777406a15f2f'],8,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:08.444,Pass,
