50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,00194db0-ecd0-46d2-8f82-df4cf2e72eda,1,,,3825826,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8697, 'name': 'Andrés Eduardo Fernández Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 20064, 'name': 'Hugo Miguel Almeida Costa Lopes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 4498, 'name': 'Jean-Sylvain Claude Babin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 19454, 'name': 'Ricardo Miguel Moreira da Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 7158, 'name': 'Cristiano Biraghi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6599, 'name': 'Rubén Salvador Pérez Del Mármol'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 3292, 'name': 'Abdoulaye Doucouré'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6918, 'name': 'Isaac Ajayi Success'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6680, 'name': 'Rubén Rochina Naixes'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 26776, 'name': 'Juan Isaac Cuenca López'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 27109, 'name': 'Youssef El-Arabi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Granada,1049,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bd0fff73-8ce7-46be-b512-1ed504a35852,2,,,3825826,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5577, 'name': 'Francisco Guillermo Ochoa Magaña'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6727, 'name': 'Raúl Albentosa Redal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 26669, 'name': 'Weligton Róbson Pena de Oliveira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6844, 'name': 'Federico Ricca Rostagnol'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6580, 'name': 'José Luis García del Pozo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8234, 'name': 'Ignacio Camacho Barnola'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6563, 'name': 'Juan Pablo Añor Acosta'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 28}, {'player': {'id': 6740, 'name': 'Gonzalo Castro Irizábal'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 5}, {'player': {'id': 26783, 'name': 'Roque Luis Santa Cruz Cantero'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 8419, 'name': 'Duje Čop'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Málaga,223,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c7e3e888-d8d0-4394-89fa-f581bd81fc6e,3,,,3825826,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['deec8b42-dbe6-4659-8df6-d513620c82e8'],0,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,deec8b42-dbe6-4659-8df6-d513620c82e8,4,,,3825826,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['c7e3e888-d8d0-4394-89fa-f581bd81fc6e'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,aec54b78-cd21-4707-bcef-adf727dafc8e,1567,,,3825826,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,88,Granada,1049,['22bf62b5-72aa-4728-a656-227a6db618f5'],0,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,22bf62b5-72aa-4728-a656-227a6db618f5,1568,,,3825826,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,88,Granada,1049,['aec54b78-cd21-4707-bcef-adf727dafc8e'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.214476,,,,,,,,,,,,,,319b508a-0ca0-4971-a4ad-0341e5b5a479,5,,"[60.0, 40.0]",3825826,0,,,,,-1.3734008,,Right Foot,,,,"[60.4, 38.0]",Ground Pass,,2.0396078,,,,,Roque Luis Santa Cruz Cantero,26783.0,,,,,,Kick Off,1,From Kick Off,Duje Čop,8419.0,Left Center Forward,2,Málaga,223,['04aa46af-9233-4e75-ba93-6562ec9f8dbf'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.213,Pass,
,,,,,,,,,,,,,,,,2.291664,,,,,,,,,,,,,,26299a8a-15f4-4b45-8a68-679460b0d63b,7,,"[60.3, 37.7]",3825826,0,,,,,-3.0912755,,Right Foot,,,,"[32.5, 36.3]",Ground Pass,,27.83523,,,,,Weligton Róbson Pena de Oliveira,26669.0,,,,,,,1,From Kick Off,Roque Luis Santa Cruz Cantero,26783.0,Right Center Forward,2,Málaga,223,['c130dbf7-6026-4ed2-954e-2e0e7f08188e'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.427,Pass,
,,,,,,,,,,,,,,,,2.394283,,,,,,,,,,,,,,f92516ff-17b1-4342-b15d-3838b181ad89,10,,"[32.5, 36.3]",3825826,0,,,,,0.30714336,,Left Foot,,,,"[77.9, 50.7]",High Pass,,47.628983,,,,,Roque Luis Santa Cruz Cantero,26783.0,,,,,,,1,From Kick Off,Weligton Róbson Pena de Oliveira,26669.0,Left Center Back,2,Málaga,223,['36b6ddb1-a5bc-4ffb-b0db-7b4c85054862'],3,,,,,,,,,,,,,,,,,Málaga,223,00:00:03.901,Pass,
,,,,,,,,,,,,,,,,1.273747,,,,,,,,,,,,,,685e15f6-0a9d-4738-ad22-aa0cd429017b,12,,"[77.9, 50.7]",3825826,0,,,,,1.2709111,,Right Foot,,,,"[82.6, 65.9]",Ground Pass,,15.91006,,,,,Juan Pablo Añor Acosta,6563.0,,,,,,,1,From Kick Off,Roque Luis Santa Cruz Cantero,26783.0,Right Center Forward,2,Málaga,223,['66a421b7-c608-44d1-9066-53f7913fedc9'],6,,,,,,,,,,,,,,,,,Málaga,223,00:00:06.296,Pass,
