50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,94d27401-b4f5-460a-a8e3-42ff69671f2e,1,,,3825866,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7905, 'name': 'Raúl Lizoáin Cruz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6927, 'name': 'David García Santana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 8440, 'name': 'Aythami Artiles Oliva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 7907, 'name': 'Pedro Bigas Rigo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 6929, 'name': 'José Vicente Gómez Umpiérrez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 24}, {'player': {'id': 15602, 'name': 'Juan Carlos Valerón Santana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 6721, 'name': 'Willian José da Silva'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Las Palmas,208,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,51cd8cd2-4c09-4b52-baf1-d00232b007e0,2,,,3825866,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 10}, {'player': {'id': 6386, 'name': 'Eneko Bóveda Altube'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 12191, 'name': 'Gorka Elustondo Urkola'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6389, 'name': 'Mikel San José Domínguez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6393, 'name': 'Iñaki Williams Arthuer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 6391, 'name': 'Raúl García Escudero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 6842, 'name': 'Iker Muniain Goñi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 6394, 'name': 'Aritz Aduriz Zubeldia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Athletic Club,215,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,649501a0-853c-425a-8418-e15b7e1b987d,3,,,3825866,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['9f3b9dc5-81bc-4991-a119-51f776446f7b'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9f3b9dc5-81bc-4991-a119-51f776446f7b,4,,,3825866,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['649501a0-853c-425a-8418-e15b7e1b987d'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,730abee2-bd34-4699-bf2c-965e97b1acd8,1971,,,3825866,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,114,Las Palmas,208,['e81b359f-1e53-4a49-b150-152f1c70d561'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e81b359f-1e53-4a49-b150-152f1c70d561,1972,,,3825866,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,114,Las Palmas,208,['730abee2-bd34-4699-bf2c-965e97b1acd8'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.947512,,,,,,,,,,,,71847a1f-2c81-4109-bb73-ecc01d9ee1e1,5,,"[60.0, 40.0]",3825866,0,,,,,-2.7593546,,Right Foot,,,"[40.1, 32.0]",Ground Pass,,21.447844,,,,Gorka Elustondo Urkola,12191.0,,,,,,Kick Off,1,From Kick Off,Aritz Aduriz Zubeldia,6394.0,Center Forward,2,Athletic Club,215,['470fa5d6-e6be-4580-95ee-94f1f134ddd0'],1,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:01.158,Pass,
,,,,,,,,,,,,,,,,3.998869,,,,,,,,,,,,bf5694ee-6483-4967-a43d-f4d768dcc953,8,,"[40.8, 32.3]",3825866,0,,,,,0.6306411,,Right Foot,,,"[92.3, 69.9]",High Pass,,63.765274,,Incomplete,,,,,,,,,,1,From Kick Off,Gorka Elustondo Urkola,12191.0,Left Center Back,2,Athletic Club,215,['52db3988-d4c1-499b-a975-a697fc921b6f'],3,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:03.860,Pass,
,,,,,,,,,,,,,,,,1.499101,,,,,,,,,,,,52db3988-d4c1-499b-a975-a697fc921b6f,9,,"[27.8, 10.2]",3825866,0,,,,,-0.15865526,,Head,,,"[45.3, 7.4]",Low Pass,,17.722584,,,,Jonathan Viera Ramos,10755.0,,,,,,Recovery,1,From Kick Off,Dani Castellano Betancor,6932.0,Left Back,2,Athletic Club,215,"['bf5694ee-6483-4967-a43d-f4d768dcc953', 'c38ef94e-f6d0-4de3-836a-8817e1d90507']",7,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:07.859,Pass,
,,,,,,,,,,,,,,,,1.048423,,,,,,,,,,,,d32cf5f8-0f05-4bd6-bfe0-4b56062d3dc9,12,,"[45.2, 7.4]",3825866,0,,,,,-1.076855,,Right Foot,,,"[46.6, 4.8]",Low Pass,,2.9529645,,Incomplete,,Dani Castellano Betancor,6932.0,,,,,,,1,From Kick Off,Jonathan Viera Ramos,10755.0,Left Wing,2,Athletic Club,215,"['381acc43-fb50-452f-b844-ffab8a99a26f', '55e330dc-6fb0-4235-9883-4317aae78aae']",10,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:10.072,Pass,
