50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cba60b58-42f5-4fd4-882c-60f302f20206,1,,,3825885,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,,0,,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 24255, 'name': 'Juan Carlos Martín Corral'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 24138, 'name': 'Joaquín José Marín Ruiz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 18404, 'name': 'José Ángel Crespo Rincón'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 22}, {'player': {'id': 6914, 'name': 'Roberto Román Triguero'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 4711, 'name': 'Pablo Hernández Domínguez'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 14}, {'player': {'id': 7900, 'name': 'Tiago Manuel Dias Correia'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 23}, {'player': {'id': 6713, 'name': 'Diego Javier Llorente Ríos'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 26607, 'name': 'José Raúl Baena Urdiales'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 26848, 'name': 'Roberto Trashorras Gayoso'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 11542, 'name': 'Javier Guerra Rodríguez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 26685, 'name': 'Nicolás Ladislao Fedor Flores'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Rayo Vallecano,360,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,05c1d1ae-4a88-42ee-a1e8-9fadf98ae02c,2,,,3825885,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6856, 'name': 'Carlos Martín Vigaray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 27403, 'name': 'Santiago Vergini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6861, 'name': 'Juan Torres Ruiz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 27054, 'name': 'Roberto Lago Soto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 6736, 'name': 'Álvaro Medrán Just'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15893, 'name': 'Víctor Rodríguez Romero'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 24035, 'name': 'Álvaro Vázquez García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Getafe,216,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,aef2cd92-55a9-4928-9c16-d88728d38b85,3,,,3825885,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,['1817e13d-c0b5-410a-b318-3ecf235946a2'],0,,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1817e13d-c0b5-410a-b318-3ecf235946a2,4,,,3825885,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,['aef2cd92-55a9-4928-9c16-d88728d38b85'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,16b72fd5-d4c3-4d18-af39-0f13cd62b075,1366,,,3825885,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,110,Rayo Vallecano,360,['be63e40e-ac5b-4c46-b36f-ab0ef2f4fa01'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,be63e40e-ac5b-4c46-b36f-ab0ef2f4fa01,1367,,,3825885,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,110,Rayo Vallecano,360,['16b72fd5-d4c3-4d18-af39-0f13cd62b075'],0,,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.798995,,,,,,,,,,,,,,571b4ac8-9903-4aa0-98ba-20c5934593d3,5,,"[61.0, 40.1]",3825885,0,,,,,2.9441972,,Right Foot,,,,"[60.0, 40.3]",,Ground Pass,,1.0198039,,,,,Pablo Sarabia García,6720.0,,,,,Kick Off,1,From Kick Off,Álvaro Vázquez García,24035.0,Center Forward,2,Getafe,216,['a4f911a1-8601-4419-bc05-7772c4ba53b2'],0,,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.548,Pass,
,,,,,,,,,,,,,,,,,,,0.789976,,,,,,,,,,,,,,107f94ec-6991-4c68-b40a-643a46acfb60,8,,"[59.8, 39.9]",3825885,0,,,,,3.0819619,,Right Foot,,,,"[53.1, 40.3]",,Ground Pass,,6.71193,,,,,Mehdi Lacen,6745.0,,,,,,1,From Kick Off,Pablo Sarabia García,6720.0,Right Midfield,2,Getafe,216,['687addd7-e4a5-413f-af66-7df08991cc75'],1,,,,,,,,,,,,,,,,,,Getafe,216,00:00:01.387,Pass,
,,,,,,,,,,,,,,,,,,,1.778895,,,,,,,,,,,,,,4360d55a-4aaf-4f28-b9d5-127eb2d79407,11,,"[52.4, 40.6]",3825885,0,,,,,-2.0824552,,Left Foot,,,,"[37.8, 14.6]",,Ground Pass,,29.818787,,,,,Roberto Lago Soto,27054.0,,,,,,1,From Kick Off,Mehdi Lacen,6745.0,Left Center Midfield,2,Getafe,216,['04f87551-ac9c-4656-97d3-868a95f55120'],2,,,,,,,,,,,,,,,,,,Getafe,216,00:00:02.641,Pass,
,,,,,,,,,,,,,,,,,,,1.748058,,,,,,,,,,,,,,49e39ec2-4641-4ab7-89a6-124dce30ef22,14,,"[37.8, 14.6]",3825885,0,,,,,0.13493662,,Left Foot,,,,"[68.0, 18.7]",,Ground Pass,,30.477041,,,,,Álvaro Vázquez García,24035.0,,,,,,1,From Kick Off,Roberto Lago Soto,27054.0,Left Back,2,Getafe,216,['3b0e435e-9e31-43ca-83b9-3831d0c4358f'],4,,,,,,,,,,,,,,,,,,Getafe,216,00:00:04.500,Pass,
