50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,67d2c8df-4e72-467b-a7b9-3f93759475a3,1,,,3825891,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Espanyol,214,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0e69c1b9-3b82-4faf-8a6f-ce49727763f9,2,,,3825891,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26753, 'name': 'Javier Varas Herrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 7906, 'name': 'David Simón Rodríguez Santana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8440, 'name': 'Aythami Artiles Oliva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6929, 'name': 'José Vicente Gómez Umpiérrez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6934, 'name': 'Jerónimo Figueroa Cabrera'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 26689, 'name': 'Nauzet Alemán Viera'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 8167, 'name': 'Sergio Ezequiel Araújo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Las Palmas,208,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,53a3428d-4125-40f4-8a0c-edf2ded2c792,3,,,3825891,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['017bb3e3-a38a-4ac6-aa26-03cc69a37a8f'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,017bb3e3-a38a-4ac6-aa26-03cc69a37a8f,4,,,3825891,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['53a3428d-4125-40f4-8a0c-edf2ded2c792'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5bb11c72-e3c5-4da5-9872-d5dd726b90d7,1676,,,3825891,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,105,Espanyol,214,['ed3f971d-4e75-46d8-84c1-455d6ada2ea7'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ed3f971d-4e75-46d8-84c1-455d6ada2ea7,1677,,,3825891,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,105,Espanyol,214,['5bb11c72-e3c5-4da5-9872-d5dd726b90d7'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.530766,,,,,,,,,,,,,8979eef5-a5ea-4c36-9a87-2db8f9ccd1b7,5,,"[60.0, 40.0]",3825891,0,,,,-1.6262949,,Left Foot,,,"[59.9, 38.2]",,Ground Pass,,1.8027756,,,,Marco Asensio Willemsen,5719.0,,,,,,Kick Off,1,From Kick Off,Hernán Arsenio Pérez González,6838.0,Right Wing,2,Espanyol,214,['d7f8a999-7d42-4d9e-81d1-5076d63d0bc7'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.533,Pass,
,,,,,,,,,,,,,,,,,,1.0384,,,,,,,,,,,,,d1ab37b6-28fa-4ed1-a0a5-afe671525cdd,8,,"[59.9, 37.7]",3825891,0,,,,-3.0742102,,Left Foot,,,"[43.6, 36.6]",,Ground Pass,,16.337074,,,,Papa Kouly Diop,6867.0,,,,,,,1,From Kick Off,Marco Asensio Willemsen,5719.0,Center Attacking Midfield,2,Espanyol,214,['5bff9d5d-9f60-4902-bd59-d528bbab4d52'],1,,,,,,,,,,,,,,,,,Espanyol,214,00:00:01.619,Pass,
,,,,,,,,,,,,,,,,,,1.671222,,,,,,,,,,,,,2b7fe841-0f35-4613-ad04-8b75965d1974,11,,"[43.6, 36.6]",3825891,0,,,,2.5433471,,Right Foot,,,"[25.7, 48.8]",,Ground Pass,,21.66218,,,,Álvaro González Soberón,6762.0,,,,,,,1,From Kick Off,Papa Kouly Diop,6867.0,Left Defensive Midfield,2,Espanyol,214,['1f59ee2c-949a-467f-9c0e-510922d42d16'],3,,,,,,,,,,,,,,,,,Espanyol,214,00:00:03.354,Pass,
,,,,,,,,,,,,,,,,,,1.581554,,,,,,,,,,,,,50a29a2a-8790-4a5a-9bf3-2df310e4cfc2,15,,"[29.2, 54.7]",3825891,0,,,,0.26565397,,Right Foot,,,"[57.5, 62.4]",,High Pass,,29.328825,,,,Hernán Arsenio Pérez González,6838.0,,,,,,,1,From Kick Off,Álvaro González Soberón,6762.0,Right Center Back,2,Espanyol,214,['d76be4bb-14df-4ed5-a961-1ad964306d2f'],8,,,,,,,,,,,,,,,,,Espanyol,214,00:00:08.330,Pass,
