50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6c217b16-ed8d-40fb-9c50-5bea9dd9d66f,1,,,,3825895,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 26753, 'name': 'Javier Varas Herrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 27522, 'name': 'Antolín Alcáraz Viveros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8440, 'name': 'Aythami Artiles Oliva'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 16}, {'player': {'id': 7907, 'name': 'Pedro Bigas Rigo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 7906, 'name': 'David Simón Rodríguez Santana'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 23}, {'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 6626, 'name': 'Mubarak Wakaso'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 8167, 'name': 'Sergio Ezequiel Araújo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Las Palmas,208,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7e9175bc-8954-4653-b62c-b08f45f1632e,2,,,,3825895,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6823, 'name': 'Sergio Rico González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6672, 'name': 'Jorge Andújar Moreno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 7948, 'name': 'Marco Andreolli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 10476, 'name': 'Timothée Kolodziejczak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 27483, 'name': 'Benoît Trémoulinas'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 7154, 'name': 'Sebastián Carlos Cristóforo Pepe'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3497, 'name': 'Vicente Iborra De La Fuente'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 6356, 'name': 'Michael Krohn-Dehli'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 3486, 'name': 'Fernando Llorente Torres'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 7788, 'name': 'Ciro Immobile'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Sevilla,213,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,10d9c459-379d-481f-8abe-22bcfd6acc29,3,,,,3825895,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['6ef1c431-b19a-492f-a061-313cb5ec0c2f'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6ef1c431-b19a-492f-a061-313cb5ec0c2f,4,,,,3825895,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['10d9c459-379d-481f-8abe-22bcfd6acc29'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1ff42b7a-04cd-46a1-b217-9ee72662c35d,1512,,,,3825895,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,103,Las Palmas,208,['19e15e28-7e1a-45d1-8cb3-20ace2c84275'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,19e15e28-7e1a-45d1-8cb3-20ace2c84275,1513,,,,3825895,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,103,Las Palmas,208,['1ff42b7a-04cd-46a1-b217-9ee72662c35d'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.242573,,,,,,,,,,,,,0d4f8d2d-ef7c-447b-a3a0-b50c67e40502,5,,,"[61.0, 40.1]",3825895,0,,True,,,3.0545647,,Left Foot,,"[46.1, 41.4]",,Ground Pass,,14.956604,,,Grzegorz Krychowiak,3637.0,,,,,,Kick Off,1,From Kick Off,Michael Krohn-Dehli,6356.0,Left Midfield,2,Sevilla,213,['b0932552-ad14-4d24-bcef-0685f8b23cde'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.830,Pass,
,,,,,,,,,,,,,,,,1.485459,,,,,,,,,,,,,2a791f4f-2fdd-4ca1-90d3-98bafc6f035b,7,,,"[44.5, 41.4]",3825895,0,,,,,1.3096069,,Right Foot,,"[53.0, 73.2]",,Ground Pass,,32.91641,,,Jorge Andújar Moreno,6672.0,,,,,,,1,From Kick Off,Grzegorz Krychowiak,3637.0,Right Defensive Midfield,2,Sevilla,213,['ca6b0c7f-8763-45d0-aea3-64d26908c613'],3,,,,,,,,,,,,,,,,,Sevilla,213,00:00:03.169,Pass,
,,,,,,,,,,,,,,,,2.326244,,,,,,,,,,,,,d382050a-3d28-436a-88be-9115b21ceb3a,11,,,"[65.9, 78.1]",3825895,0,,,,,-0.75573844,,Right Foot,,"[95.4, 50.3]",,High Pass,,40.535046,,,Fernando Llorente Torres,3486.0,,,,,,,1,From Kick Off,Jorge Andújar Moreno,6672.0,Right Back,2,Sevilla,213,"['6d87442a-bf71-49a5-9607-d2a9a26f442d', 'c6d9dc9e-289a-45de-b66d-f791fbf324df']",7,,,,,,,,,,,,,,,,,Sevilla,213,00:00:07.208,Pass,True
,,,,,,,,,,,,,,,,0.282923,,,,,,,,,,,,,675a4374-71ba-457f-bed5-2af2936e166b,15,,,"[94.9, 49.9]",3825895,0,,,,,0.46744987,,Right Foot,,"[105.4, 55.2]",,Ground Pass,,11.761803,,Pass Offside,Ciro Immobile,7788.0,,,,,,,1,From Kick Off,Fernando Llorente Torres,3486.0,Right Center Forward,2,Sevilla,213,"['470a9afe-e19a-4cff-a74d-93be8f954e49', 'cefd0d71-7485-4994-9bcf-466fc35576a1']",9,,,,,,,,,,,,,,,,,Sevilla,213,00:00:09.594,Pass,True
