50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f05f6b1b-0ccf-41dc-bef8-d593defc2b9c,1,,,,3829439,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Toulouse,130,,0,,,,,,,,,,,,,,,,,"{'formation': 4321, 'lineup': [{'player': {'id': 22130, 'name': 'Mauro Daniel Goicoechea Furia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40641, 'name': 'Pavle Ninkov'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 30447, 'name': 'Jean-Armel Kana-Biyik'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 3035, 'name': 'Steeve Yago'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 44065, 'name': 'William Matheus da Silva'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 3189, 'name': 'Étienne Didot'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 31174, 'name': 'Jean-Daniel Akpa Akpro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 16522, 'name': 'Tongo Hamed Doumbia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 11540, 'name': 'Óscar Guido Trejo'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Toulouse,130,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,befaadcb-d91c-4a7c-8c1b-1faa9023ac85,2,,,,3829439,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Toulouse,130,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3204, 'name': 'Almamy Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 38}, {'player': {'id': 3406, 'name': 'Jérémy Toulalan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 8277, 'name': 'Wallace Fortuna dos Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 4326, 'name': 'Layvin Kurzawa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3955, 'name': 'Tiemoué Bakayoko'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 4454, 'name': 'Farès Bahlouli'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 4464, 'name': 'Adama Traoré'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 5727, 'name': 'Nabil Dirar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 6979, 'name': 'Stephan El Shaarawy'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 3246, 'name': 'Guido Marcelo Carrillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",AS Monaco,129,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fd69cce0-908a-49c3-9b8a-9e7cb5b17ed8,3,,,,3829439,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Toulouse,130,['cda98a69-3280-49e8-bf5c-9503fa12cff1'],0,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cda98a69-3280-49e8-bf5c-9503fa12cff1,4,,,,3829439,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Toulouse,130,['fd69cce0-908a-49c3-9b8a-9e7cb5b17ed8'],0,,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c1d3eb89-d9c0-4f1c-b14c-d547cae473c8,1846,,,,3829439,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,110,AS Monaco,129,['c62a5e1b-2bd8-4c0a-81c6-5fb146d161a2'],0,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c62a5e1b-2bd8-4c0a-81c6-5fb146d161a2,1847,,,,3829439,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,110,AS Monaco,129,['c1d3eb89-d9c0-4f1c-b14c-d547cae473c8'],0,,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.911022,,,,,,,,,,,,,aee7ae6f-530c-4fed-9caf-9fcf8d344513,5,,,"[61.0, 40.1]",3829439,0,,,,1.5707964,,Right Foot,,"[61.0, 42.9]",,Ground Pass,,2.8,,,,,Farès Bahlouli,4454.0,,,,,Kick Off,1,From Kick Off,Guido Marcelo Carrillo,3246.0,Center Forward,2,AS Monaco,129,['fdb7d9a4-b01a-4113-b268-c80f84a76129'],0,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.819,Pass,
,,,,,,,,,,,,,,,,1.54436,,,,,,,,,,,,,425c265e-a390-4cb9-9ced-efff336ea830,8,,,"[68.7, 13.7]",3829439,0,,,,-2.3561945,,Right Foot,,"[60.8, 5.8]",,Ground Pass,,11.172287,,,,,Layvin Kurzawa,4326.0,,,,,,1,From Kick Off,Farès Bahlouli,4454.0,Right Center Midfield,2,AS Monaco,129,['f38025da-46c1-40bb-9f34-e065dc856b7f'],5,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:05.391,Pass,
,,,,,,,,,,,,,,,,0.561157,,,,,,,,,,,,,55a3874e-e604-4e05-bc67-06d259048e96,13,,,"[48.5, 74.5]",3829439,0,,,,0.3264675,,Right Foot,,"[61.2, 78.8]",,Ground Pass,,13.408206,,,Out,,Tongo Hamed Doumbia,16522.0,,,,,Recovery,1,From Kick Off,Jean-Daniel Akpa Akpro,31174.0,Right Center Midfield,2,AS Monaco,129,['d20b9f36-f5d7-4650-a570-0b1edf3ddf04'],8,,,,,,,,,,,,,,,,,,Toulouse,130,00:00:08.273,Pass,
,,,,,,,,,,,,,,,,0.789417,,,,,,,,,,,,,0bd1dca9-8c2c-4afc-8193-57b63b2d113a,15,,,"[63.1, 0.1]",3829439,0,,,,0.9197196,,,,"[69.5, 8.5]",,Low Pass,,10.560303,,,,,Farès Bahlouli,4454.0,,,,,Throw-in,1,From Throw In,Layvin Kurzawa,4326.0,Left Back,3,AS Monaco,129,['aa5be47b-b541-4a68-8a13-3be85892aa71'],14,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:14.956,Pass,
