50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,99966116-786f-4c58-afd1-9bf6efe02efd,1,,,,3829473,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 20048, 'name': 'Gregory van der Wiel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3956, 'name': 'David Luiz Moreira Marinho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 32}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 4325, 'name': 'Thiago Motta'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 4370, 'name': 'Javier Matías Pastore'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 4375, 'name': 'Blaise Matuidi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 4319, 'name': 'Edinson Roberto Cavani Gómez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b44d0e79-fce7-4297-91cc-809b45d4acad,2,,,,3829473,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3322, 'name': 'Jonas Lössl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20199, 'name': 'Lars Christian Jacobsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40527, 'name': 'Brou Benjamin Angoua'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3124, 'name': 'Jérémy Sorbon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7308, 'name': 'Laurent Dos Santos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 3121, 'name': 'Moustapha Elhadji Diallo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 401512, 'name': 'Lionel Mathis'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 23784, 'name': 'Nill De Pauw'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 12}, {'player': {'id': 3363, 'name': 'Marcus Coco'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 24}, {'player': {'id': 3122, 'name': 'Yannis Salibur'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 3348, 'name': 'Younousse Sankharé'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 13}]}",Guingamp,142,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b22c7f19-20ad-466b-829e-be8f756f65f6,3,,,,3829473,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['9743d803-78ef-4c74-aae2-49ad52d89615'],0,,,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9743d803-78ef-4c74-aae2-49ad52d89615,4,,,,3829473,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['b22c7f19-20ad-466b-829e-be8f756f65f6'],0,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a8d38685-859c-48d3-82e6-bb50377acb2e,1854,,,,3829473,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,92,Guingamp,142,['a4847ca1-65b0-4338-8675-17424447cbf8'],0,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a4847ca1-65b0-4338-8675-17424447cbf8,1855,,,,3829473,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,92,Guingamp,142,['a8d38685-859c-48d3-82e6-bb50377acb2e'],0,,,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.391114,,,,,,,,,,,,,,5f8f0785-5f0a-42dc-9807-83f474028ed0,5,,,"[60.0, 40.0]",3829473,0,,,,,1.833791,,Right Foot,,,,"[59.3, 42.6]",,Ground Pass,,2.6925824,,,,Javier Matías Pastore,4370.0,,,,,Kick Off,1,From Kick Off,Zlatan Ibrahimović,3672.0,Center Forward,2,Paris Saint-Germain,131,['0f9685b5-e7e7-4cd3-972f-87c0f6d6f198'],0,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.859,Pass,
,,,,,,,,,,,,,,,,,,,0.970257,,,,,,,,,,,,,,91cbd109-0617-4ee3-bfef-fbdef73042d7,8,,,"[61.5, 42.6]",3829473,0,,,,,3.0525432,,Right Foot,,,,"[50.3, 43.6]",,Ground Pass,,11.2445545,,,,Thiago Motta,4325.0,,,,,,1,From Kick Off,Javier Matías Pastore,4370.0,Right Center Midfield,2,Paris Saint-Germain,131,['581a7637-01af-4ff5-83d7-225e0f864be7'],1,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:01.465,Pass,
,,,,,,,,,,,,,,,,,,,1.834727,,,,,,,,,,,,,,4f2f41d2-4eae-4bfe-a473-bed1cb454d1c,11,,,"[50.3, 37.6]",3829473,0,,,,,-1.5241269,,Left Foot,,,,"[52.0, 1.2]",,Ground Pass,,36.439674,,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,1,From Kick Off,Thiago Motta,4325.0,Center Defensive Midfield,2,Paris Saint-Germain,131,['c4add174-a5cf-478a-9bb9-6db343cfaf43'],3,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:03.555,Pass,
,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,91b5ccd7-07b0-475a-809c-953489b69e67,14,,,"[45.2, 3.0]",3829473,0,,,,,2.3729153,,Left Foot,,,,"[30.0, 17.7]",,Ground Pass,,21.145449,,,,David Luiz Moreira Marinho,3956.0,,,,,,1,From Kick Off,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,2,Paris Saint-Germain,131,['efb66213-dcbc-4173-a841-b7d9abdad0c0'],7,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:07.630,Pass,
