50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1a22cde7-e3e8-4336-bc63-4029c480fe69,1,,,,3829475,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 5653, 'name': 'Mouez Hassen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4270, 'name': 'Jérémy Pied'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 4373, 'name': 'Mathieu Bodmer'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 7323, 'name': 'Olivier Boscagli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 6352, 'name': 'Ricardo Domingos Barbosa Pereira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 4506, 'name': 'Nampalys Mendy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 4264, 'name': 'Vincent Koziello'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 3359, 'name': 'Jean Michaël Seri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 16462, 'name': 'Hatem Ben Arfa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 3210, 'name': 'Valère Germain'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 28}, {'player': {'id': 4723, 'name': 'Mickaël Le Bihan'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",OGC Nice,136,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,31d6bb1e-f94f-47a4-89fa-5406258d6ad9,2,,,,3829475,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 40533, 'name': 'Cédric Carrasso'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 2946, 'name': 'Frédéric Guilbert'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 4542, 'name': 'Pablo Nascimento Castro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3256, 'name': 'Nicolas Pallois'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4442, 'name': 'Maxime Poundjé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 7552, 'name': 'Clément Chantôme'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 3196, 'name': 'Wahbi Khazri'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 24}, {'player': {'id': 3150, 'name': 'Jaroslav Plašil'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 5110, 'name': 'Henri Saivet'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 42430, 'name': 'Nicolas Maurice-Belay'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 3184, 'name': 'Enzo Crivelli'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Bordeaux,146,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e3b589f6-64b6-4698-9481-f14d5b46d73f,3,,,,3829475,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,['ade84161-99c1-4f8e-9e1f-32901d9aa514'],0,,,,,,,,,,,,,,,,,,Bordeaux,146,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ade84161-99c1-4f8e-9e1f-32901d9aa514,4,,,,3829475,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,['e3b589f6-64b6-4698-9481-f14d5b46d73f'],0,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d5a2e5ab-d7f4-4c22-82c6-913ad5cfa774,2005,,,,3829475,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,90,OGC Nice,136,['f44b9679-11a3-4cb4-bc23-c4010600bc8c'],0,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f44b9679-11a3-4cb4-bc23-c4010600bc8c,2006,,,,3829475,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,90,OGC Nice,136,['d5a2e5ab-d7f4-4c22-82c6-913ad5cfa774'],0,,,,,,,,,,,,,,,,,,Bordeaux,146,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.301115,,,,,,,,,,,,,9617ad4b-6341-4a94-8762-b18d04e99863,5,,,"[61.0, 40.1]",3829475,0,,,,-1.2924967,,Right Foot,,,,"[61.6, 38.0]",,Ground Pass,,2.184033,,,,,Hatem Ben Arfa,16462.0,,,,,,Kick Off,1,From Kick Off,Valère Germain,3210.0,Right Center Forward,2,OGC Nice,136,['13614a05-5a24-4e91-a0a4-c22d6986fcfd'],0,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.611,Pass,
,,,,,,,,,,,,,,,,4.577893,,,,,,,,,,,,,eaa5e2a2-9d4f-44fa-baca-2edd7a9b1213,8,,,"[63.9, 42.0]",3829475,0,,,,0.6969009,,Left Foot,,,,"[109.3, 80.0]",,High Pass,,59.20439,,,Out,,,,,,,,,,1,From Kick Off,Hatem Ben Arfa,16462.0,Center Attacking Midfield,2,OGC Nice,136,,1,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:01.533,Pass,
,,,,,,,,,,,,,,,,2.464985,,,,,,,,,,,,,d0aa924c-1dd9-482a-8c44-ea37172eabc2,9,,,"[19.3, 0.1]",3829475,0,,,,0.17434806,,,,,,"[36.9, 3.2]",,High Pass,,17.870926,,,,,Henri Saivet,5110.0,,,,,,Throw-in,1,From Throw In,Maxime Poundjé,4442.0,Left Back,3,Bordeaux,146,['7f6c1a99-f97c-48e5-9b73-7d72bae9ecea'],14,,,,,,,,,,,,,,,,,,Bordeaux,146,00:00:14.188,Pass,
,,,,,,,,,,,,,,,,1.041174,,,,,,,,,,,,,9caac21a-7771-4c21-8886-7b1eb4d71249,12,,,"[39.4, 3.2]",3829475,0,,,True,0.38588268,,,,,,"[42.6, 4.5]",,High Pass,,3.4539833,,,,,Enzo Crivelli,3184.0,,,,,,,1,From Throw In,Henri Saivet,5110.0,Left Center Midfield,3,Bordeaux,146,"['cb469f61-3e0a-4ff2-90cd-431fc663d42d', 'e09b885c-2a7b-4f00-bf6e-c7bbee6f0629']",16,,,,,,,,,,,,,,,,,,Bordeaux,146,00:00:16.653,Pass,True
