50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,3f7b14ba-58f9-4a8f-9dde-03a6886e2b9f,1,,,3829490,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4259, 'name': 'Stéphane Ruffier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 4382, 'name': 'Kévin Malcuit'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 4263, 'name': 'Loïc Perrin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 4802, 'name': 'Florentin Pogba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 7347, 'name': 'Pierre-Yves Polomat'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7200, 'name': 'Fabien Lemoine'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7442, 'name': 'Jérémy Clément'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 4260, 'name': 'Romain Hamouma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 4254, 'name': 'Valentin Eysseric'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 4256, 'name': 'Jonathan Bamba'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 4601, 'name': 'Robert Berič'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Saint-Étienne,135,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,b5551b4e-0744-42ca-8a16-49e5eb4ea75a,2,,,3829490,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,,0,,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 5653, 'name': 'Mouez Hassen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4270, 'name': 'Jérémy Pied'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 4373, 'name': 'Mathieu Bodmer'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 3229, 'name': 'Maxime Le Marchand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 6352, 'name': 'Ricardo Domingos Barbosa Pereira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 4506, 'name': 'Nampalys Mendy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 4264, 'name': 'Vincent Koziello'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 3359, 'name': 'Jean Michaël Seri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 134561, 'name': 'Wallyson Teixeira Mallmann'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 3210, 'name': 'Valère Germain'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 28}, {'player': {'id': 16462, 'name': 'Hatem Ben Arfa'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",OGC Nice,136,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,76549e32-0ee6-49a3-b79f-195b04b4aa3e,3,,,3829490,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,['eb859f81-20b6-4853-b96d-a0a2ca805cf3'],0,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,eb859f81-20b6-4853-b96d-a0a2ca805cf3,4,,,3829490,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Saint-Étienne,135,['76549e32-0ee6-49a3-b79f-195b04b4aa3e'],0,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0e638749-4052-40c7-b73a-ee004e8eced0,1987,,,3829490,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,100,Saint-Étienne,135,['c837dc6c-9114-4b3a-be3c-0ed7be4a2b0c'],0,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,c837dc6c-9114-4b3a-be3c-0ed7be4a2b0c,1988,,,3829490,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,100,Saint-Étienne,135,['0e638749-4052-40c7-b73a-ee004e8eced0'],0,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.016063,,,,,,,,,,,,,,,,47324a5b-914e-4491-9ca7-d9dbbc13b000,5,,"[61.0, 40.1]",3829490,0,,,,,2.010639,,Left Foot,,,,"[60.2, 41.8]",,Ground Pass,,1.8788295,,,,Hatem Ben Arfa,16462.0,,,,,Kick Off,1,From Kick Off,Wallyson Teixeira Mallmann,134561.0,Center Attacking Midfield,2,OGC Nice,136,['f4cae2f8-8b4b-49d5-960a-e86c9cf5a553'],0,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.962,Pass,
,,,,,,,,,,,,,,,,,,,3.339575,,,,,,,,,,,,,,,,39cee16f-2509-49b9-911c-b71ed814f98c,8,,"[63.5, 40.4]",3829490,0,,,,,0.6867434,,Left Foot,,,,"[111.8, 80.0]",,High Pass,,62.458385,,Out,,,,,,,,,1,From Kick Off,Hatem Ben Arfa,16462.0,Left Center Forward,2,OGC Nice,136,,2,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:02.802,Pass,
,,,,,,,,,,,,,,,,,,,1.757331,,,,,,,,,,,,,,,,cf11de60-4fec-49ae-9e6c-d235a961f975,9,,"[15.1, 0.1]",3829490,0,,,,,0.16756803,,,,,,"[35.2, 3.5]",,High Pass,,20.385534,,Incomplete,,Robert Berič,4601.0,,,,,Throw-in,1,From Throw In,Pierre-Yves Polomat,7347.0,Left Back,3,Saint-Étienne,135,"['7eece241-725c-4d76-92c5-9e5eeda0e778', '99e8e93f-bc61-4169-9025-1ceeac795611']",18,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:18.644,Pass,
,,,,,,,,,,,,,,,,,,,1.287379,,,,,,,,,,,,,,,,99e8e93f-bc61-4169-9025-1ceeac795611,11,,"[84.9, 76.6]",3829490,0,,,,,-1.9806714,,Head,,,,"[78.6, 62.1]",,High Pass,,15.809491,,Incomplete,,Nampalys Mendy,4506.0,,,,,Interception,1,From Throw In,Vincent Koziello,4264.0,Right Center Midfield,3,Saint-Étienne,135,"['844c15bc-6890-4208-b7b8-b5f99ea787af', 'cf11de60-4fec-49ae-9e6c-d235a961f975', 'd03382ce-887b-42ea-bf94-669a8f4a6ec6']",20,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:20.401,Pass,
