50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a63cc982-d2a8-49c1-b6bf-4b9596c629d0,1,,,,3900518,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 7444, 'name': 'Alaeddine Yahia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4386, 'name': 'Damien Da Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 7237, 'name': 'Chaker Alhadhur'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 2979, 'name': 'Jonathan Delaplace'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 2992, 'name': 'Vincent Bessat'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Caen,140,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8a0ca875-d225-49fd-ab1b-78f95a63543e,2,,,,3900518,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4547, 'name': 'Ludovic Butelle'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3431, 'name': 'Vincent Manceau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 3203, 'name': 'Yoann Andreu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 3}, {'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Angers,145,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,801b7a02-4175-4c21-9d3d-133cd7c87f8c,3,,,,3900518,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,['ede4a5b8-1871-4a99-9801-879ac859981e'],0,,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ede4a5b8-1871-4a99-9801-879ac859981e,4,,,,3900518,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Caen,140,['801b7a02-4175-4c21-9d3d-133cd7c87f8c'],0,,,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9af44544-3b6f-409d-b104-ec9804734766,2042,,,,3900518,45,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,83,Angers,145,['224c4243-720b-4f0a-8b20-a6f0e6eb119f'],0,,,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,224c4243-720b-4f0a-8b20-a6f0e6eb119f,2043,,,,3900518,45,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,83,Angers,145,['9af44544-3b6f-409d-b104-ec9804734766'],0,,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.565901,,,,,,,,,,,,,,80561112-671c-4550-a1a3-2ccc09b4e094,5,,,"[61.0, 40.1]",3900518,0,,,,2.3847582,,Right Foot,,,"[59.2, 41.8]",Ground Pass,,2.4758837,,,Thomas Mangani,3185.0,,,,,Kick Off,1,From Kick Off,Billy Ketkeophomphone,4441.0,Center Forward,2,Angers,145,['0ca37083-0b74-4c77-a850-d65c589df107'],1,,,,,,,,,,,,,,,,,,Angers,145,00:00:01.492,Pass,
,,,,,,,,,,,,,,,,,2.23943,,,,,,,,,,,,,,def8bbf4-25ec-475e-a455-86c872948a8a,8,,,"[59.0, 43.7]",3900518,0,,,,2.0624087,,Left Foot,,,"[43.9, 71.9]",Ground Pass,,31.98828,,,Vincent Manceau,3431.0,,,,,,1,From Kick Off,Thomas Mangani,3185.0,Left Center Midfield,2,Angers,145,['a659a474-d4be-4556-a120-de8a847381b2'],3,,,,,,,,,,,,,,,,,,Angers,145,00:00:03.488,Pass,
,,,,,,,,,,,,,,,,,2.182411,,,,,,,,,,,,,,4c296752-0fda-4ab5-b9d7-2ae9ba083c85,11,,,"[43.9, 71.9]",3900518,0,,,,-2.4597192,,Right Foot,,,"[26.9, 58.1]",Ground Pass,,21.896118,,,Ismaël Traoré,3045.0,,,,,,1,From Kick Off,Vincent Manceau,3431.0,Right Back,2,Angers,145,['23cf5ec0-6a16-43d4-8a23-e0bcd0d989e4'],5,,,,,,,,,,,,,,,,,,Angers,145,00:00:05.867,Pass,
,,,,,,,,,,,,,,,,,2.159355,,,,,,,,,,,,,,ed745945-756b-4369-8fa4-d4c48ee0d29a,14,,,"[28.5, 55.3]",3900518,0,,,,-1.6469201,,Right Foot,,,"[26.7, 31.7]",Ground Pass,,23.668545,,,Romain Thomas,3549.0,,,,,,1,From Kick Off,Ismaël Traoré,3045.0,Right Center Back,2,Angers,145,['e716abaa-d8e8-4f9d-846b-bae5d9509848'],9,,,,,,,,,,,,,,,,,,Angers,145,00:00:09.374,Pass,
