50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ca3adb09-83f7-4ed3-b867-93b6ed6216f1,1,,,3900536,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 40645, 'name': 'Laurent Pionnier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3421, 'name': 'Bryan Dabo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 3674, 'name': 'Vitorino Hilton da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3011, 'name': 'Daniel Congré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3676, 'name': 'Jérôme Roussillon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 4669, 'name': 'William Jean Rémy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3546, 'name': 'Morgan Sanson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 2950, 'name': 'Jonas Martin'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6661, 'name': 'Ryad Boudebouz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3020, 'name': 'Rodrigue Casimir Ninga'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 29}, {'player': {'id': 30255, 'name': 'Mustapha Yatabaré'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Montpellier,139,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8eb654d4-e47f-4f41-b006-7d86e93aca4d,2,,,3900536,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 7515, 'name': 'Jules Goda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 7428, 'name': 'Alexandre Coeff'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 7808, 'name': 'Roderic Filippi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 2953, 'name': 'Abdou Kader Mangane'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 401507, 'name': 'Jérôme Le Moigne'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 310534, 'name': 'Louis Poggi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 7389, 'name': 'Amos Youga'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 10616, 'name': 'Mohamed Larbi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 40536, 'name': 'Issiar Dia'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 401505, 'name': 'Jacques Zoua Daogari'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Gazélec Ajaccio,160,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cc9f4054-3775-41ea-8dd2-9d725b030b03,3,,,3900536,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,['71990edd-d872-40c3-bdb5-149974e796c4'],0,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,71990edd-d872-40c3-bdb5-149974e796c4,4,,,3900536,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,['cc9f4054-3775-41ea-8dd2-9d725b030b03'],0,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6e285fc4-5685-423f-a0a9-847f5c50c597,1718,,,3900536,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,107,Montpellier,139,['389acb48-d306-4c77-ae98-f492d617490a'],0,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,389acb48-d306-4c77-ae98-f492d617490a,1719,,,3900536,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,107,Montpellier,139,['6e285fc4-5685-423f-a0a9-847f5c50c597'],0,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.435358,,,,,,,,,,,,21414f59-75cf-46fc-9f52-e819c5c27fc2,5,,"[61.0, 40.1]",3900536,0,,,,,1.5243182,,Right Foot,,,,"[61.2, 44.4]",,Ground Pass,,4.304649,,,,Jacques Zoua Daogari,401505.0,,,,Kick Off,1,From Kick Off,Issiar Dia,40536.0,Right Center Forward,2,Gazélec Ajaccio,160,['aa554e64-9f62-48df-ae0e-07087adf8835'],0,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.771,Pass,
,,,,,,,,,,,,,,,,1.903649,,,,,,,,,,,,6e80da2b-d191-4126-8f0c-c4ebc20f1aaa,8,,"[57.1, 43.9]",3900536,0,,,,,-2.5801513,,Right Foot,,,,"[35.0, 30.0]",,Ground Pass,,26.107853,,,,Abdou Kader Mangane,2953.0,,,,,1,From Kick Off,Jacques Zoua Daogari,401505.0,Left Center Forward,2,Gazélec Ajaccio,160,['9baeba22-44f3-4f37-b96c-0a9ac9fd42f0'],1,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:01.573,Pass,
,,,,,,,,,,,,,,,,3.321262,,,,,,,,,,,,6a2e73f2-449a-4903-9b8e-8930182b074d,11,,"[36.2, 35.5]",3900536,0,,,,,0.0450302,,Right Foot,,,,"[93.9, 38.1]",,High Pass,,57.75855,,Incomplete,,Issiar Dia,40536.0,,,,,1,From Kick Off,Abdou Kader Mangane,2953.0,Left Center Back,2,Gazélec Ajaccio,160,"['749abcff-f8be-4249-81c2-57a946226de1', 'af8f1095-9265-4517-a544-82d1303da16d']",4,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:04.948,Pass,
,,,,,,,,,,,,,,,,0.539266,,,,,,,,,,,,1bb5a387-7c7a-49b2-97b9-991e267eb27a,16,,"[24.2, 54.2]",3900536,0,,,,,1.2068174,,Right Foot,,,,"[27.4, 62.6]",,Ground Pass,,8.988882,,,,Bryan Dabo,3421.0,,,,,1,Regular Play,Daniel Congré,3011.0,Left Center Back,3,Montpellier,139,['50a47480-1019-4d75-a216-d1d63be89c0f'],10,,,,,,,,,,,,,,,,,Montpellier,139,00:00:10.286,Pass,
