50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,cf6529cb-2a45-48ba-9462-a2d81289064b,1,,,,3900564,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,,0,,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 7193, 'name': 'Paul Bernardoni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 26752, 'name': 'Mouhamadou Dabo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 35}, {'player': {'id': 401479, 'name': 'Calvin Anele Ngcongca'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 31}, {'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 18162, 'name': 'Chris Mavinga'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7283, 'name': 'Thiago Xavier Rodrigues Corrêa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 2993, 'name': 'Stéphane Darbion'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 2969, 'name': 'Karim Azamoum'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 7336, 'name': 'Jimmy Cabot'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 401470, 'name': 'Fabien Camus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Troyes,133,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,40df866d-7ae0-4aed-81b6-8c0b5fdace49,2,,,,3900564,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 24021, 'name': 'Paul Nardi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8277, 'name': 'Wallace Fortuna dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 27558, 'name': 'Elderson Uwa Echiejile'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 3406, 'name': 'Jérémy Toulalan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 5727, 'name': 'Nabil Dirar'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 3168, 'name': 'João Filipe Iria Santos Moutinho'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3245, 'name': 'Thomas Lemar'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 9931, 'name': 'Hélder Wander Sousa Azevedo Costa'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 3553, 'name': 'Lacina Traoré'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",AS Monaco,129,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,8389a2e3-b104-4b41-a8ab-79d58c420629,3,,,,3900564,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,['44a1cda5-af81-4407-a01e-ebda23df6e23'],0,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,44a1cda5-af81-4407-a01e-ebda23df6e23,4,,,,3900564,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,['8389a2e3-b104-4b41-a8ab-79d58c420629'],0,,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,4d5df035-affc-4744-af35-ec67cb21a5d0,1647,,,,3900564,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,104,AS Monaco,129,['e8200d28-a3e3-4420-954f-2a7a673791c6'],0,,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,e8200d28-a3e3-4420-954f-2a7a673791c6,1648,,,,3900564,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,104,AS Monaco,129,['4d5df035-affc-4744-af35-ec67cb21a5d0'],0,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.598724,,,,,,,,,,,,,,,,173cd915-52b0-4d5f-8a0f-751657ba81f3,5,,,"[61.0, 40.1]",3900564,0,,True,,,1.2151605,,Right Foot,,,,"[63.6, 47.1]",Ground Pass,,7.467262,,,Fabien Camus,401470.0,,,,,Kick Off,1,From Kick Off,Stéphane Darbion,2993.0,Right Midfield,2,Troyes,133,['20d659f9-218b-47e7-b301-9bdaba2d370b'],1,,,,,,,,,,,,,,,,,,Troyes,133,00:00:01.110,Pass,
,,,,,,,,,,,,,,,,,,1.716308,,,,,,,,,,,,,,,,ee212632-137f-4c82-ae18-d31765c92f3e,7,,,"[62.7, 47.1]",3900564,0,,,,,-1.308382,,Right Foot,,,,"[71.0, 16.2]",Ground Pass,,31.995312,,,Jimmy Cabot,7336.0,,,,,,1,From Kick Off,Fabien Camus,401470.0,Center Forward,2,Troyes,133,['b7470a41-3737-4cf4-a1da-d19465f42fbf'],2,,,,,,,,,,,,,,,,,,Troyes,133,00:00:02.632,Pass,
,,,,,,,,,,,,,,,,,,2.053638,,,,,,,,,,,,,,,,2aca5dcb-bd7e-4799-8cfe-a248d4e52c4a,12,,,"[73.4, 13.5]",3900564,0,,,,,-0.30667633,,Right Foot,,,,"[97.4, 5.9]",Ground Pass,,25.174591,,,Jessy Pi,7415.0,,,,,,1,From Kick Off,Jimmy Cabot,7336.0,Left Midfield,2,Troyes,133,['de7b8a7d-943d-46ad-981b-05c7b8fe6365'],6,,,,,,,,,,,,,,,,,,Troyes,133,00:00:06.511,Pass,
,,,,,,,,,,,,,,,,,,1.171551,,,,,,,,,,,,,,,,c054d241-5f32-4247-a270-720a19545248,16,,,"[104.4, 6.4]",3900564,0,,,,,1.2622029,,Right Foot,,,,"[111.7, 29.3]",Low Pass,,24.03539,Incomplete,,Stéphane Darbion,2993.0,,,,,,1,From Kick Off,Jessy Pi,7415.0,Left Center Midfield,2,Troyes,133,"['1270ffa0-4412-4965-9009-d0210341d010', '44af81ad-0514-45c6-8ec1-c3c94f74bc89', 'd4478bba-a58d-4c62-a419-55cd4b6dcffd']",10,,,,,,,,,,,,,,,,,,Troyes,133,00:00:10.476,Pass,True
