50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c3200ac8-3cde-401b-b392-1db7ab43d770,1,,,3900580,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 4257, 'name': 'Yoan Cardinale'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 4270, 'name': 'Jérémy Pied'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 2971, 'name': 'Romain Genevois'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 4443, 'name': 'Paul Baysse'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 16056, 'name': 'Niklas Hult'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 4506, 'name': 'Nampalys Mendy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 4264, 'name': 'Vincent Koziello'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 3359, 'name': 'Jean Michaël Seri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 16462, 'name': 'Hatem Ben Arfa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 3210, 'name': 'Valère Germain'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 28}, {'player': {'id': 3403, 'name': 'Alexandre Mendy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 15}]}",OGC Nice,136,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4bc4361d-9781-4c2b-9abf-b6f2ff8f3759,2,,,3900580,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 3431, 'name': 'Vincent Manceau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 3203, 'name': 'Yoann Andreu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 401484, 'name': 'Charles Diers'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3071, 'name': 'Pierrick Capelle'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Angers,145,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d40f364f-e2ef-488e-83fa-8d9a67bff03b,3,,,3900580,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,['2d4c0c57-25c2-4bc4-900c-b225c57917b4'],0,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2d4c0c57-25c2-4bc4-900c-b225c57917b4,4,,,3900580,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,['d40f364f-e2ef-488e-83fa-8d9a67bff03b'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,77cd8d32-1efd-47b1-bcda-cb78095b74cd,1990,,,3900580,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Angers,145,['2424e9f9-e25e-469b-b1f0-baf4b3753094'],0,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2424e9f9-e25e-469b-b1f0-baf4b3753094,1991,,,3900580,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Angers,145,['77cd8d32-1efd-47b1-bcda-cb78095b74cd'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.271047,,,,,,,,,,,,,,,a3159441-c733-498f-9c6d-d1080442b5c3,5,,"[60.0, 40.0]",3900580,0,True,,,-1.9513026,,Right Foot,,,"[59.0, 37.5]",,Ground Pass,,2.6925824,,,Alexandre Mendy,3403.0,,,,,Kick Off,1,From Kick Off,Valère Germain,3210.0,Right Center Forward,2,OGC Nice,136,['4b698fa2-9321-40e3-b006-6051bb4499aa'],0,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.503,Pass,
,,,,,,,,,,,,,,,,,,0.902122,,,,,,,,,,,,,,,fc6ef855-f25f-4c06-8be9-e59baf70d898,7,,"[59.0, 37.0]",3900580,0,,,,2.9584818,,Left Foot,,,"[50.9, 38.5]",,Ground Pass,,8.237719,,,Hatem Ben Arfa,16462.0,,,,,,1,From Kick Off,Alexandre Mendy,3403.0,Left Center Forward,2,OGC Nice,136,['76ead73f-b77c-456c-9615-e8270dce55bd'],0,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.774,Pass,
,,,,,,,,,,,,,,,,,,0.876161,,,,,,,,,,,,,,,831a3db4-e623-49f7-a3c1-671eef3c4049,11,,"[55.9, 39.5]",3900580,0,,,,2.1319597,,Left Foot,,,"[49.3, 50.0]",,Ground Pass,,12.402016,,,Vincent Koziello,4264.0,,,,,,1,From Kick Off,Hatem Ben Arfa,16462.0,Center Attacking Midfield,2,OGC Nice,136,['82d610de-8da0-4767-b2ad-cd521cd9a30e'],3,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:03.547,Pass,
,,,,,,,,,,,,,,,,,,1.133697,,,,,,,,,,,,,,,dd934d59-8f31-411f-83ee-c70fff7436dc,14,,"[49.3, 51.0]",3900580,0,,,,1.4392081,,Right Foot,,,"[52.0, 71.4]",,Ground Pass,,20.5779,,,Jérémy Pied,4270.0,,,,,,1,From Kick Off,Vincent Koziello,4264.0,Right Center Midfield,2,OGC Nice,136,['e990a732-8a16-4956-9609-1e257f2fc9c6'],6,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:06.725,Pass,
