50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0edb6a60-dd3b-4a59-9ca3-5a3a1bc6ae5b,1,,,3900618,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3481, 'name': 'Serge Aurier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 4326, 'name': 'Layvin Kurzawa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 4325, 'name': 'Thiago Motta'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8515, 'name': 'Benjamin Stambouli'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 34539, 'name': 'Hervin Scicchitano Ongenda'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 35}, {'player': {'id': 8510, 'name': 'Jean-Kévin Augustin'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 29}, {'player': {'id': 4319, 'name': 'Edinson Roberto Cavani Gómez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8b47aef6-e60d-4ef8-97b4-90bf22b43895,2,,,3900618,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 3008, 'name': 'Benjamin Lecomte'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 6335, 'name': 'Lamine Gassama'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 7346, 'name': 'Lindsay Rose'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 7211, 'name': 'Zargo Touré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 22587, 'name': 'Didier Ndong Ibrahim'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 24646, 'name': 'Rafidine Abdullah'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 7338, 'name': 'Romain Philippoteaux'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 7567, 'name': 'Maxime Barthelmé'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 28}, {'player': {'id': 7766, 'name': 'Walid Mesloub'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 7615, 'name': 'Abdul Majeed Waris'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Lorient,165,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5ecde0ef-f7b8-4c0e-8742-716300de7fbd,3,,,3900618,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['fa42e6a2-15b2-40e9-a747-3d690e700037'],0,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fa42e6a2-15b2-40e9-a747-3d690e700037,4,,,3900618,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['5ecde0ef-f7b8-4c0e-8742-716300de7fbd'],0,,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,54de7559-35e0-4b0b-a350-6702a1bcfff0,2148,,,3900618,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,84,Paris Saint-Germain,131,['1c111dda-7bab-45d4-9e9c-b27fd3924f2d'],0,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1c111dda-7bab-45d4-9e9c-b27fd3924f2d,2149,,,3900618,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,84,Paris Saint-Germain,131,['54de7559-35e0-4b0b-a350-6702a1bcfff0'],0,,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.391967,,,,,,,,,,,,,410ffab4-330d-43ba-947d-8fecaf92bf6e,5,,"[60.0, 40.0]",3900618,0,,,,-1.786154,,Right Foot,,,"[59.3, 36.8]",,Ground Pass,,3.275668,,,,,Walid Mesloub,7766.0,,,,,Kick Off,1,From Kick Off,Abdul Majeed Waris,7615.0,Center Forward,2,Lorient,165,['26d2d030-3c5d-4808-9e61-afaf287cca78'],0,,,,,,,,,,,,,,,,,Lorient,165,00:00:00.701,Pass,
,,,,,,,,,,,,,,,,,1.776341,,,,,,,,,,,,,5f0bde32-900d-41dc-a3bc-97c653dcc757,8,,"[56.2, 37.3]",3900618,0,,,,2.09032,,Other,,,"[39.9, 65.8]",,Ground Pass,,32.831997,,,,,Lamine Gassama,6335.0,,,,,,1,From Kick Off,Walid Mesloub,7766.0,Center Attacking Midfield,2,Lorient,165,['9929e906-ad29-4681-a98d-56fb3743ef97'],1,,,,,,,,,,,,,,,,,Lorient,165,00:00:01.736,Pass,
,,,,,,,,,,,,,,,,,1.435768,,,,,,,,,,,,,2ed8244c-1878-4f5f-a973-d87665000f1e,10,,"[39.9, 65.8]",3900618,0,,,,-2.1478345,,Right Foot,,,"[33.0, 55.2]",,Ground Pass,,12.647924,,,,,Lindsay Rose,7346.0,,,,,,1,From Kick Off,Lamine Gassama,6335.0,Right Back,2,Lorient,165,['b556044a-2cb1-4191-bf7e-bae5bfd8091f'],3,,,,,,,,,,,,,,,,,Lorient,165,00:00:03.512,Pass,
,,,,,,,,,,,,,,,,,6.957744,,,,,,,,,,,,,248aa74b-ccb9-4a28-81dc-40cedb0abbe9,13,,"[35.4, 56.0]",3900618,0,,,,-0.4060744,,Left Foot,,,"[106.8, 25.3]",,Ground Pass,,77.72033,,,Incomplete,,Abdul Majeed Waris,7615.0,,,,,,1,From Kick Off,Lindsay Rose,7346.0,Right Center Back,2,Lorient,165,"['2bd6f097-cea3-4b4b-aa7b-b4ba7f3517b8', '2c228d6a-ba44-4a93-b164-c6c54667430a']",6,,,,,,,,,,,,,,,,,Lorient,165,00:00:06.044,Pass,
,,,,,,,,,,,,,,,,,1.787057,,,,,,,,,,,,,ccee6bc0-58f3-4e4f-bd10-7c193930325a,17,,"[15.9, 52.6]",3900618,0,,,,-1.205694,,Right Foot,,,"[25.8, 26.7]",,Ground Pass,,27.727604,,,,,Thiago Emiliano da Silva,3295.0,,,,,,1,Regular Play,Kevin Trapp,4440.0,Goalkeeper,3,Paris Saint-Germain,131,['17cdf8ab-5f00-4983-9bdf-5c847eff657d'],15,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:15.789,Pass,
