50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,aa192cb8-183d-46c1-abc1-537a07115d9d,1,,,3900629,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 7857, 'name': 'Brice Dja Djédjé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 19813, 'name': 'Rolando Jorge Pires da Fonseca'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3075, 'name': 'Javier Manquillo Gaitán'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 18874, 'name': 'Mauricio Aníbal Isla Isla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3181, 'name': 'Lassana Diarra'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 23933, 'name': 'Abdelaziz Barrada'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 3420, 'name': 'Rémy Cabella'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 13}, {'player': {'id': 3639, 'name': 'Georges-Kévin Nkoudou Mbida'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3457, 'name': 'Michy Batshuayi Tunga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Marseille,147,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b7dac2c0-e757-4439-90b3-90ca1b5f2417,2,,,3900629,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3481, 'name': 'Serge Aurier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3956, 'name': 'David Luiz Moreira Marinho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 32}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 4325, 'name': 'Thiago Motta'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3026, 'name': 'Adrien Rabiot'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 4375, 'name': 'Blaise Matuidi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3745, 'name': 'Lucas Rodrigues Moura da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,88aa47d8-4aa2-4257-97b7-d3172b87fdb3,3,,,3900629,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,['e258d7c2-0d2a-4d92-90e2-540c596bccba'],0,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e258d7c2-0d2a-4d92-90e2-540c596bccba,4,,,3900629,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,['88aa47d8-4aa2-4257-97b7-d3172b87fdb3'],0,,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1d13412e-f0af-44e9-acb6-5b59bffb1236,2211,,,3900629,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Marseille,147,['1e03590d-1417-447c-824e-92a62a2d1a74'],0,,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1e03590d-1417-447c-824e-92a62a2d1a74,2212,,,3900629,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Marseille,147,['1d13412e-f0af-44e9-acb6-5b59bffb1236'],0,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.332122,,,,,,,,,,,,,c9c9c7d1-8455-4e78-8468-6435eb1acad5,5,,"[61.0, 40.1]",3900629,0,,,,1.6814536,,Right Foot,,,,"[60.8, 41.9]",,Ground Pass,,1.811077,,,,Blaise Matuidi,4375.0,,,,,Kick Off,1,From Kick Off,Zlatan Ibrahimović,3672.0,Center Forward,2,Paris Saint-Germain,131,['4c328edd-ec9c-40f2-9ea1-4927aaaa4dc0'],1,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:01.036,Pass,
,,,,,,,,,,,,,,,,,,1.056552,,,,,,,,,,,,,1c348c85-a133-4478-9fa3-25fcb7cc1b76,8,,"[60.8, 41.5]",3900629,0,,,,3.112699,,Left Foot,,,,"[43.5, 42.0]",,Ground Pass,,17.307224,,,,Thiago Motta,4325.0,,,,,,1,From Kick Off,Blaise Matuidi,4375.0,Left Center Midfield,2,Paris Saint-Germain,131,['f1c5a0e4-f0bd-40c4-ba6e-0f710954d7a7'],1,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:01.488,Pass,
,,,,,,,,,,,,,,,,,,2.196595,,,,,,,,,,,,,dd1c00a5-1394-4c89-b30e-56b709fa1115,11,,"[42.8, 41.9]",3900629,0,,,,-1.6098644,,Left Foot,,,,"[41.6, 11.2]",,Ground Pass,,30.723444,,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,1,From Kick Off,Thiago Motta,4325.0,Center Defensive Midfield,2,Paris Saint-Germain,131,['7ce7727c-56b9-4d83-b134-604d64c13524'],3,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:03.669,Pass,
,,,,,,,,,,,,,,,,,,2.252319,,,,,,,,,,,,,b9956119-aa0d-4916-bc2b-dbe739c30c53,14,,"[41.9, 17.0]",3900629,0,,,,2.8336856,,Left Foot,,,,"[13.6, 26.0]",,Ground Pass,,29.696632,,,,David Luiz Moreira Marinho,3956.0,,,,,,1,From Kick Off,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,2,Paris Saint-Germain,131,['ec358b4c-8211-4837-bf24-1630f4a5d662'],7,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:07.305,Pass,
,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,5ad540a2-094d-4b4e-8f88-de09e921ff13,18,,"[13.2, 25.0]",3900629,0,,,,1.9696381,,Right Foot,,,,"[7.3, 39.0]",,Ground Pass,,15.192432,,,,Kevin Trapp,4440.0,,,,,,1,From Kick Off,David Luiz Moreira Marinho,3956.0,Left Center Back,2,Paris Saint-Germain,131,"['41377725-233c-4a39-aed8-51b0fe3bfe9a', 'f5fe12f4-7812-424a-8932-7ca3bd33bf72']",10,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:10.111,Pass,True
,,,,,,,,,,,,,,,,,,2.910502,,,,,,,,,,,,,7baa0a8f-9261-4167-b1ce-8813f209c370,22,,"[8.7, 38.5]",3900629,0,,,,-0.17333324,,Right Foot,,,,"[64.1, 28.8]",,High Pass,,56.24278,,Incomplete,,,,,,,,,1,From Kick Off,Kevin Trapp,4440.0,Goalkeeper,2,Paris Saint-Germain,131,"['820edf6a-3c8d-4a4e-b138-9fc25a9a5bb3', '8a2d6480-d7de-454f-8350-71b2af9b6908']",11,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:11.791,Pass,True
,,,,,,,,,,,,,,,,,,1.945261,,,,,,,,,,,,,8a2d6480-d7de-454f-8350-71b2af9b6908,23,,"[56.0, 51.3]",3900629,0,,,,0.044985708,,Right Foot,,,,"[87.1, 52.7]",,High Pass,,31.131495,,Incomplete,,Abdelaziz Barrada,23933.0,,,,,Recovery,1,From Kick Off,Nicolas Alexis Julio N'Koulou Ndoubena,7472.0,Right Center Back,2,Paris Saint-Germain,131,"['38d17909-a693-4982-933e-2b5a7eabdcd4', '7baa0a8f-9261-4167-b1ce-8813f209c370', 'c4ab1b0b-1ef2-470a-8194-bf5736beda0e']",14,,,,,,,,,,,,,,,,,,,Marseille,147,00:00:14.702,Pass,
,,,,,,,,,,,,,,,,,,1.421596,,,,,,,,,,,,,c4ab1b0b-1ef2-470a-8194-bf5736beda0e,25,,"[33.0, 27.4]",3900629,0,,,,-0.9151007,,Other,,,,"[40.0, 18.3]",,Low Pass,,11.480854,,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,Recovery,1,From Kick Off,David Luiz Moreira Marinho,3956.0,Left Center Back,2,Paris Saint-Germain,131,"['8a2d6480-d7de-454f-8350-71b2af9b6908', '90dc867e-da71-4914-ab56-220cb683c196']",16,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:16.647,Pass,
,,,,,,,,,,,,,,,,,,2.013382,,,,,,,,,,,,,a2670165-889c-4179-bf79-9ec33dc48d49,29,,"[38.6, 17.0]",3900629,0,,,,0.6788078,,Right Foot,,,,"[65.5, 38.7]",,High Pass,,34.56154,,,,Zlatan Ibrahimović,3672.0,,,,,,1,From Kick Off,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,2,Paris Saint-Germain,131,"['a01f6bf4-714f-45e4-8dc3-a84e9dc1bbc2', 'fa0048dd-4057-44bb-97aa-1d607b8bfb81']",18,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:18.148,Pass,True
