50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c99b7477-4378-40c4-84c3-ca7122d0bdce,1,,,,3900631,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 40645, 'name': 'Laurent Pionnier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4669, 'name': 'William Jean Rémy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 3674, 'name': 'Vitorino Hilton da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3011, 'name': 'Daniel Congré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3676, 'name': 'Jérôme Roussillon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 40530, 'name': 'Jamel Saihi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3421, 'name': 'Bryan Dabo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 2950, 'name': 'Jonas Martin'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6661, 'name': 'Ryad Boudebouz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3679, 'name': 'Souleymane Camara'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 30255, 'name': 'Mustapha Yatabaré'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Montpellier,139,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e76f11c0-94ff-421c-b40e-c9c401b9a34e,2,,,,3900631,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 2981, 'name': 'Alban Lafont'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 4349, 'name': 'Issa Diop'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 16430, 'name': 'Uroš Spajić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 3024, 'name': 'Jacques François Moubandje'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 3036, 'name': 'Alexis Blin'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 11540, 'name': 'Óscar Guido Trejo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 3189, 'name': 'Étienne Didot'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 31174, 'name': 'Jean-Daniel Akpa Akpro'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 16418, 'name': 'Adrien Regattin'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Toulouse,130,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1c9cacf2-ced1-45a0-9bbf-e2ab5f48a67d,3,,,,3900631,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,['ecf5c7c6-78d6-4820-b408-181cc09927f7'],0,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ecf5c7c6-78d6-4820-b408-181cc09927f7,4,,,,3900631,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,['1c9cacf2-ced1-45a0-9bbf-e2ab5f48a67d'],0,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8e41ed68-c04c-41cc-8e84-50c757ba23bd,1901,,,,3900631,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,113,Toulouse,130,['f88bd815-80bf-4954-9824-1cc0761da6ca'],0,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f88bd815-80bf-4954-9824-1cc0761da6ca,1902,,,,3900631,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,113,Toulouse,130,['8e41ed68-c04c-41cc-8e84-50c757ba23bd'],0,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.5305,,,,,,,,,,,,,75f16711-384a-444f-b232-4ef387c96a41,5,,,"[60.0, 40.0]",3900631,0,,True,,,-1.2793396,,Right Foot,,,,"[60.6, 38.0]",,Ground Pass,,2.0880613,,,,,Mustapha Yatabaré,30255.0,,,,,,Kick Off,1,From Kick Off,Souleymane Camara,3679.0,Right Center Forward,2,Montpellier,139,['15944644-d4a3-4474-9886-72456b3c868c'],1,,,,,,,,,,,,,,,,Montpellier,139,00:00:01.086,Pass,
,,,,,,,,,,,,,,,,1.23412,,,,,,,,,,,,,7b5ad0a8-6277-4706-8373-c857a3e5176a,7,,,"[63.5, 41.3]",3900631,0,,,,,1.0235875,,Left Foot,,,,"[72.7, 56.4]",,Ground Pass,,17.681911,,,,,Ryad Boudebouz,6661.0,,,,,,,1,From Kick Off,Mustapha Yatabaré,30255.0,Left Center Forward,2,Montpellier,139,['21839a06-96c9-46c3-875f-b0c51e827811'],2,,,,,,,,,,,,,,,,Montpellier,139,00:00:02.347,Pass,
,,,,,,,,,,,,,,,,2.840714,,,,,,,,,,,,,5beb5d96-e4d3-4e3c-aea4-3f2e0d5038b8,18,,,"[61.5, 28.0]",3900631,0,,,,,-1.0792056,,Right Foot,,,,"[68.3, 15.3]",,High Pass,,14.405902,,,Incomplete,,Adrien Regattin,16418.0,,,,,,Recovery,1,From Kick Off,Óscar Guido Trejo,11540.0,Right Center Midfield,2,Montpellier,139,"['703b57a3-5b62-424f-a9f0-1d7eb24474a3', 'ceb15b7b-31fd-45cd-846a-a6f61ba56093', 'd34577b3-75a5-4ce6-8ed8-ea56c0943789']",7,,,,,,,,,,,,,,,,Toulouse,130,00:00:07.695,Pass,True
,,,,,,,,,,,,,,,,1.687052,,,,,,,,,,,,,703b57a3-5b62-424f-a9f0-1d7eb24474a3,21,,,"[51.8, 64.8]",3900631,0,,,,True,-0.10866122,,,,,,"[68.3, 63.0]",,High Pass,,16.59789,,,,,Souleymane Camara,3679.0,,,,,,Recovery,1,From Kick Off,William Jean Rémy,4669.0,Right Back,2,Montpellier,139,"['42cca862-e446-41bb-aa5f-f7e335fe1858', '47ed942d-3ad1-4c50-afea-53b850d76294', '5beb5d96-e4d3-4e3c-aea4-3f2e0d5038b8']",10,,,,,,,,,,,,,,,,Montpellier,139,00:00:10.536,Pass,True
,,,,,,,,,,,,,,,,1.405814,,,,,,,,,,,,,58dc49e5-ad4d-4de5-9273-c1e635c6feb5,26,,,"[43.8, 15.3]",3900631,0,,,,,2.237583,,Right Foot,,,,"[35.3, 26.1]",,Ground Pass,,13.743726,,,,,Uroš Spajić,16430.0,,,,,,Recovery,1,Regular Play,Jacques François Moubandje,3024.0,Left Back,3,Toulouse,130,"['436f1948-7bc1-4ae4-878b-8bb0cfa5cf67', '59f373c0-5aee-4ad6-a6be-16b262d69cf9']",14,,,,,,,,,,,,,,,,Toulouse,130,00:00:14.013,Pass,True
,,,,,,,,,,,,,,,,2.694726,,,,,,,,,,,,,67e2a19f-7964-46a7-9232-2bc9f0b013bc,32,,,"[35.3, 23.5]",3900631,0,,,,,0.008601938,,Right Foot,,,,"[81.8, 23.9]",,High Pass,,46.50172,,,Incomplete,,Étienne Didot,3189.0,,,,,,Free Kick,1,From Free Kick,Uroš Spajić,16430.0,Left Center Back,4,Toulouse,130,"['47975806-73c9-45ad-b69e-3daab56fbc6f', 'cd5aac91-1034-4095-af17-5cee8a2f74de']",50,,,,,,,,,,,,,,,,Toulouse,130,00:00:50.305,Pass,
,,,,,,,,,,,,,,,,1.167839,,,,,,,,,,,,,cd5aac91-1034-4095-af17-5cee8a2f74de,35,,,"[38.3, 56.2]",3900631,0,,,,True,0.09678405,,,,,,"[48.6, 57.2]",,High Pass,,10.34843,,,Incomplete,,Ryad Boudebouz,6661.0,,,,,,Recovery,1,From Free Kick,Jamel Saihi,40530.0,Center Defensive Midfield,4,Toulouse,130,"['67e2a19f-7964-46a7-9232-2bc9f0b013bc', '9b542e1a-dd01-4e79-9313-b774348b69cb', 'd22afbe8-db0e-40db-a602-03e0903b63b1', 'f7d750fa-949b-4fc0-b835-e696a7130677']",53,,,,,,,,,,,,,,,,Montpellier,139,00:00:53.000,Pass,True
,,,,,,,,,,,,,,,,2.188008,,,,,,,,,,,,,d22afbe8-db0e-40db-a602-03e0903b63b1,37,,,"[71.5, 22.9]",3900631,0,,,,,-2.4393358,,Head,,,,"[63.7, 16.3]",,Low Pass,,10.217632,,,,,Jacques François Moubandje,3024.0,,,,,,Interception,1,From Free Kick,Óscar Guido Trejo,11540.0,Right Center Midfield,4,Toulouse,130,"['62719f03-e79c-4feb-a349-26a72e9e514e', 'cd5aac91-1034-4095-af17-5cee8a2f74de']",54,,,,,,,,,,,,,,,,Toulouse,130,00:00:54.168,Pass,
,,,,,,,,,,,,,,,,0.633491,,,,,,,,,,,,,b41e852f-3d41-4b5a-90fb-4961f21a6d39,40,,,"[62.7, 11.7]",3900631,0,,,,,-0.57133746,,Left Foot,,,,"[71.1, 6.3]",,Ground Pass,,9.985991,,,,,Adrien Regattin,16418.0,,,,,,,1,From Free Kick,Jacques François Moubandje,3024.0,Left Back,4,Toulouse,130,['a64533f5-0aff-426e-8238-f32497d7fadd'],57,,,,,,,,,,,,,,,,Toulouse,130,00:00:57.026,Pass,
,,,,,,,,,,,,,,,,0.846065,,,,,,,,,,,,,653499f1-7bb0-4bf9-a0e5-2d385edbf846,43,,,"[70.9, 5.3]",3900631,0,,,,,1.5978168,,Right Foot,,,,"[70.7, 12.7]",,Ground Pass,,7.4027023,,,,,Óscar Guido Trejo,11540.0,,,,,,,1,From Free Kick,Adrien Regattin,16418.0,Left Wing,4,Toulouse,130,['14ab8def-4063-461b-a57e-19b0890e0e93'],57,,,,,,,,,,,,,,,,Toulouse,130,00:00:57.659,Pass,
,,,,,,,,,,,,,,,,1.209639,,,,,,,,,,,,,d5bd5dd8-6567-4911-ae40-c574c9d50656,45,,,"[70.5, 13.3]",3900631,0,,,,,2.9639964,,Left Foot,,,,"[62.7, 14.7]",,Ground Pass,,7.924645,,,,,Jacques François Moubandje,3024.0,,,,,,,1,From Free Kick,Óscar Guido Trejo,11540.0,Right Center Midfield,4,Toulouse,130,['053821d3-cdf4-4225-8c5a-b4389404af7d'],58,,,,,,,,,,,,,,,,Toulouse,130,00:00:58.506,Pass,
