50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3a4e8002-f282-4b2f-81e1-97ef73c2faf7,1,,,3901145,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 34953, 'name': 'Denis Petrić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 401482, 'name': 'Gaël Angoula'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 3431, 'name': 'Vincent Manceau'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 7230, 'name': 'Grégory Bourillon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 401484, 'name': 'Charles Diers'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 3071, 'name': 'Pierrick Capelle'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 7212, 'name': 'Mohamed Saïd Benrahma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 7337, 'name': 'Mohamed Lamine Yattara'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Angers,145,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3007072d-a8b5-4722-a877-b06360d28b55,2,,,3901145,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 42428, 'name': 'Jonathan Ligali'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 4669, 'name': 'William Jean Rémy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 3674, 'name': 'Vitorino Hilton da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3011, 'name': 'Daniel Congré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3676, 'name': 'Jérôme Roussillon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 3421, 'name': 'Bryan Dabo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 40530, 'name': 'Jamel Saihi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3679, 'name': 'Souleymane Camara'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 6661, 'name': 'Ryad Boudebouz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 2980, 'name': 'Kévin Bérigaud'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 26}, {'player': {'id': 30255, 'name': 'Mustapha Yatabaré'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Montpellier,139,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f4f0711e-13cd-43d8-9276-758f3d51109a,3,,,3901145,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,['9b12798c-9567-4da8-8b22-434180586e81'],0,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9b12798c-9567-4da8-8b22-434180586e81,4,,,3901145,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,['f4f0711e-13cd-43d8-9276-758f3d51109a'],0,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bf8c02a7-a1cc-43ba-a74c-21ecc792eaa6,1969,,,3901145,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Montpellier,139,['5fa4e036-14c0-465a-bbb1-9edb1693212f'],0,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5fa4e036-14c0-465a-bbb1-9edb1693212f,1970,,,3901145,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Montpellier,139,['bf8c02a7-a1cc-43ba-a74c-21ecc792eaa6'],0,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.185562,,,,,,,,,,,,b3096b02-b58d-4e14-a38b-19f4668a0db7,5,,"[61.0, 40.1]",3901145,0,,,,,-0.957589,,Right Foot,,,,"[62.9, 37.4]",,Ground Pass,,3.3015149,,,,Pierrick Capelle,3071.0,,,,,Kick Off,1,From Kick Off,Mohamed Lamine Yattara,7337.0,Center Forward,2,Angers,145,['1513edb1-a9d3-4ddd-8ea9-39f33439f7ec'],1,,,,,,,,,,,,,,,,Angers,145,00:00:01.527,Pass,
,,,,,,,,,,,,,,,,1.271754,,,,,,,,,,,,a838907d-0322-4478-bb7e-bc9b91c138c2,7,,"[62.3, 37.0]",3901145,0,,,,,2.415336,,Right Foot,,,,"[46.2, 51.3]",,Ground Pass,,21.533695,,,,Charles Diers,401484.0,,,,,,1,From Kick Off,Pierrick Capelle,3071.0,Left Center Midfield,2,Angers,145,['2d8bbf4b-a598-4fae-9d52-238a6c834c35'],1,,,,,,,,,,,,,,,,Angers,145,00:00:01.713,Pass,
,,,,,,,,,,,,,,,,2.724257,,,,,,,,,,,,cb4d3ab8-de01-4511-80bb-9c04d4ebf302,10,,"[45.6, 51.1]",3901145,0,,,,,-2.3606586,,Right Foot,,,,"[23.1, 28.8]",,Ground Pass,,31.6787,,,,Romain Thomas,3549.0,,,,,,1,From Kick Off,Charles Diers,401484.0,Right Center Midfield,2,Angers,145,['49c5fcc7-078c-4caf-ab3c-8a6116743d75'],3,,,,,,,,,,,,,,,,Angers,145,00:00:03.729,Pass,
,,,,,,,,,,,,,,,,1.461759,,,,,,,,,,,,8625830d-e6ca-48dd-8c46-b0ed73caa271,13,,"[23.6, 20.9]",3901145,0,,,,,-1.1458199,,Left Foot,,,,"[29.8, 7.2]",,Ground Pass,,15.03762,,,,Vincent Manceau,3431.0,,,,,,1,From Kick Off,Romain Thomas,3549.0,Left Center Back,2,Angers,145,['5b620014-52c0-4286-b688-cd6585d5b8d1'],6,,,,,,,,,,,,,,,,Angers,145,00:00:06.453,Pass,
,,,,,,,,,,,,,,,,2.363922,,,,,,,,,,,,2f946a46-f190-41a8-ba92-9db9f9c7027c,16,,"[29.1, 6.8]",3901145,0,,,,,0.15660188,,Right Foot,,,,"[76.6, 14.3]",,High Pass,,48.08846,,Incomplete,,Mohamed Lamine Yattara,7337.0,,,,,,1,From Kick Off,Vincent Manceau,3431.0,Left Back,2,Angers,145,"['8f8040a4-74c0-463d-852a-c6da51a4a19d', 'e1e89fdd-5d99-46fa-a964-2fb28cd17d3d']",9,,,,,,,,,,,,,,,,Angers,145,00:00:09.275,Pass,
,,,,,,,,,,,,,,,,1.780513,,,,,,,,,,,,21b9d065-c97c-46a3-9887-49a90145889b,19,,"[52.9, 11.5]",3901145,0,,,,,-0.1120824,,Head,,,,"[76.0, 8.9]",,High Pass,,23.24586,,Incomplete,,Mohamed Saïd Benrahma,7212.0,,,,,Recovery,1,From Kick Off,Grégory Bourillon,7230.0,Center Defensive Midfield,2,Angers,145,"['b13a41d3-f0e4-4f9d-9372-c127fc35b98e', 'c78dfcec-2a62-4a70-91bb-e3b45f6754ca']",14,,,,,,,,,,,,,,,,Angers,145,00:00:14.233,Pass,
