50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6ab92801-adbb-47cd-a088-a6be6d70c485,1,,,,3901164,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 3431, 'name': 'Vincent Manceau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 3203, 'name': 'Yoann Andreu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 401484, 'name': 'Charles Diers'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 3}, {'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Angers,145,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c7d50ca1-b132-4f89-a3b9-d26f94b346df,2,,,,3901164,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4259, 'name': 'Stéphane Ruffier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 4258, 'name': 'Ronaël Pierre-Gabriel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 33}, {'player': {'id': 3413, 'name': 'Kévin Théophile-Catherine'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 401468, 'name': 'Moustapha Bayal Sall'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 3220, 'name': 'Franck Tabanou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 7442, 'name': 'Jérémy Clément'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 7200, 'name': 'Fabien Lemoine'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 3200, 'name': 'Renaud Cohade'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 4431, 'name': 'Kévin Monnet-Paquet'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 4254, 'name': 'Valentin Eysseric'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 4766, 'name': 'Neal Maupay'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Saint-Étienne,135,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e0a5cede-b581-498d-8cc8-97f0ba38b50a,3,,,,3901164,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,['518b71fe-c555-40a7-baf2-12cb2e8b49e5'],0,,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,518b71fe-c555-40a7-baf2-12cb2e8b49e5,4,,,,3901164,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,['e0a5cede-b581-498d-8cc8-97f0ba38b50a'],0,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c518bf27-6a4a-47af-843e-cdde09713ba5,1828,,,,3901164,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Angers,145,['282e098a-914b-49d2-9f3d-241e7ed56662'],0,,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,282e098a-914b-49d2-9f3d-241e7ed56662,1829,,,,3901164,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Angers,145,['c518bf27-6a4a-47af-843e-cdde09713ba5'],0,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.901174,,,,,,,,,,,,,b0356ad4-ccee-41f1-9707-1d43ee149fa3,5,,,"[60.0, 40.0]",3901164,0,,,,,2.1870933,,Right Foot,,,,"[58.3, 42.4]",Ground Pass,,2.9410882,,,Charles Diers,401484.0,,,,,Kick Off,1,From Kick Off,Billy Ketkeophomphone,4441.0,Center Forward,2,Angers,145,['8d4ffa7a-4b98-4891-86d5-3dbdb21e81ed'],1,,,,,,,,,,,,,,,,,,Angers,145,00:00:01.303,Pass,
,,,,,,,,,,,,,,,,,,3.311872,,,,,,,,,,,,,85fb76ec-13f5-49e8-a51d-a80134af0773,7,,,"[58.8, 43.5]",3901164,0,,,,,0.7384353,,Left Foot,,,,"[98.9, 80.0]",High Pass,,54.224163,Out,,Gilles Sunu,3111.0,,,,,,1,From Kick Off,Charles Diers,401484.0,Right Center Midfield,2,Angers,145,['d52ec9a5-46dd-4916-87ac-ecf961dbb97c'],2,,,,,,,,,,,,,,,,,,Angers,145,00:00:02.205,Pass,
,,,,,,,,,,,,,,,,,,1.787365,,,,,,,,,,,,,6bdd0a38-ef16-4ee8-92ed-4535476a340b,9,,,"[22.8, 0.1]",3901164,0,,,,,0.36254424,,,,,,"[37.3, 5.6]",High Pass,,15.508062,,,Renaud Cohade,3200.0,,,,,Throw-in,1,From Throw In,Franck Tabanou,3220.0,Left Back,3,Saint-Étienne,135,['699073b5-2cbc-43fb-b09d-92cdc23cf2b2'],17,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:17.078,Pass,
,,,,,,,,,,,,,,,,,,0.853409,,,,,,,,,,,,,1604cc93-00fd-484e-9ac4-71a15366e04d,15,,,"[85.1, 71.8]",3901164,0,,,,,0.9944211,,Right Foot,,,,"[87.7, 75.8]",Ground Pass,,4.7707443,,,Gilles Sunu,3111.0,,,,,Recovery,1,Regular Play,Charles Diers,401484.0,Right Center Midfield,4,Angers,145,"['00017cfa-4b50-4cb6-85e4-08a44dee18e6', '2a01c4c4-4c90-4a57-bed7-97405c45bd47']",20,,,,,,,,,,,,,,,,,,Angers,145,00:00:20.080,Pass,True
