50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0462f86e-06c9-4877-9393-d647f1857986,1,,,3901209,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 3203, 'name': 'Yoann Andreu'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3071, 'name': 'Pierrick Capelle'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Angers,145,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6b1dbc1a-03fa-48e8-8c6d-91564b9020da,2,,,3901209,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 401508, 'name': 'Clément Maury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 7808, 'name': 'Roderic Filippi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 7603, 'name': 'Jérémie Bréchet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3207, 'name': 'Pablo Jean Antoine Martínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 401507, 'name': 'Jérôme Le Moigne'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 7389, 'name': 'Amos Youga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 310534, 'name': 'Louis Poggi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 10616, 'name': 'Mohamed Larbi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 5726, 'name': 'Khalid Boutaïb'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 401506, 'name': 'Grégory Pujol'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 28}]}",Gazélec Ajaccio,160,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,76c5a61e-7ede-4152-b91b-d9abb46e60da,3,,,3901209,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,['388d76ed-8040-420e-a11d-2dfa5cbcd4ae'],0,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,388d76ed-8040-420e-a11d-2dfa5cbcd4ae,4,,,3901209,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,['76c5a61e-7ede-4152-b91b-d9abb46e60da'],0,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,907d315e-b525-45fd-afd6-171cc885b2e3,1758,,,3901209,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Angers,145,['d1d3bd38-1070-4525-93d5-68d961d3081e'],0,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d1d3bd38-1070-4525-93d5-68d961d3081e,1759,,,3901209,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Angers,145,['907d315e-b525-45fd-afd6-171cc885b2e3'],0,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.336293,,,,,,,,,,,7d0f7d32-5940-4019-ac75-04a3ab0bdb46,5,,"[60.0, 40.0]",3901209,0,,,,,-1.9995743,,Right Foot,,,"[58.4, 36.5]",Ground Pass,,3.8483763,,,,Thomas Mangani,3185.0,,,,,Kick Off,1,From Kick Off,Billy Ketkeophomphone,4441.0,Center Forward,2,Angers,145,['0c318416-4282-40e8-997a-2ea4507e8eba'],0,,,,,,,,,,,,,,,,Angers,145,00:00:00.333,Pass,
,,,,,,,,,,,,,,,,0.883336,,,,,,,,,,,2cfd554f-7e1a-4677-8054-bf37bd9f5859,8,,"[58.7, 35.0]",3901209,0,,,,,1.3460852,,Left Foot,,,"[59.5, 38.5]",Ground Pass,,3.5902646,,,,Romain Saïss,5219.0,,,,,,1,From Kick Off,Thomas Mangani,3185.0,Left Center Midfield,2,Angers,145,['69acf35f-c27b-4aef-9e04-d62cff7d508e'],0,,,,,,,,,,,,,,,,Angers,145,00:00:00.877,Pass,
,,,,,,,,,,,,,,,,2.450621,,,,,,,,,,,da6817e2-12e9-44ce-ae1d-27ac91293a1f,11,,"[59.5, 38.5]",3901209,0,,,,,1.0267085,,Left Foot,,,"[83.7, 78.5]",High Pass,,46.750828,,Out,,Gilles Sunu,3111.0,,True,,,,1,From Kick Off,Romain Saïss,5219.0,Center Defensive Midfield,2,Angers,145,['c1015fb6-e5ef-4c3b-bf63-553697fb0d17'],1,,,,,,,,,,,,,,,,Angers,145,00:00:01.836,Pass,
,,,,,,,,,,,,,,,,2.652017,,,,,,,,,,,fe73f391-e5e4-4951-b4db-04750ab5f5ef,13,,"[20.1, 0.1]",3901209,0,,,,,0.27290055,,,,,"[54.4, 9.7]",High Pass,,35.618114,,,,Mohamed Larbi,10616.0,,,,,Throw-in,1,From Throw In,Pablo Jean Antoine Martínez,3207.0,Left Back,3,Gazélec Ajaccio,160,['4589d291-eddf-420b-a1d3-86068e8f47e6'],15,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:15.629,Pass,
