50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dba0d07f-6ebc-45ab-8e44-3095d6175eca,1,,,,3901216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7469, 'name': 'Salvatore Sirigu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 20048, 'name': 'Gregory van der Wiel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 2999, 'name': 'Presnel Kimpembe'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 4326, 'name': 'Layvin Kurzawa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 8515, 'name': 'Benjamin Stambouli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 4375, 'name': 'Blaise Matuidi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3745, 'name': 'Lucas Rodrigues Moura da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 4319, 'name': 'Edinson Roberto Cavani Gómez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8776f180-f613-4316-98d2-8307ab2aea03,2,,,,3901216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7444, 'name': 'Alaeddine Yahia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7344, 'name': 'Jordan Adéoti'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 18}, {'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 12}, {'player': {'id': 2992, 'name': 'Vincent Bessat'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 2979, 'name': 'Jonathan Delaplace'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 40701, 'name': 'Jordan Leborgne'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 106683, 'name': 'Saïdi Ntibazonkiza'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 4539, 'name': 'Michaël Jordan Nkololo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Caen,140,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,87c253cc-a84e-43f6-a8c9-e77e7ecdb923,3,,,,3901216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['eb2a27f2-7105-4280-b4fd-c9fea3114b74'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,eb2a27f2-7105-4280-b4fd-c9fea3114b74,4,,,,3901216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['87c253cc-a84e-43f6-a8c9-e77e7ecdb923'],0,,,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b2c9ea99-94d5-479d-bd1f-3189a36104b4,1972,,,,3901216,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,105,Paris Saint-Germain,131,['ed9dafcb-a392-4081-81fb-2d878088c523'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ed9dafcb-a392-4081-81fb-2d878088c523,1973,,,,3901216,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,105,Paris Saint-Germain,131,['b2c9ea99-94d5-479d-bd1f-3189a36104b4'],0,,,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.472044,,,,,,,,,,,,f5d9a0dd-655a-47e0-a555-0a6efa1b14b3,5,,,"[60.0, 40.0]",3901216,0,,,,1.2490457,,Right Foot,,,"[60.2, 40.6]",,Ground Pass,,0.6324555,,,,,Zlatan Ibrahimović,3672.0,,,,,Kick Off,1,From Kick Off,Edinson Roberto Cavani Gómez,4319.0,Left Wing,2,Paris Saint-Germain,131,['eddecc6c-09cf-4868-8160-86b253fbb4ef'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.375,Pass,
,,,,,,,,,,,,,,,1.166979,,,,,,,,,,,,2f15f4a3-a36b-4d30-b62a-aa2e2990be28,8,,,"[61.3, 41.2]",3901216,0,,,,-3.0074039,,Right Foot,,,"[41.3, 38.5]",,Ground Pass,,20.181427,,,,,Benjamin Stambouli,8515.0,,,,,,1,From Kick Off,Zlatan Ibrahimović,3672.0,Center Forward,2,Paris Saint-Germain,131,['bcc49191-be6d-4f65-9ad1-3d0ba2a1527c'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.997,Pass,
,,,,,,,,,,,,,,,1.345018,,,,,,,,,,,,7abe5be8-529a-458c-9264-b873473d8522,11,,,"[41.9, 38.5]",3901216,0,,,,1.4909663,,Left Foot,,,"[43.3, 56.0]",,Ground Pass,,17.55591,,,,,Ángel Fabián Di María Hernández,2995.0,,,,,,1,From Kick Off,Benjamin Stambouli,8515.0,Center Defensive Midfield,2,Paris Saint-Germain,131,['dfc248cf-30f2-48f8-816a-77a4f36c4cf3'],3,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:03.174,Pass,
,,,,,,,,,,,,,,,1.055601,,,,,,,,,,,,4b27308d-6bb9-4aef-8718-100992a47822,15,,,"[47.6, 51.3]",3901216,0,,,,-1.6303588,,Left Foot,,,"[46.3, 29.5]",,Ground Pass,,21.838728,,,,,Blaise Matuidi,4375.0,,,,,,1,From Kick Off,Ángel Fabián Di María Hernández,2995.0,Right Center Midfield,2,Paris Saint-Germain,131,['3047eca3-98f1-4ac5-bcd8-ff7bc3e152d5'],7,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:07.559,Pass,
,,,,,,,,,,,,,,,0.959744,,,,,,,,,,,,abebf8a3-70ee-4eb0-afc0-40e9624898b3,18,,,"[44.1, 29.5]",3901216,0,,,,-0.27829966,,Left Foot,,,"[56.7, 25.9]",,Ground Pass,,13.1041975,,,,,Edinson Roberto Cavani Gómez,4319.0,,,,,,1,From Kick Off,Blaise Matuidi,4375.0,Left Center Midfield,2,Paris Saint-Germain,131,['352d145a-52fc-4cb7-a777-1f664bdff84f'],9,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:09.166,Pass,
