50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6987c457-a898-4462-b2a1-bb8a4a79ea0a,1,,,3901220,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7282, 'name': 'Jean-Louis Leca'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 2989, 'name': 'Alexander Djiku'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 26481, 'name': 'Sébastien Squillaci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 23850, 'name': 'Mathieu Peybernes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 4508, 'name': 'Julian Palmieri'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 3433, 'name': 'Lassana Coulibaly'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 10522, 'name': 'Mehdi Mostefa Sbaa'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3405, 'name': 'François Kamano'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 15689, 'name': 'Floyd Ayité'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 7349, 'name': 'Gaël Danic'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 401541, 'name': 'Evaeverson Lemos da Silva Brandão'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Bastia,2736,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c9091f85-df9b-4608-8ea0-7905b8815d4e,2,,,3901220,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4259, 'name': 'Stéphane Ruffier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3413, 'name': 'Kévin Théophile-Catherine'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 401468, 'name': 'Moustapha Bayal Sall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 4263, 'name': 'Loïc Perrin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 3047, 'name': 'Benoît Assou-Ekotto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 7442, 'name': 'Jérémy Clément'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 7200, 'name': 'Fabien Lemoine'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 3200, 'name': 'Renaud Cohade'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 4431, 'name': 'Kévin Monnet-Paquet'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 4265, 'name': 'Oussama Tannane'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 4}, {'player': {'id': 3179, 'name': 'Nolan Roux'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Saint-Étienne,135,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,37b3ddfc-b7dd-47b0-866c-01ae7b27061e,3,,,3901220,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,['3313b7aa-8ffd-488e-a3e3-c02b5ffd2172'],0,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3313b7aa-8ffd-488e-a3e3-c02b5ffd2172,4,,,3901220,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,['37b3ddfc-b7dd-47b0-866c-01ae7b27061e'],0,,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4b4d8786-b80f-48b4-adbe-ca5178c9a267,1798,,,3901220,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,108,Bastia,2736,['10f37d66-f59e-4621-973a-e2c9be78c753'],0,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,10f37d66-f59e-4621-973a-e2c9be78c753,1799,,,3901220,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,108,Bastia,2736,['4b4d8786-b80f-48b4-adbe-ca5178c9a267'],0,,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.339748,,,,,,,,,,,,,,,2bf13849-0a47-4d4a-a2be-acb60164622c,5,,"[60.0, 40.0]",3901220,0,,,,,-0.124354996,,Right Foot,,,"[60.8, 39.9]",,Ground Pass,0.8062258,,,,Renaud Cohade,3200.0,,,,,,Kick Off,1,From Kick Off,Nolan Roux,3179.0,Center Forward,2,Saint-Étienne,135,['45f3a6f5-e25d-4e72-a5d5-81c5224f2088'],0,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.287,Pass,
,,,,,,,,,,,,,,,,,0.799999,,,,,,,,,,,,,,,0c9b0289-4a1d-4665-8294-024896c90fec,8,,"[59.7, 39.0]",3901220,0,,,,,-3.0388627,,Right Foot,,,"[50.0, 38.0]",,Ground Pass,9.7514105,,,,Jérémy Clément,7442.0,,,,,,,1,From Kick Off,Renaud Cohade,3200.0,Left Center Midfield,2,Saint-Étienne,135,['c159903a-595f-4470-bb52-52c493713a1c'],0,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.774,Pass,
,,,,,,,,,,,,,,,,,1.265762,,,,,,,,,,,,,,,79c84b42-3c44-4a33-ac5c-4acac1641af1,11,,"[52.3, 39.5]",3901220,0,,,,,2.2798724,,Left Foot,,,"[36.6, 57.8]",,Ground Pass,24.111822,,,,Moustapha Bayal Sall,401468.0,,,,,,,1,From Kick Off,Jérémy Clément,7442.0,Center Defensive Midfield,2,Saint-Étienne,135,['2b5ac02e-a8c1-4462-9b6a-4f9671debc88'],3,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:03.206,Pass,
,,,,,,,,,,,,,,,,,0.904984,,,,,,,,,,,,,,,3bb1906a-f595-4876-a49a-c0e5741f2997,15,,"[35.3, 59.4]",3901220,0,,,,,0.22818293,,Right Foot,,,"[56.4, 64.3]",,Ground Pass,21.661486,,,,Fabien Lemoine,7200.0,,,,,,,1,From Kick Off,Moustapha Bayal Sall,401468.0,Right Center Back,2,Saint-Étienne,135,"['becb36d5-2023-4cd1-ac96-15b6e49a8a68', 'd41a0b18-c820-477f-9f89-2bfcc548af17']",5,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:05.596,Pass,True
