50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1ebdbed8-1a94-4799-ade3-b276b1edccad,1,,,3901223,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8277, 'name': 'Wallace Fortuna dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3374, 'name': 'Andrea Raggi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 3406, 'name': 'Jérémy Toulalan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 3955, 'name': 'Tiemoué Bakayoko'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5727, 'name': 'Nabil Dirar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 9931, 'name': 'Hélder Wander Sousa Azevedo Costa'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 3553, 'name': 'Lacina Traoré'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",AS Monaco,129,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4b43cdbf-e064-45f5-9132-670d8d45aa17,2,,,3901223,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 3075, 'name': 'Javier Manquillo Gaitán'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8572, 'name': 'Karim Rekik'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3261, 'name': 'Benjamin Mendy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 10036, 'name': 'Jacques-Alaixys Romao'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 25199, 'name': 'Lucas Silva Borges'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 4351, 'name': 'Bouna Sarr'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 3420, 'name': 'Rémy Cabella'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 13}, {'player': {'id': 4345, 'name': 'Lucas Ariel Ocampos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3457, 'name': 'Michy Batshuayi Tunga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Marseille,147,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dab88106-fee6-4a21-bc4a-036f88bb83c4,3,,,3901223,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,['8ee0345e-04ca-4289-948f-815b2b513007'],0,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8ee0345e-04ca-4289-948f-815b2b513007,4,,,3901223,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,['dab88106-fee6-4a21-bc4a-036f88bb83c4'],0,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d3c7cffb-68aa-4d65-ab14-fead301dfbee,1803,,,3901223,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,110,Marseille,147,['fdb6a74b-9861-4cad-84e7-239e82e78095'],0,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fdb6a74b-9861-4cad-84e7-239e82e78095,1804,,,3901223,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,110,Marseille,147,['d3c7cffb-68aa-4d65-ab14-fead301dfbee'],0,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.181127,,,,,,,,,,,,17340d34-518a-4bb5-8756-c53cd87e9d8b,5,,"[61.0, 40.1]",3901223,0,,,,,-1.6064954,,Left Foot,,,,"[60.9, 37.3]",,Ground Pass,,2.8017852,,,Bernardo Mota Veiga de Carvalho e Silva,3193.0,,,,,Kick Off,1,From Kick Off,Lacina Traoré,3553.0,Center Forward,2,AS Monaco,129,['ed83316c-95cb-4860-a985-a01a3bcff356'],0,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.527,Pass,
,,,,,,,,,,,,,,,,,,,1.392552,,,,,,,,,,,,cc3d033a-d219-4d56-bb0a-d2758630eb3d,8,,"[60.9, 37.2]",3901223,0,,,,,2.692162,,Left Foot,,,,"[43.9, 45.4]",,Ground Pass,,18.874321,,,Jérémy Toulalan,3406.0,,,,,,1,From Kick Off,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Center Attacking Midfield,2,AS Monaco,129,['14ff039f-8416-4000-a0dc-07b59828627c'],0,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.722,Pass,
,,,,,,,,,,,,,,,,,,,1.424294,,,,,,,,,,,,670ee366-e620-4c6e-bf64-aceecbd4758f,11,,"[43.3, 46.2]",3901223,0,,,,,2.748832,,Left Foot,,,,"[29.3, 52.0]",,Ground Pass,,15.153877,,,Wallace Fortuna dos Santos,8277.0,,,,,,1,From Kick Off,Jérémy Toulalan,3406.0,Right Defensive Midfield,2,AS Monaco,129,['41e99aa5-a1bf-454b-a976-aeae2142a335'],2,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:02.590,Pass,
,,,,,,,,,,,,,,,,,,,3.45219,,,,,,,,,,,,e6197e68-47bb-4de6-aeaa-d495f69b0fb9,14,,"[27.7, 58.2]",3901223,0,,,,,0.2234766,,Right Foot,,,,"[82.7, 70.7]",,High Pass,,56.402573,Incomplete,,,,,,,,,1,From Kick Off,Wallace Fortuna dos Santos,8277.0,Right Center Back,2,AS Monaco,129,['19536e77-be8a-445e-a199-7920ebcbd971'],5,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:05.489,Pass,
