50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,01870a21-3f7a-4364-8718-c2d19397d131,1,,,3901233,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3481, 'name': 'Serge Aurier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 4325, 'name': 'Thiago Motta'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8515, 'name': 'Benjamin Stambouli'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 4370, 'name': 'Javier Matías Pastore'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 4319, 'name': 'Edinson Roberto Cavani Gómez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,07e58149-8178-4687-81cc-6b088d3726d9,2,,,3901233,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 3354, 'name': 'Benoît Guy Robert Costil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3250, 'name': 'Edson André Sitoe'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 18921, 'name': 'Joris Gnagnon'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 33}, {'player': {'id': 40699, 'name': 'Sylvain Armand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 7197, 'name': 'Steven Moreira'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 12}, {'player': {'id': 2985, 'name': 'Ludovic Baal'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 24}, {'player': {'id': 29714, 'name': 'Yacouba Sylla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8672, 'name': 'Gélson da Conceição Tavares Fernandes'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 16503, 'name': 'Pedro Henrique Konzen Medina da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 3018, 'name': 'Giovanni-Guy Yann Sio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Rennes,134,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0fd718de-3fbd-49cb-b6d1-fbcacd225b12,3,,,3901233,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['7e8b887f-d200-4874-8f04-135b39d29c48'],0,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7e8b887f-d200-4874-8f04-135b39d29c48,4,,,3901233,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['0fd718de-3fbd-49cb-b6d1-fbcacd225b12'],0,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d0de5d3f-bd63-46b9-a851-253b56125b96,2180,,,3901233,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,89,Paris Saint-Germain,131,['afef627d-fd71-4d47-b051-9f7fd40c0e29'],0,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,afef627d-fd71-4d47-b051-9f7fd40c0e29,2181,,,3901233,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,89,Paris Saint-Germain,131,['d0de5d3f-bd63-46b9-a851-253b56125b96'],0,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.861651,,,,,,,,,,,,c130eb09-6b31-47d5-be52-e0239ddbb236,5,,"[60.0, 40.0]",3901233,0,,,,,-0.48689923,,Right Foot,,,,"[63.4, 38.2]",,Ground Pass,,3.847077,,,,,Giovanni-Guy Yann Sio,3018.0,,,,,Kick Off,1,From Kick Off,Gélson da Conceição Tavares Fernandes,8672.0,Left Defensive Midfield,2,Rennes,134,['c658151f-5281-4248-b52a-21cee6859e3d'],0,,,,,,,,,,,,,,,,Rennes,134,00:00:00.669,Pass,
,,,,,,,,,,,,,,,,2.670535,,,,,,,,,,,,54bf70f2-7ff7-4e8f-8637-6709154c29ce,8,,"[63.6, 38.0]",3901233,0,,,,,0.8820417,,Left Foot,,,,"[97.6, 79.3]",,High Pass,,53.494766,,,Out,,Ousmane Dembélé,5477.0,,True,,,,1,From Kick Off,Giovanni-Guy Yann Sio,3018.0,Center Forward,2,Rennes,134,['a580a224-d3c4-44cb-b4dd-07d35b8c737b'],2,,,,,,,,,,,,,,,,Rennes,134,00:00:02.358,Pass,
,,,,,,,,,,,,,,,,1.16,,,,,,,,,,,,90d36095-86c0-47d3-a388-a353aa4fa977,10,,"[20.4, 0.1]",3901233,0,,,,,0.37459803,,,,,,"[32.1, 4.7]",,Low Pass,,12.571794,,,,,Javier Matías Pastore,4370.0,,,,,Throw-in,1,From Throw In,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,3,Paris Saint-Germain,131,['67b963fd-1683-4acc-8a7c-1990198276bb'],11,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:11.199,Pass,
,,,,,,,,,,,,,,,,0.832681,,,,,,,,,,,,05318f10-2584-4179-ad8b-f72858ef3bf0,13,,"[28.7, 4.2]",3901233,0,,,,,1.9666468,,Right Foot,,,,"[25.9, 10.9]",,Ground Pass,,7.2615423,,,,,Thiago Motta,4325.0,,,,,,1,From Throw In,Javier Matías Pastore,4370.0,Left Center Midfield,3,Paris Saint-Germain,131,['56638b55-e7ba-4c55-8bd7-d423600f0fae'],12,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:12.790,Pass,
