ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,af206056-039b-455e-a48f-475ee0697e91,1,,,,3802805,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3360, 'name': 'Walter Daniel Benítez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 39120, 'name': 'Flavius Daniliuc'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 11532, 'name': 'Jean-Clair Todibo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 3197, 'name': 'Dante Bonfim da Costa Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 33221, 'name': 'Melvin Bard'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 26}, {'player': {'id': 8534, 'name': 'Pablo Paulino Rosario'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3951, 'name': 'Mario Lemina'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 8063, 'name': 'Justin Kluivert'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 21}, {'player': {'id': 22072, 'name': 'Khéphren Thuram-Ulien'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 6302, 'name': 'Kasper Dolberg'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 4435, 'name': 'Amine Gouiri'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",OGC Nice,136,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c843cfc9-ce26-4839-9405-7f70178a3bd1,2,,,,3802805,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8511, 'name': 'Thilo Kehrer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8553, 'name': 'Abdou Diallo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 15651, 'name': 'Juan Bernat Velasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 13621, 'name': 'Danilo Luís Hélio Pereira'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 30}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,21a709cb-a317-415a-a5d7-2e28f97a8b10,3,,,,3802805,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,['66fe65dd-33fa-422f-b43e-381e2a6973ff'],0,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,66fe65dd-33fa-422f-b43e-381e2a6973ff,4,,,,3802805,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,['21a709cb-a317-415a-a5d7-2e28f97a8b10'],0,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a586c34a-2f06-4b92-a927-7eff4bed2ba6,2368,,,,3802805,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,99,Paris Saint-Germain,131,['396658fd-c8a4-4cc4-8ad1-9c7be4ee61fa'],0,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,396658fd-c8a4-4cc4-8ad1-9c7be4ee61fa,2369,,,,3802805,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,99,Paris Saint-Germain,131,['a586c34a-2f06-4b92-a927-7eff4bed2ba6'],0,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.966616,,,,,,,,,,,,,b475634b-24a1-4743-a617-31d579d75f87,5,,,"[60.0, 40.0]",3802805,0,,,,,-2.9278538,,Left Foot,,,,"[47.1, 37.2]",,Ground Pass,,13.200378,,,Danilo Luís Hélio Pereira,13621.0,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Paris Saint-Germain,131,['b5ed3244-e230-45cb-bee9-036a51a3c2f2'],0,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.382,Pass,
,,,,,,,,,,,,,,,,1.215908,,,,,,,,,,,,,1b431e41-0567-4876-b639-084b721e714b,8,,,"[47.3, 36.7]",3802805,0,,,,,-2.1628366,,Right Foot,,,,"[35.8, 19.6]",,Ground Pass,,20.60728,,,Abdou Diallo,8553.0,,,,,,1,From Kick Off,Danilo Luís Hélio Pereira,13621.0,Center Defensive Midfield,2,Paris Saint-Germain,131,['04627753-f22f-467c-aa29-e2211d2a411f'],2,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:02.096,Pass,
,,,,,,,,,,,,,,,,1.138291,,,,,,,,,,,,,c800875f-bf06-42ca-a95a-b242867838e4,11,,,"[35.8, 19.6]",3802805,0,,,,,-1.2596087,,Left Foot,,,,"[41.3, 2.5]",,Ground Pass,,17.96274,,,Juan Bernat Velasco,15651.0,,,,,,1,From Kick Off,Abdou Diallo,8553.0,Left Center Back,2,Paris Saint-Germain,131,['6607ee59-ceb8-4a34-92df-1aa45eebe626'],4,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:04.603,Pass,
,,,,,,,,,,,,,,,,1.503191,,,,,,,,,,,,,3a36a5af-92cd-4096-a325-4c213e2affc8,14,,,"[36.0, 1.9]",3802805,0,,,,,2.239444,,Left Foot,,,,"[21.7, 20.0]",,Ground Pass,,23.067293,,,Abdou Diallo,8553.0,,,,,,1,From Kick Off,Juan Bernat Velasco,15651.0,Left Back,2,Paris Saint-Germain,131,['2e6952dd-3728-4157-b1f1-e491b5a5ff1c'],7,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:07.007,Pass,
