50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6bec891d-7555-43c7-8c57-a7aafd1d1b70,1,,,,3802907,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 29342, 'name': 'Ivo Grbić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10349, 'name': 'Mehmet Zeki Çelik'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 21551, 'name': 'Sven Botman'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 29594, 'name': 'Gabriel Gudmundsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 48347, 'name': 'Amadou Onana'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 2990, 'name': 'Benjamin André'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3377, 'name': 'Timothy Weah'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 4256, 'name': 'Jonathan Bamba'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 16462, 'name': 'Hatem Ben Arfa'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 23640, 'name': 'Jonathan David'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Lille,143,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4832bbcf-c843-4e91-9b2b-f14def68338e,2,,,,3802907,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 50}, {'player': {'id': 5245, 'name': 'Achraf Hakimi Mouh'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 2999, 'name': 'Presnel Kimpembe'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 41092, 'name': 'Nuno Mendes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 16308, 'name': 'Leandro Daniel Paredes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 13621, 'name': 'Danilo Luís Hélio Pereira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 30}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,49edd5c7-d734-40a5-8710-9df2ce89e9fa,3,,,,3802907,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['3282cd6f-cfe3-49e7-8177-0eecb5d172e8'],0,,,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3282cd6f-cfe3-49e7-8177-0eecb5d172e8,4,,,,3802907,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['49edd5c7-d734-40a5-8710-9df2ce89e9fa'],0,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,46c81fcf-60ba-4263-93a8-23c1df97191d,1801,,,,3802907,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,84,Paris Saint-Germain,131,['5bfcc08c-f49c-4137-8bfd-ac9da95ad066'],0,,,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5bfcc08c-f49c-4137-8bfd-ac9da95ad066,1802,,,,3802907,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,84,Paris Saint-Germain,131,['46c81fcf-60ba-4263-93a8-23c1df97191d'],0,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.072994,,,,,,,,,,,,,65bb81b7-f02c-439b-917e-807f3771703c,5,,,"[61.0, 40.1]",3802907,0,,,,3.018136,,Left Foot,,,,"[47.3, 41.8]",,Ground Pass,,13.805072,,,,Leandro Daniel Paredes,16308.0,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Paris Saint-Germain,131,['23b889c3-ba56-4cdc-865b-132cec01cbda'],1,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:01.006,Pass,
,,,,,,,,,,,,,,,,,1.356588,,,,,,,,,,,,,2319cb5b-89fb-4dad-aaf7-3e49adbf243c,8,,,"[44.8, 42.4]",3802907,0,,,,2.1654105,,Right Foot,,,,"[35.4, 56.3]",,Ground Pass,,16.780048,,,,Marcos Aoás Corrêa,4372.0,,,,,,1,From Kick Off,Leandro Daniel Paredes,16308.0,Center Defensive Midfield,2,Paris Saint-Germain,131,['a0a84bce-b3f2-407a-b2c1-7fd3cd21df65'],3,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:03.101,Pass,
,,,,,,,,,,,,,,,,,1.514298,,,,,,,,,,,,,d87beb8b-a61a-4b12-8e4e-3e5509efcddf,11,,,"[35.0, 57.6]",3802907,0,,,,1.2793396,,Left Foot,,,,"[40.1, 74.6]",,Ground Pass,,17.748522,,,,Achraf Hakimi Mouh,5245.0,,,,,,1,From Kick Off,Marcos Aoás Corrêa,4372.0,Right Center Back,2,Paris Saint-Germain,131,['9127b42a-9a6c-4711-a019-de6a4ce5840b'],5,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:05.188,Pass,
,,,,,,,,,,,,,,,,,1.477701,,,,,,,,,,,,,9e791814-26b6-4aa9-9e52-e855f765b715,14,,,"[40.1, 74.6]",3802907,0,,,,-2.4363146,,Right Foot,,,,"[25.3, 62.0]",,Ground Pass,,19.437078,,,,Marcos Aoás Corrêa,4372.0,,,,,,1,From Kick Off,Achraf Hakimi Mouh,5245.0,Right Back,2,Paris Saint-Germain,131,['8e754b52-d617-4ca7-a48c-76c000945986'],7,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:07.574,Pass,
,,,,,,,,,,,,,,,,,1.424389,,,,,,,,,,,,,8ac75892-368f-42be-ada0-cee5ccfa5d98,17,,,"[23.7, 59.3]",3802907,0,,,,-1.657685,,Right Foot,,,,"[21.2, 30.6]",,Ground Pass,,28.80868,,,,Presnel Kimpembe,2999.0,,,,,,1,From Kick Off,Marcos Aoás Corrêa,4372.0,Right Center Back,2,Paris Saint-Germain,131,['942db3be-9dbd-450e-a2fe-8bd32e1c5b3a'],9,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:09.473,Pass,
,,,,,,,,,,,,,,,,,1.429845,,,,,,,,,,,,,77082135-61ca-4cff-b9d1-a4ffc929f206,20,,,"[21.2, 28.8]",3802907,0,,,,-1.3525543,,Left Foot,,,,"[26.7, 4.0]",,Ground Pass,,25.40256,,,,Nuno Mendes,41092.0,,,,,,1,From Kick Off,Presnel Kimpembe,2999.0,Left Center Back,2,Paris Saint-Germain,131,['4ebcabeb-c69a-4666-b41b-86bb98f85807'],12,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:12.075,Pass,
,,,,,,,,,,,,,,,,,1.425532,,,,,,,,,,,,,528993a3-bb96-435c-a7f5-b383d43c57a0,23,,,"[22.0, 7.3]",3802907,0,,,,-0.11444031,,Left Foot,,,,"[48.1, 4.3]",,Ground Pass,,26.271849,,,,Kylian Mbappé Lottin,3009.0,,,,,,1,From Kick Off,Nuno Mendes,41092.0,Left Back,2,Paris Saint-Germain,131,['8c62a05a-beb8-44cd-83c5-b9609b4c4996'],15,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:15.813,Pass,
,,,,,,,,,,,,,,,,,3.564919,,,,,,,,,,,,,6072f2de-52a7-4f3c-bc3b-f7449813ede5,29,,,"[43.7, 0.1]",3802907,0,True,,,2.1500163,,,,,,"[19.5, 37.1]",,Low Pass,,44.21131,,,,Marcos Aoás Corrêa,4372.0,,,,,Throw-in,1,From Throw In,Nuno Mendes,41092.0,Left Back,3,Paris Saint-Germain,131,['be93b925-9eb0-410a-8a62-ac589a15efd4'],31,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:31.219,Pass,
,,,,,,,,,,,,,,,,,2.55201,,,,,,,,,,,,,0c997b51-fbe7-49ee-95bd-092448124ee2,31,,,"[19.5, 42.0]",3802907,0,,,,0.78182673,,Right Foot,,,,"[47.6, 69.9]",,Low Pass,,39.598232,,Incomplete,,Ángel Fabián Di María Hernández,2995.0,,,,,,1,From Throw In,Marcos Aoás Corrêa,4372.0,Right Center Back,3,Paris Saint-Germain,131,"['841ba66e-d54f-4c02-9c70-1ce6d6ddbf2a', 'cb5cdca7-5dd7-4aa6-a67a-caf837076122']",36,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:36.409,Pass,
,,,,,,,,,,,,,,,,,0.688601,,,,,,,,,,,,,ab513adb-2606-4231-860c-7d733e167297,36,,,"[30.3, 72.3]",3802907,0,,,,-0.579564,,Left Foot,,,,"[35.8, 68.7]",,Ground Pass,,6.5734315,,,,Danilo Luís Hélio Pereira,13621.0,,,,,,1,From Throw In,Achraf Hakimi Mouh,5245.0,Right Back,3,Paris Saint-Germain,131,['5393085e-421b-48b9-9682-61c77c4e2e7b'],42,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:42.319,Pass,
,,,,,,,,,,,,,,,,,1.819166,,,,,,,,,,,,,e45995b3-e6d5-4336-b6f8-b2dde8aac542,39,,,"[35.8, 66.0]",3802907,0,,,,-1.9419765,,Right Foot,,,,"[22.8, 32.6]",,Ground Pass,,35.84076,,,,Presnel Kimpembe,2999.0,,,,,,1,From Throw In,Danilo Luís Hélio Pereira,13621.0,Right Center Midfield,3,Paris Saint-Germain,131,['6547e2dc-6221-40a4-bcd2-dcb318d563c3'],44,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:44.380,Pass,
,,,,,,,,,,,,,,,,,1.528068,,,,,,,,,,,,,cc6a9b7e-12b5-47c6-87ce-34c35b8a4ddb,42,,,"[39.8, 21.6]",3802907,0,,,,-0.6346081,,Left Foot,,,,"[56.1, 9.6]",,Ground Pass,,20.2408,,,,Nuno Mendes,41092.0,,,,,,1,From Throw In,Presnel Kimpembe,2999.0,Left Center Back,3,Paris Saint-Germain,131,['2cc42fb6-f7e4-4b05-9169-65a9ddcf0596'],48,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:48.863,Pass,
