50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,5f20f3da-d7d3-4fd5-85bd-271457f0b299,1,,,,3837827,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,,0,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 74588, 'name': 'Christopher Wooh'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 11250, 'name': 'Joe Rodon'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 43913, 'name': 'Arthur Theate'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 27}, {'player': {'id': 45026, 'name': 'Adrien Truffert'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 28914, 'name': 'Lovro Majer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 44738, 'name': 'Lesley Chimuanya Ugochukwu'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 214013, 'name': 'Désiré Doué'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 33}, {'player': {'id': 4435, 'name': 'Amine Gouiri'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 35705, 'name': 'Arnaud Kalimuendo Muinga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Rennes,134,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,c2d92fde-bd0a-450a-b9da-d6518b749457,2,,,,3837827,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,,0,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 13621, 'name': 'Danilo Luís Hélio Pereira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 2935, 'name': 'Nordi Mukiele Mulere'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 26}, {'player': {'id': 15651, 'name': 'Juan Bernat Velasco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 14}, {'player': {'id': 144059, 'name': 'Warren Zaire Emery'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 34639, 'name': 'Vitor Machado Ferreira'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 30}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 50429, 'name': 'Hugo Ekitike'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 44}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,63947044-0241-46ee-8793-cc964d27aec3,3,,,,3837827,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,['c94e5a00-f07f-4e39-9b45-ce45939eabc0'],0,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,c94e5a00-f07f-4e39-9b45-ce45939eabc0,4,,,,3837827,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,['63947044-0241-46ee-8793-cc964d27aec3'],0,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,6d8c7453-6655-4489-8051-084b2daa24eb,2009,,,,3837827,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,76,Paris Saint-Germain,131,['50bfeac8-a5a2-4b19-b265-1457382bdfc4'],0,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,50bfeac8-a5a2-4b19-b265-1457382bdfc4,2010,,,,3837827,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,76,Paris Saint-Germain,131,['6d8c7453-6655-4489-8051-084b2daa24eb'],0,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.238068,,,,,,,,,,c5f7ea96-c74a-46ba-9df1-dfa43136ca87,5,,,"[61.0, 40.1]",3837827,0,,,,2.7392716,,Right Foot,,,,"[46.9, 46.1]",,Ground Pass,,15.323511,,Lovro Majer,28914.0,,,,,,Kick Off,1,From Kick Off,Arnaud Kalimuendo Muinga,35705.0,Center Forward,2,Rennes,134,['9df3d03b-a4c5-4057-9027-edd1d5820b3f'],0,,,,,,,,,,,,,,,,Rennes,134,00:00:00.701,Pass,
,,,,,,,,,,,,,,,,2.759571,,,,,,,,,,0dde678f-4176-46f3-b8e2-014864a12529,8,,,"[48.5, 44.2]",3837827,0,,,,-0.3667757,,Left Foot,,,,"[99.0, 24.8]",,High Pass,,54.098152,Incomplete,Amine Gouiri,4435.0,,,,,,,1,From Kick Off,Lovro Majer,28914.0,Right Defensive Midfield,2,Rennes,134,"['104d6bc5-fb3c-4bd3-9028-865da0e28689', 'd6f149e5-1555-4956-9708-bce644cc20fe']",3,,,,,,,,,,,,,,,,Rennes,134,00:00:03.772,Pass,
,,,,,,,,,,,,,,,,1.521187,,,,,,,,,,104d6bc5-fb3c-4bd3-9028-865da0e28689,10,,,"[21.1, 55.3]",3837827,0,,,,-2.3600855,,Head,,,,"[8.2, 42.5]",,Low Pass,,18.172781,,Gianluigi Donnarumma,7036.0,,,,,,Recovery,1,Regular Play,Sergio Ramos García,5201.0,Right Center Back,3,Paris Saint-Germain,131,"['0dde678f-4176-46f3-b8e2-014864a12529', '6185be4d-e0ff-4dd6-90fc-c5c27b75009b']",6,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:06.532,Pass,
,,,,,,,,,,,,,,,,1.459238,,,,,,,,,,92c061d0-5a85-4f58-9980-62f10d8e8d36,12,,,"[15.3, 40.7]",3837827,0,True,,,-1.4743226,,Right Foot,,,,"[17.4, 19.0]",,Ground Pass,,21.801376,,Danilo Luís Hélio Pereira,13621.0,,,,,,,1,Regular Play,Gianluigi Donnarumma,7036.0,Goalkeeper,3,Paris Saint-Germain,131,['8cef3b65-1c5e-4fbb-80be-fcfcbcb7b421'],24,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:24.621,Pass,
,,,,,,,,,,,,,,,,0.981978,,,,,,,,,,08bea7ca-5b35-412f-bd2a-227cc06e0f5a,14,,,"[17.9, 18.7]",3837827,0,,,,-0.2118873,,Right Foot,,,,"[35.1, 15.0]",,Ground Pass,,17.593464,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,Regular Play,Danilo Luís Hélio Pereira,13621.0,Left Center Back,3,Paris Saint-Germain,131,['a6d9bdf2-6230-430c-a2a9-85d4eb61be98'],26,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:26.831,Pass,
,,,,,,,,,,,,,,,,1.308532,,,,,,,,,,c83577a4-91b6-4031-8872-89b173d01cdb,17,,,"[34.7, 19.0]",3837827,0,,,,2.1356013,,Right Foot,,,,"[28.3, 29.1]",,Ground Pass,,11.957006,,Marcos Aoás Corrêa,4372.0,,,,,,,1,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Attacking Midfield,3,Paris Saint-Germain,131,['ab3124cc-4d5c-4b79-bd22-e5aefad45bb6'],29,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:29.383,Pass,
,,,,,,,,,,,,,,,,1.801238,,,,,,,,,,0eb300d1-cdde-491b-962a-0cda5b3da7f9,19,,,"[28.3, 29.0]",3837827,0,,,,-2.06196,,Right Foot,,,,"[21.4, 16.1]",,Ground Pass,,14.629422,,Danilo Luís Hélio Pereira,13621.0,,,,,,,1,Regular Play,Marcos Aoás Corrêa,4372.0,Center Back,3,Paris Saint-Germain,131,['aa30f77c-9bf7-4f1c-8e12-a20a57923244'],30,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:30.691,Pass,
