50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,cf4a3e17-2ca9-4158-8c8b-8bcf5b60c339,1,,,3749153,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 15637, 'name': ""Sulzeer Jeremiah ''Sol' Campbell""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 26194, 'name': 'Pascal Cygan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 19312, 'name': 'Robert Pirès'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 40255, 'name': 'Jérémie Aliadière'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,de57ef12-2d52-469f-a7ba-8e34f5e72b18,2,,,3749153,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 40322, 'name': 'Mark Schwarzer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 0}, {'player': {'id': 40326, 'name': 'Danny Mills'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 40325, 'name': 'Ugo Ehiogu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 15403, 'name': 'Gareth Southgate'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 40328, 'name': 'Franck Queudrue'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 40327, 'name': 'Szilárd Németh'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 0}, {'player': {'id': 40324, 'name': 'George Boateng'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 40329, 'name': 'Dorival Guidoni Júnior'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 9585, 'name': 'Stewart Downing'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 17793, 'name': 'Boudewijn Zenden'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 40323, 'name': 'Joseph-Desiré Job'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]}",Middlesbrough,47,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,38189153-f8c6-4998-892a-d3b19a269f5a,3,,,3749153,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['f7bf9c12-9415-4451-ad48-a0c79f4b32e2'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f7bf9c12-9415-4451-ad48-a0c79f4b32e2,4,,,3749153,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['38189153-f8c6-4998-892a-d3b19a269f5a'],0,,,,,,,,,,,,,,,,,Middlesbrough,47,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,aa0bef14-fc4c-4546-bbd4-c0a2f4a45fe6,1640,,,3749153,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,117,Middlesbrough,47,['f7b70a2f-32f8-45a3-b7b1-51388b4ecafa'],0,,,,,,,,,,,,,,,,,Middlesbrough,47,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f7b70a2f-32f8-45a3-b7b1-51388b4ecafa,1641,,,3749153,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,117,Middlesbrough,47,['aa0bef14-fc4c-4546-bbd4-c0a2f4a45fe6'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,2.02921,,,,,,,,,,,,,,,4f5ef573-b63d-45e3-a533-be32c0a6a398,5,,"[61.0, 40.1]",3749153,0,,,,,-3.0024967,,Left Foot,,,"[41.0, 37.3]",,Ground Pass,,20.19505,,,,Ugo Ehiogu,40325.0,,,,,Kick Off,1,From Kick Off,Joseph-Desiré Job,40323.0,Left Center Forward,2,Middlesbrough,47,['5054f950-1a12-43ac-9685-ce4d97411da4'],1,,,,,,,,,,,,,,,,,Middlesbrough,47,00:00:01.594,Pass,
,,,,,,,,,,,,,,,,,,7.017528,,,,,,,,,,,,,,,31cf25dd-d875-43b7-ac74-a2a0ae92ea7f,8,,"[41.7, 38.6]",3749153,0,,,,,-0.32519487,,Right Foot,,,"[120.0, 12.2]",,High Pass,,82.630806,,Out,,Joseph-Desiré Job,40323.0,,,,,,1,From Kick Off,Ugo Ehiogu,40325.0,Right Center Back,2,Middlesbrough,47,['7a02c81e-e67a-414b-a206-3ff7cb3a512d'],5,,,,,,,,,,,,,,,,,Middlesbrough,47,00:00:05.129,Pass,
,,,,,,,,,,,,,,,,,,2.88526,,,,,,,,,,,,,,,9629fbcc-f08b-4211-9750-9e755a858c04,10,,"[6.0, 44.0]",3749153,0,,True,,,1.0462006,,Right Foot,,,"[17.4, 63.7]",,Ground Pass,,22.760712,,,,Laureano Bisan-Etame Mayer,40222.0,,,,,Goal Kick,1,From Goal Kick,Jens Lehmann,20015.0,Goalkeeper,3,Arsenal,1,['42579810-1d32-41c1-a4d1-d1f52ede55b2'],28,,,,,,,,,,,,,,,,,Arsenal,1,00:00:28.142,Pass,
,,,,,,,,,,,,,,,,,,1.767722,,,,,,,,,,,,,,,1c958903-c89c-423c-819a-1257a2a2a9cb,12,,"[17.4, 63.7]",3749153,0,,,,,-2.458063,,Right Foot,,,"[5.0, 53.6]",,Ground Pass,,15.992811,,,,Jens Lehmann,20015.0,,,,,,1,From Goal Kick,Laureano Bisan-Etame Mayer,40222.0,Right Back,3,Arsenal,1,['3c2986a9-b1bd-4336-8cbd-f747065db77e'],31,,,,,,,,,,,,,,,,,Arsenal,1,00:00:31.099,Pass,
