ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,41e9d064-6116-43c2-9c44-dd2ee77c8f93,1,,,3749403,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 15637, 'name': ""Sulzeer Jeremiah ''Sol' Campbell""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 26014, 'name': 'Eduardo César Daude Gaspar'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 19312, 'name': 'Robert Pirès'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 15042, 'name': 'Dennis Bergkamp'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9c9012d2-3638-4f72-8bf3-6315ed356f40,2,,,3749403,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 40385, 'name': 'Jussi Jääskeläinen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 9353, 'name': 'Nicky Hunt'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 40393, 'name': 'Bruno N""Gotty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40383, 'name': 'Émerson Augusto Thome'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 40390, 'name': 'Simon Charlton'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 40386, 'name': 'Iván Campo Ramos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 21540, 'name': 'Kevin Nolan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 40384, 'name': 'Augustine Azuka ""Jay-Jay"" Okocha'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 19772, 'name': 'Stylianos Giannakopoulos'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 40387, 'name': 'Henrik Pedersen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 40388, 'name': 'Kevin Cyril Davies'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Bolton Wanderers,328,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c496c55c-6e2b-454f-b2a5-a2a734fb837b,3,,,3749403,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['5897606b-6b40-409f-b5ae-a58e55e10bee'],0,,,,,,,,,,,,,,,,,,Bolton Wanderers,328,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5897606b-6b40-409f-b5ae-a58e55e10bee,4,,,3749403,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['c496c55c-6e2b-454f-b2a5-a2a734fb837b'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,85f1a8c8-3b8f-434a-9dd6-792ee1f2657c,1889,,,3749403,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,105,Bolton Wanderers,328,['53b9022c-815d-46e3-ab28-e480b3be40f8'],0,,,,,,,,,,,,,,,,,,Bolton Wanderers,328,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,53b9022c-815d-46e3-ab28-e480b3be40f8,1890,,,3749403,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,105,Bolton Wanderers,328,['85f1a8c8-3b8f-434a-9dd6-792ee1f2657c'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.589561,,,,,,,,,,,,,,5f13ad4e-d435-481f-8841-2650d41026ea,5,,"[60.0, 40.0]",3749403,0,,,,,1.3439975,,Left Foot,,,,"[60.3, 41.3]",,Ground Pass,,1.3341664,,,,Dennis Bergkamp,15042.0,,,,,Kick Off,1,From Kick Off,Thierry Henry,15516.0,Left Center Forward,2,Arsenal,1,['dcc261db-b226-482c-8294-da810b4ee981'],1,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:01.109,Pass,
,,,,,,,,,,,,,,,0.876479,,,,,,,,,,,,,,0effd68a-e937-4eb7-b1b1-d1d083d0e089,8,,"[60.8, 41.6]",3749403,0,,,,,-2.8982375,,Right Foot,,,,"[46.3, 38.0]",,Ground Pass,,14.940214,,,,Eduardo César Daude Gaspar,26014.0,,,,,,1,From Kick Off,Dennis Bergkamp,15042.0,Right Center Forward,2,Arsenal,1,['8f49ae5f-7172-466c-9b47-57cfef126726'],1,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:01.835,Pass,
,,,,,,,,,,,,,,,1.102921,,,,,,,,,,,,,,d59d05a9-4647-4957-baf9-9e8c280b0106,12,,"[44.3, 36.0]",3749403,0,,,,,-1.7023282,,Left Foot,,,,"[40.9, 10.3]",,Low Pass,,25.923927,,,,Ashley Cole,12529.0,,,,,,1,From Kick Off,Eduardo César Daude Gaspar,26014.0,Left Defensive Midfield,2,Arsenal,1,"['9dcc1bb6-7990-4d8a-a6cc-55886c1feefb', '9efd5a7c-e006-43a3-8e0d-5a2618502272']",3,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:03.396,Pass,True
,,,,,,,,,,,,,,,0.880933,,,,,,,,,,,,,,17d457d0-b94e-4495-bd60-b9b84cd60b18,15,,"[40.9, 10.3]",3749403,0,,,,,0.8606328,,Left Foot,,,,"[50.1, 21.0]",,Ground Pass,,14.111343,,,,Eduardo César Daude Gaspar,26014.0,,,,,,1,From Kick Off,Ashley Cole,12529.0,Left Back,2,Arsenal,1,['15fef074-bdca-44e2-822a-8d03f176dfaa'],5,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:05.313,Pass,
,,,,,,,,,,,,,,,1.263062,,,,,,,,,,,,,,1fd5666d-48e9-47d8-b119-c35f34db9f58,18,,"[50.1, 21.0]",3749403,0,,,,,-1.0149255,,Left Foot,,,,"[62.4, 1.2]",,Ground Pass,,23.30944,,,,Robert Pirès,19312.0,,,,,,1,From Kick Off,Eduardo César Daude Gaspar,26014.0,Left Defensive Midfield,2,Arsenal,1,['57484f41-acb2-4337-8a14-d32535a9f97d'],6,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:06.794,Pass,
,,,,,,,,,,,,,,,1.481145,,,,,,,,,,,,,,29a95175-f8b2-454f-bebc-c09cde3542db,22,,"[61.9, 1.0]",3749403,0,,,,,3.127509,,Right Foot,,,,"[47.7, 1.2]",,Ground Pass,,14.201408,,,,Ashley Cole,12529.0,,,,,,1,From Kick Off,Robert Pirès,19312.0,Left Midfield,2,Arsenal,1,"['bf448169-b21a-4981-9199-d0fa17633312', 'c5693b38-7eb4-4e5d-8556-34fdd41cf518']",8,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:08.164,Pass,True
