ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6354f52c-207c-43f4-a154-a56acb352185,1,,,3749465,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Blackburn Rovers,98,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 38464, 'name': 'Brad Friedel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40354, 'name': 'Lucas Neill'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40356, 'name': 'Craig Short'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 40355, 'name': 'Andy Todd'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 40395, 'name': 'Michael Gray'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 15095, 'name': 'Tugay Kerimoğlu'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 40357, 'name': 'Brett Emerton'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 40398, 'name': 'Jonathan Douglas'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 40397, 'name': 'Martin Andresen'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 25}, {'player': {'id': 24767, 'name': 'Andy Cole'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 40396, 'name': 'Matt Jansen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Blackburn Rovers,98,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cd1fb6dc-eaf4-4d91-b5f7-fadd248ce581,2,,,3749465,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Blackburn Rovers,98,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 15637, 'name': ""Sulzeer Jeremiah ''Sol' Campbell""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 19312, 'name': 'Robert Pirès'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 26014, 'name': 'Eduardo César Daude Gaspar'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 23816, 'name': 'José Antonio Reyes Calderón'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b1ad48ee-9c43-44ce-a307-8f428f4c339a,3,,,3749465,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Blackburn Rovers,98,['2c8556f0-b150-40ff-9030-f997a9336acf'],0,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2c8556f0-b150-40ff-9030-f997a9336acf,4,,,3749465,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Blackburn Rovers,98,['b1ad48ee-9c43-44ce-a307-8f428f4c339a'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ce744905-d062-41bd-8312-397fd46d00f6,1848,,,3749465,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,120,Arsenal,1,['75eec01d-74c9-457e-ac7d-30f39c29634b'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,75eec01d-74c9-457e-ac7d-30f39c29634b,1849,,,3749465,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,120,Arsenal,1,['ce744905-d062-41bd-8312-397fd46d00f6'],0,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.570033,,,,,,,,,,,,,b7399c94-5655-400e-9642-265a52f8113b,5,,"[61.0, 40.1]",3749465,0,,,,,2.910502,,Right Foot,,,,"[52.5, 42.1]",Ground Pass,,8.732124,,,,Tugay Kerimoğlu,15095.0,,,,,Kick Off,1,From Kick Off,Matt Jansen,40396.0,Left Center Forward,2,Blackburn Rovers,98,['466d7511-547f-4e79-89e9-a7cf729827c1'],1,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:00:01.533,Pass,
,,,,,,,,,,,,,,,,,,1.981472,,,,,,,,,,,,,6255ecfe-3072-49b1-abec-f01172ae7a31,7,,"[52.7, 42.1]",3749465,0,,,,,-1.9875528,,Right Foot,,,,"[41.5, 16.8]",Ground Pass,,27.668213,,,,Michael Gray,40395.0,,,,,,1,From Kick Off,Tugay Kerimoğlu,15095.0,Right Defensive Midfield,2,Blackburn Rovers,98,['9b83c137-528e-41be-8d8b-1b2212fd640e'],3,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:00:03.103,Pass,
,,,,,,,,,,,,,,,,,,2.749792,,,,,,,,,,,,,24f75cbb-bb3b-4e69-ae7c-2d0fe2219510,11,,"[41.9, 14.2]",3749465,0,,,,,-0.12745184,,Left Foot,,,,"[85.6, 8.6]",High Pass,,44.05735,,,,Brett Emerton,40357.0,,,,,,1,From Kick Off,Michael Gray,40395.0,Left Back,2,Blackburn Rovers,98,"['4ceccbd2-ff0e-47e3-b2a4-195a03a3c58d', 'd664c2a4-a835-4d50-b3f4-1806e4eef94b']",6,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:00:06.765,Pass,True
,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,1490f732-999b-480f-a499-aee7c3992a5e,14,,"[85.6, 8.6]",3749465,0,,,,True,2.639686,,,,,,"[77.4, 13.1]",High Pass,,9.353609,,,,Michael Gray,40395.0,,,,,,1,From Kick Off,Brett Emerton,40357.0,Left Defensive Midfield,2,Blackburn Rovers,98,"['2da74a5c-bbf8-4c1e-a1ec-d07b32d2f405', 'ed4476fa-27aa-420d-9306-322cdad1f6d0']",9,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:00:09.545,Pass,True
