50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f5e8e789-8ac9-4928-9bf4-bac8fa3c5bc3,1,,,3753992,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 40127, 'name': 'Ryan Mason'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 3083, 'name': 'Heung-Min Son'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tottenham Hotspur,38,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,72836c04-ba3f-4633-9f1e-a86c9b6cb1ae,2,,,3753992,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3970, 'name': 'Fraser Forster'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 44}, {'player': {'id': 3590, 'name': 'Rhu-endly Martina'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 16181, 'name': 'Jordy Clasie'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3842, 'name': 'Shane Long'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Southampton,25,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,46df1f2b-703c-4c7d-aee8-7ce1b0a7103f,3,,,3753992,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['314f1cbf-d5b4-45ef-92cd-4acc657585b0'],0,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,314f1cbf-d5b4-45ef-92cd-4acc657585b0,4,,,3753992,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['46df1f2b-703c-4c7d-aee8-7ce1b0a7103f'],0,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8daf7d04-4506-4f6d-8e8b-76311e1d1d45,1777,,,3753992,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,87,Southampton,25,['e2ebc545-e36a-4a66-adbb-a3feb57af0ad'],0,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e2ebc545-e36a-4a66-adbb-a3feb57af0ad,1778,,,3753992,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,87,Southampton,25,['8daf7d04-4506-4f6d-8e8b-76311e1d1d45'],0,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.291391,,,,,,,,,,,,,,1e2eb4ba-e1ea-4609-a4f0-aa9470ce52f1,5,,"[61.0, 40.1]",3753992,0,,,,,0.62548506,,Right Foot,,,,"[62.8, 41.4]",,Ground Pass,,2.2203603,,,Harry Kane,10955.0,,,,,,Kick Off,1,From Kick Off,Christian Dannemann Eriksen,3043.0,Center Attacking Midfield,2,Tottenham Hotspur,38,['87bacc04-ea29-461f-8bf2-6f0a78104805'],0,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.122,Pass,
,,,,,,,,,,,,,,,,,,0.880086,,,,,,,,,,,,,,3b9ee360-9f84-4d7f-b3be-5896304d938c,7,,"[62.6, 42.2]",3753992,0,,,,,2.9648838,,Right Foot,,,,"[51.4, 44.2]",,Ground Pass,,11.377171,,,Eric Dier,10956.0,,,,,,,1,From Kick Off,Harry Kane,10955.0,Center Forward,2,Tottenham Hotspur,38,['3042920e-115a-4083-a62d-f74fafd10433'],0,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.414,Pass,
,,,,,,,,,,,,,,,,,,1.461302,,,,,,,,,,,,,,e423f29b-8700-470e-bd83-f7754b76d89b,10,,"[51.4, 44.2]",3753992,0,,,,,-2.700842,,Right Foot,,,,"[35.5, 36.7]",,Ground Pass,,17.580103,,,Jan Vertonghen,3077.0,,,,,,,1,From Kick Off,Eric Dier,10956.0,Right Defensive Midfield,2,Tottenham Hotspur,38,['7d3505f9-b1d7-4d3a-b248-d19194e822a8'],2,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:02.078,Pass,
,,,,,,,,,,,,,,,,,,2.848006,,,,,,,,,,,,,,e1e5ad26-395c-4e55-9eb1-7bed343d9079,13,,"[34.1, 38.6]",3753992,0,,,,,1.6708626,,Left Foot,,,,"[31.6, 63.5]",,Ground Pass,,25.025187,,,Toby Alderweireld,20005.0,,,,,,,1,From Kick Off,Jan Vertonghen,3077.0,Left Center Back,2,Tottenham Hotspur,38,['3400b590-9a4d-43c2-8577-7ba699b14748'],4,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:04.896,Pass,
