ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a7c937d5-e70f-4c2e-b1a3-3bd6fc1dee61,1,,,3753993,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6871, 'name': 'Costel Fane Pantilimon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6300, 'name': 'Sebastián Coates Nión'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 4746, 'name': 'Younes Kaboul'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 5617, 'name': 'Sebastian Larsson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 16457, 'name': 'Jeremain Lens'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 9554, 'name': 'Steven Fletcher'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 26}, {'player': {'id': 3337, 'name': 'Jermain Defoe'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Sunderland,41,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0f22c404-0de6-4d3d-809c-5626e2d00b03,2,,,3753993,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 16334, 'name': 'Graham Dorrans'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 3286, 'name': 'Nathan Redmond'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 10966, 'name': 'Wes Hoolahan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 4807, 'name': 'Cameron Jerome'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Norwich City,56,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e9078fab-0484-4b60-b3f8-fca6117ff8dc,3,,,3753993,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,['ca000260-1534-4773-8464-ee4e718b70c5'],0,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ca000260-1534-4773-8464-ee4e718b70c5,4,,,3753993,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,['e9078fab-0484-4b60-b3f8-fca6117ff8dc'],0,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,799fb946-d2de-4fe1-b675-d6a058657308,1628,,,3753993,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,95,Norwich City,56,['b68ab8c3-1cdd-4bd6-b2e9-51d1cf014428'],0,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b68ab8c3-1cdd-4bd6-b2e9-51d1cf014428,1629,,,3753993,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,95,Norwich City,56,['799fb946-d2de-4fe1-b675-d6a058657308'],0,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.33088,,,,,,,,,,,,aac6993e-b7ed-4f31-b60c-38ef90f98730,5,,"[61.0, 40.1]",3753993,0,,,,1.7196863,,Left Foot,,,"[60.4, 44.1]",,Ground Pass,,4.0447497,,,,Nathan Redmond,3286.0,,,,,,Kick Off,1,From Kick Off,Wes Hoolahan,10966.0,Center Attacking Midfield,2,Norwich City,56,['cf05f05c-abc9-42c2-9aa0-7eb2e5fd9e72'],0,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.338,Pass,
,,,,,,,,,,,,,,,1.339849,,,,,,,,,,,,ff2857c6-abf8-422a-a67f-2a743d99dfaa,8,,"[59.8, 43.9]",3753993,0,,,,-2.9473517,,Right Foot,,,"[53.7, 42.7]",,Ground Pass,,6.2169123,,,,Graham Dorrans,16334.0,,,,,,,1,From Kick Off,Nathan Redmond,3286.0,Right Wing,2,Norwich City,56,['1d488144-b2ae-454c-b71c-5e5d7a73966b'],0,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.741,Pass,
,,,,,,,,,,,,,,,2.57428,,,,,,,,,,,,cdc145c6-d092-4aeb-aea3-f9a4e2cfb243,11,,"[53.5, 41.2]",3753993,0,,,,-0.85356545,,Right Foot,,,"[88.3, 1.3]",,High Pass,,52.94384,,Out,,Jonathan Howson,9578.0,,,,,,,1,From Kick Off,Graham Dorrans,16334.0,Right Defensive Midfield,2,Norwich City,56,['dee97d9e-b8b8-4eb1-94a1-153f0d289da3'],2,,,,,,,,,,,,,,,,Norwich City,56,00:00:02.112,Pass,
,,,,,,,,,,,,,,,1.665156,,,,,,,,,,,,bb1e6e05-d078-4509-a26e-0667b6b78c04,13,,"[31.0, 80.0]",3753993,0,,,,-0.3998311,,,,,"[54.9, 69.9]",,High Pass,,25.946484,,,,Steven Fletcher,9554.0,,,,,,Throw-in,1,From Throw In,Billy Jones,10503.0,Right Back,3,Sunderland,41,['9d32fa2b-38d5-49c7-a5ac-ecd8fbefd2cb'],16,,,,,,,,,,,,,,,,Sunderland,41,00:00:16.949,Pass,
,,,,,,,,,,,,,,,1.388801,,,,,,,,,,,,2da1f78d-768b-4544-90fe-6fa3fe2ce03a,15,,"[54.9, 69.9]",3753993,0,,,True,0.19021864,,,,,"[71.0, 73.0]",,High Pass,,16.395731,,Incomplete,,,,,,,,,,1,From Throw In,Steven Fletcher,9554.0,Right Center Forward,3,Sunderland,41,"['7ba13469-efc1-43b2-8db4-a8dc0d241989', 'e870370a-b0a5-45a1-99b2-0197bf4178ed']",18,,,,,,,,,,,,,,,,Sunderland,41,00:00:18.614,Pass,True
,,,,,,,,,,,,,,,1.259883,,,,,,,,,,,,8d0bb496-b33d-48f8-a8d8-fe2d8f3f88c7,19,,"[44.3, 70.7]",3753993,0,,,,-0.009302057,,Head,,,"[65.8, 70.5]",,High Pass,,21.50093,,Incomplete,,Jermain Defoe,3337.0,,,,,,Recovery,1,From Throw In,Lee Cattermole,10783.0,Right Defensive Midfield,3,Sunderland,41,"['150619b7-0285-4343-bd18-a77ff9750643', 'd9eb09dd-3ee5-4007-b5b8-04b0b724bc7a']",21,,,,,,,,,,,,,,,,Sunderland,41,00:00:21.248,Pass,
,,,,,,,,,,,,,,,1.923523,,,,,,,,,,,,150619b7-0285-4343-bd18-a77ff9750643,21,,"[54.3, 9.6]",3753993,0,,,,0.4516,,Head,,,"[71.0, 17.7]",,High Pass,,18.56071,,Incomplete,,Wes Hoolahan,10966.0,,,,,,Recovery,1,From Throw In,Robert Brady,10967.0,Left Back,3,Sunderland,41,"['417b6fab-49d2-4b2d-a3fd-c280d4fe4a44', '8d0bb496-b33d-48f8-a8d8-fe2d8f3f88c7', 'd494815f-85be-4637-a25c-9b5d8042f653']",22,,,,,,,,,,,,,,,,Norwich City,56,00:00:22.508,Pass,
,,,,,,,,,,,,,,,1.242348,,,,,,,,,,,,d494815f-85be-4637-a25c-9b5d8042f653,23,,"[49.1, 62.4]",3753993,0,,,True,-0.07580384,,,,,"[57.0, 61.8]",,Low Pass,,7.922752,,Incomplete,,Steven Fletcher,9554.0,,,,,,Recovery,1,From Throw In,Lee Cattermole,10783.0,Right Defensive Midfield,3,Sunderland,41,"['0bf0ce07-6745-4696-a718-775336700757', '150619b7-0285-4343-bd18-a77ff9750643', '7cfcbf81-ad55-41b6-a613-6ae7584c931c', 'b77f3009-824d-4c65-997e-4b501a0970fd']",24,,,,,,,,,,,,,,,,Sunderland,41,00:00:24.432,Pass,True
,,,,,,,,,,,,,,,1.55729,,,,,,,,,,,,2da31813-9006-4541-9bf9-b75800722ef3,31,,"[62.7, 38.9]",3753993,0,,,,-1.5617057,,Right Foot,,,"[62.9, 16.9]",,Ground Pass,,22.00091,,,,Robert Brady,10967.0,,,,,,Free Kick,1,From Free Kick,Alexander Banor Tettey,9463.0,Left Defensive Midfield,5,Norwich City,56,['fed5b72a-723b-4a23-b26b-b9e5de37f73f'],39,,,,,,,,,,,,,,,,Norwich City,56,00:00:39.645,Pass,
,,,,,,,,,,,,,,,1.397131,,,,,,,,,,,,50d5793c-2753-4188-8301-48f5d02ccba5,34,,"[64.5, 14.8]",3753993,0,,,,0.05731421,,Left Foot,,,"[88.9, 16.2]",,Ground Pass,,24.44013,,Incomplete,,Wes Hoolahan,10966.0,,,,,,,1,From Free Kick,Robert Brady,10967.0,Left Back,5,Norwich City,56,"['18ea2373-d2cd-4922-af9b-a232c4635848', 'd7b6d4f7-68dc-42b3-ba0e-8dff6a86f541']",42,,,,,,,,,,,,,,,,Norwich City,56,00:00:42.417,Pass,
,,,,,,,,,,,,,,,0.916199,,,,,,,,,,,,2532b991-2435-45f7-866b-193f57fa0d83,40,,"[77.4, 16.9]",3753993,0,,,,0.6202495,,Right Foot,,,"[91.4, 26.9]",,Ground Pass,,17.20465,,,,Cameron Jerome,4807.0,,,,,,,1,From Free Kick,Jonathan Howson,9578.0,Left Wing,5,Norwich City,56,['e64e3eb2-f70e-4633-96c1-bc0412c00a2d'],45,,,,,,,,,,,,,,,,Norwich City,56,00:00:45.430,Pass,
