ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,39eb198d-7c1b-4790-91d2-3afc2b1188d7,1,,,3753994,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3970, 'name': 'Fraser Forster'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 44}, {'player': {'id': 3590, 'name': 'Rhu-endly Martina'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 3272, 'name': 'Oriol Romeu Vidal'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3842, 'name': 'Shane Long'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Southampton,25,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4c5e133e-259a-47ab-ab20-15590e35f84a,2,,,3753994,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3487, 'name': 'Julián Speroni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3731, 'name': 'Adrian Mariappa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 3693, 'name': 'Damien Delaney'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3464, 'name': 'James McArthur'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 19688, 'name': 'Jason Puncheon'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 42}, {'player': {'id': 15892, 'name': 'Jordon Mutch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 3092, 'name': 'Dwight Gayle'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 16}, {'player': {'id': 26699, 'name': 'Emmanuel Adebayor'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 25}]}",Crystal Palace,31,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d07bfd7a-c1ab-48ce-b7f8-d4e3c8f5381c,3,,,3753994,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,['0c9b682a-96ff-49bc-a6ef-ce5e3f4bbd74'],0,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0c9b682a-96ff-49bc-a6ef-ce5e3f4bbd74,4,,,3753994,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,['d07bfd7a-c1ab-48ce-b7f8-d4e3c8f5381c'],0,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3e52dcbd-6c1e-4724-82e3-6046be00e480,1707,,,3753994,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,90,Crystal Palace,31,['655f1731-6c7a-4dc1-b043-2b9049f0f87f'],0,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,655f1731-6c7a-4dc1-b043-2b9049f0f87f,1708,,,3753994,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,90,Crystal Palace,31,['3e52dcbd-6c1e-4724-82e3-6046be00e480'],0,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.476715,,,,,,,,,,,,,,567c086f-51dc-4215-8cbf-c0fefc00bb96,5,,"[61.0, 40.1]",3753994,0,,,,1.6220335,,Right Foot,,,"[60.8, 44.0]",,Ground Pass,,3.905125,,,Steven Davis,3828.0,,,,,Kick Off,1,From Kick Off,Shane Long,3842.0,Center Forward,2,Southampton,25,['b4f019e9-a52c-4eb6-a3b8-355278886d43'],0,,,,,,,,,,,,,,,,Southampton,25,00:00:00.729,Pass,
,,,,,,,,,,,,,,,1.260026,,,,,,,,,,,,,,43599946-5206-4d58-b8ab-e7123476b9a5,7,,"[60.4, 44.0]",3753994,0,,,,-2.4323182,,Right Foot,,,"[47.7, 33.1]",,Ground Pass,,16.736189,,,Oriol Romeu Vidal,3272.0,,,,,,1,From Kick Off,Steven Davis,3828.0,Center Attacking Midfield,2,Southampton,25,['08fe1282-f4fc-4a17-8713-6b5351effbe3'],1,,,,,,,,,,,,,,,,Southampton,25,00:00:01.206,Pass,
,,,,,,,,,,,,,,,2.2202,,,,,,,,,,,,,,1b81eb5e-1dce-4cb7-9db8-78f7507692dc,10,,"[41.8, 31.0]",3753994,0,,,,2.059322,,Right Foot,,,"[28.3, 56.4]",,Ground Pass,,28.764736,,,José Miguel da Rocha Fonte,3960.0,,,,,,1,From Kick Off,Oriol Romeu Vidal,3272.0,Right Center Midfield,2,Southampton,25,['d121f3be-723a-48de-97d5-df0e0b1ad9f4'],3,,,,,,,,,,,,,,,,Southampton,25,00:00:03.349,Pass,
,,,,,,,,,,,,,,,2.167615,,,,,,,,,,,,,,22294789-578e-4e6e-a63b-daa5f47c59fb,13,,"[24.0, 54.7]",3753994,0,,,,-1.5105678,,Right Foot,,,"[26.4, 14.9]",,Ground Pass,,39.872295,,,Virgil van Dijk,3669.0,,,,,,1,From Kick Off,José Miguel da Rocha Fonte,3960.0,Right Center Back,2,Southampton,25,['b57a9c28-1742-424c-b013-288aaa4fa2bc'],9,,,,,,,,,,,,,,,,Southampton,25,00:00:09.304,Pass,
,,,,,,,,,,,,,,,2.516999,,,,,,,,,,,,,,d375431e-927e-4ff8-a504-756549140e38,16,,"[24.6, 16.6]",3753994,0,,,,2.267741,,Right Foot,,,"[9.7, 34.4]",,Ground Pass,,23.213142,,,Fraser Forster,3970.0,,,,,,1,From Kick Off,Virgil van Dijk,3669.0,Left Center Back,2,Southampton,25,['ddae546a-1bbf-40e7-b141-4d4dbb0c374d'],14,,,,,,,,,,,,,,,,Southampton,25,00:00:14.193,Pass,
,,,,,,,,,,,,,,,1.471398,,,,,,,,,,,,,,d4aebb73-2bc7-4b34-83d3-dc3fa2cf65e7,19,,"[9.9, 36.3]",3753994,0,,,,1.2378731,,Right Foot,,,"[21.0, 68.4]",,Ground Pass,,33.96498,,,José Miguel da Rocha Fonte,3960.0,,,,,,1,From Kick Off,Fraser Forster,3970.0,Goalkeeper,2,Southampton,25,['fb206374-94fe-4a3b-8b77-7ff0bd60a2c0'],17,,,,,,,,,,,,,,,,Southampton,25,00:00:17.921,Pass,
,,,,,,,,,,,,,,,2.18451,,,,,,,,,,,,,,80eb4c81-3ec6-4fa1-b836-1d0d8e3f2677,22,,"[21.0, 68.4]",3753994,0,,,,-2.1711996,,Right Foot,,,"[7.1, 48.1]",,Ground Pass,,24.602846,,,Fraser Forster,3970.0,,,,,,1,From Kick Off,José Miguel da Rocha Fonte,3960.0,Right Center Back,2,Southampton,25,['3315cb36-28ef-4bdd-bd7a-640c19c9c833'],21,,,,,,,,,,,,,,,,Southampton,25,00:00:21.175,Pass,
,,,,,,,,,,,,,,,2.574779,,,,,,,,,,,,,,9805d11f-f2e5-417e-b01d-b15685cb86b5,26,,"[8.8, 35.5]",3753994,0,,,,0.1640301,,Left Foot,,,"[66.8, 45.1]",,High Pass,,58.789116,,,Shane Long,3842.0,,,,,,1,From Kick Off,Fraser Forster,3970.0,Goalkeeper,2,Southampton,25,['d60e0a17-fe16-404d-86ab-be2acd625021'],26,,,,,,,,,,,,,,,,Southampton,25,00:00:26.013,Pass,
,,,,,,,,,,,,,,,0.999759,,,,,,,,,,,,,,81857ffb-3127-4dee-b1b3-e1a691d7e538,29,,"[77.0, 72.0]",3753994,0,,,,-0.9652517,,Right Foot,,,"[86.0, 59.0]",,Ground Pass,,15.811388,,,Steven Davis,3828.0,,,,,,1,From Kick Off,Shane Long,3842.0,Center Forward,2,Southampton,25,['47d3ef72-f690-4ed2-b22b-908095aeb5fa'],32,,,,,,,,,,,,,,,,Southampton,25,00:00:32.854,Pass,
,,,,,,,,,,,,,,,1.250654,,,,,,,,,,,,,,d3659e6b-aa6c-49c6-9072-63f4454a83d5,32,,"[86.0, 58.8]",3753994,0,,,,-3.0648208,,Left Foot,,,"[71.7, 57.7]",,Ground Pass,,14.342245,,,Victor Wanyama,3098.0,,,,,,1,From Kick Off,Steven Davis,3828.0,Center Attacking Midfield,2,Southampton,25,['39acc896-5c15-4f86-81d7-2a23dca8bba4'],34,,,,,,,,,,,,,,,,Southampton,25,00:00:34.688,Pass,
