ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,96919ca9-de07-4878-8959-313216aaa0d4,1,,,3754027,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tottenham Hotspur,38,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f6b60dfe-c799-4d3b-906f-db5c83994685,2,,,3754027,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 40366, 'name': 'Wes Brown'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 42902, 'name': 'Adam Johnson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 16457, 'name': 'Jeremain Lens'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 4217, 'name': 'Danny Graham'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 3337, 'name': 'Jermain Defoe'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Sunderland,41,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c25ab988-3a62-47ec-a465-a68efa108755,3,,,3754027,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['711e6ca0-e650-44ce-a4b4-708ff49a2f0a'],0,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,711e6ca0-e650-44ce-a4b4-708ff49a2f0a,4,,,3754027,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['c25ab988-3a62-47ec-a465-a68efa108755'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e1c69c15-7a2d-4ca3-851a-cbe1fae0a84e,1696,,,3754027,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,108,Tottenham Hotspur,38,['54a92151-4671-48c8-babb-5f677af78827'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,54a92151-4671-48c8-babb-5f677af78827,1697,,,3754027,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,108,Tottenham Hotspur,38,['e1c69c15-7a2d-4ca3-851a-cbe1fae0a84e'],0,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.8652,,,,,,,,,,,,,,,d4ad81d2-7c0c-4dd6-8ee6-b242ac35fbb5,5,,"[61.0, 40.1]",3754027,0,,,,,2.4468544,,Right Foot,,,,"[60.4, 40.6]",,Ground Pass,,0.781025,,,Harry Kane,10955.0,,,,,Kick Off,1,From Kick Off,Bamidele Alli,3094.0,Center Attacking Midfield,2,Tottenham Hotspur,38,['e44e86fb-3792-4f50-92a0-7521823b1849'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.777,Pass,
,,,,,,,,,,,,,,,,1.332795,,,,,,,,,,,,,,,8fcf4126-80a2-4700-810d-27672951798b,7,,"[58.5, 39.9]",3754027,0,,,,,3.1282005,,Right Foot,,,,"[36.1, 40.2]",,Ground Pass,,22.402008,,,Toby Alderweireld,20005.0,,,,,,1,From Kick Off,Harry Kane,10955.0,Center Forward,2,Tottenham Hotspur,38,['95a5ba7b-e427-4706-9cd7-83e3281ea60b'],1,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:01.643,Pass,
,,,,,,,,,,,,,,,,3.542799,,,,,,,,,,,,,,,7a460d37-db3f-4cb3-a570-10c5ec057925,10,,"[34.6, 39.6]",3754027,0,,,,,0.49814,,Left Foot,,,,"[92.7, 71.2]",,High Pass,,66.137505,Incomplete,,,,,,,,,1,From Kick Off,Toby Alderweireld,20005.0,Right Center Back,2,Tottenham Hotspur,38,['5042ceb3-e245-490c-8862-bac6eacfb802'],4,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:04.221,Pass,
,,,,,,,,,,,,,,,,0.980745,,,,,,,,,,,,,,,f864d057-2b25-446e-8ede-140b8999c1ea,13,,"[32.5, 6.8]",3754027,0,,,,,1.3948567,,Left Foot,,,,"[34.1, 15.8]",,Low Pass,,9.141116,,,Yann Gérard M''Vila,4429.0,,,,,,1,From Kick Off,Patrick van Aanholt,3321.0,Left Back,2,Tottenham Hotspur,38,['d1cce9b3-c464-42b2-b870-641aed5d6fa5'],9,,,,,,,,,,,,,,,,,Sunderland,41,00:00:09.042,Pass,
