ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9ab5d4aa-6d38-4fb6-bab0-b56a8d1fd7f9,1,,,3754029,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tottenham Hotspur,38,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2ceeb58c-2928-438e-842a-8b2e34a6fbda,2,,,3754029,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 12608, 'name': 'Bradley Guzan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9642, 'name': 'Alan Hutton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 3041, 'name': 'Ciaran Clark'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 20285, 'name': 'Joleon Lescott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 42701, 'name': 'Kieran Richardson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5685, 'name': 'Carlos Alberto Sánchez Moreno'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 9533, 'name': 'Leandro Bacuna'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 9638, 'name': 'Jack Grealish'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 40}, {'player': {'id': 11117, 'name': 'Scott Sinclair'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 42699, 'name': 'Gabriel Imuetinyan Agbonlahor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Aston Villa,59,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bdde18ca-5b43-465b-a872-578bd95b1a58,3,,,3754029,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['c23dd91c-d795-4bab-baf7-f6c23baf10e5'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c23dd91c-d795-4bab-baf7-f6c23baf10e5,4,,,3754029,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['bdde18ca-5b43-465b-a872-578bd95b1a58'],0,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0e6fb7c5-648d-4099-8b71-d9c612f9b9ec,1681,,,3754029,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,86,Aston Villa,59,['202688d9-3382-4213-b55b-5e347cc035de'],0,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,202688d9-3382-4213-b55b-5e347cc035de,1682,,,3754029,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,86,Aston Villa,59,['0e6fb7c5-648d-4099-8b71-d9c612f9b9ec'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.322616,,,,,,,,,,,,ea51e613-9567-4256-989c-448ff6274ba6,5,,"[61.0, 40.1]",3754029,0,,,,,2.8868344,,Right Foot,,,"[32.2, 47.6]",,Ground Pass,,29.760544,,,Harry Kane,10955.0,,,,,Kick Off,1,From Kick Off,Mousa Sidi Yaya Dembélé,3037.0,Center Attacking Midfield,2,Tottenham Hotspur,38,['79503cae-386b-4cd1-9f5f-b34c50a8bb2e'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.634,Pass,
,,,,,,,,,,,,,,,,1.481087,,,,,,,,,,,,b6ee2983-e5d6-4428-a364-7775f1e75ce6,8,,"[60.0, 41.1]",3754029,0,,,,,2.8627286,,Right Foot,,,"[36.6, 47.8]",,Ground Pass,,24.340296,,,Jan Vertonghen,3077.0,,,,,,1,From Kick Off,Harry Kane,10955.0,Center Forward,2,Tottenham Hotspur,38,['d69af4d9-0f5d-4dd3-9ffc-e15633bed5ef'],1,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:01.012,Pass,
,,,,,,,,,,,,,,,,3.114863,,,,,,,,,,,,cc399863-a22c-4113-ac5a-1605e88ff3d2,12,,"[38.3, 47.1]",3754029,0,,,,,0.27378014,,Left Foot,,,"[105.6, 66.0]",,High Pass,,69.9035,,Incomplete,Erik Lamela,3585.0,,,,,,1,From Kick Off,Jan Vertonghen,3077.0,Left Center Back,2,Tottenham Hotspur,38,"['42b1f012-8370-4b3a-b53d-4029c2a9d75c', 'cc82f282-00dd-44cc-a64d-befbeb812788', 'ccb13a96-547e-46f6-93a6-d4eca3cd8c63']",3,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:03.870,Pass,True
,,,,,,,,,,,,,,,,1.719624,,,,,,,,,,,,973f366c-51cb-40a7-a790-659f6b69567e,15,,"[103.9, 80.0]",3754029,0,,,,,-1.8145555,,,,,"[99.1, 60.7]",,Low Pass,,19.887936,,,Erik Lamela,3585.0,,,,,Throw-in,1,From Throw In,Kyle Walker,3205.0,Right Back,3,Tottenham Hotspur,38,['4e6d7fa5-2fb0-4972-abd4-23a3f0e29ea8'],17,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:17.024,Pass,
