ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,23ce7045-73d9-48ce-adbf-3aa50083b733,1,,,3754030,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 36983, 'name': 'Juan Carlos Paredes Reasco'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 3288, 'name': 'Miguel Ángel Britos Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3725, 'name': 'José Holebas'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 5540, 'name': 'Valon Behrami'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 29}, {'player': {'id': 3626, 'name': 'Ben Watson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 6870, 'name': 'José Manuel Jurado Marín'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 24}]}",Watford,23,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,edeebea6-5b31-4ed7-b29c-00ebc1b11afe,2,,,3754030,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 16309, 'name': 'Joel Robles Blázquez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4589, 'name': 'Séamus Coleman'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 20046, 'name': 'Phil Jagielka'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3518, 'name': 'Leighton Baines'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3607, 'name': 'James McCarthy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3633, 'name': 'Gareth Barry'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 3726, 'name': 'Gerard Deulofeu Lázaro'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 4275, 'name': 'Ross Barkley'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3953, 'name': 'Aaron Lennon'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 12}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton,29,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7d5854e3-26c8-4c15-8076-37c4b10ee5ca,3,,,3754030,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,['4284a3c4-fe53-4422-96c7-6f249ad4cd41'],0,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4284a3c4-fe53-4422-96c7-6f249ad4cd41,4,,,3754030,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,['7d5854e3-26c8-4c15-8076-37c4b10ee5ca'],0,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,536b224e-7cd8-4c6d-a375-4d23718f5bbf,1748,,,3754030,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,89,Watford,23,['40251a1b-0d3c-474a-b0ef-0c4c4fb7ab39'],0,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,40251a1b-0d3c-474a-b0ef-0c4c4fb7ab39,1749,,,3754030,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,89,Watford,23,['536b224e-7cd8-4c6d-a375-4d23718f5bbf'],0,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.483349,,,,,,,,,,,,,6103054c-1abe-49c6-866d-be08dc5668be,5,,"[60.0, 40.0]",3754030,0,,,,,1.6814536,,Right Foot,,,"[59.7, 42.7]",Ground Pass,,2.7166154,,,,,Ross Barkley,4275.0,,,,,,Kick Off,1,From Kick Off,Romelu Lukaku Menama,3289.0,Center Forward,2,Everton,29,['117d176d-de4c-4540-a0f9-9c93da789a41'],2,,,,,,,,,,,,,,,,,Everton,29,00:00:02.177,Pass,
,,,,,,,,,,,,,,,,1.531895,,,,,,,,,,,,,33b9f674-ef71-41ac-8e5c-fffe7ccfeb17,8,,"[58.1, 44.4]",3754030,0,,,,,2.113416,,Right Foot,,,"[42.0, 71.1]",Ground Pass,,31.178518,,,,,Séamus Coleman,4589.0,,,,,,,1,From Kick Off,Ross Barkley,4275.0,Center Attacking Midfield,2,Everton,29,['4a104653-dbe6-4f81-a571-085ae0b3da1a'],4,,,,,,,,,,,,,,,,,Everton,29,00:00:04.422,Pass,
,,,,,,,,,,,,,,,,1.160878,,,,,,,,,,,,,beb14ea3-6961-4c87-b6b2-32526bf0cd00,11,,"[42.0, 71.1]",3754030,0,,,,,0.17809294,,Right Foot,,,"[62.0, 74.7]",Ground Pass,,20.321417,,,,,Gerard Deulofeu Lázaro,3726.0,,,,,,,1,From Kick Off,Séamus Coleman,4589.0,Right Back,2,Everton,29,['eb906b81-2878-4260-9aff-84c8bf38f23d'],6,,,,,,,,,,,,,,,,,Everton,29,00:00:06.911,Pass,
,,,,,,,,,,,,,,,,0.880442,,,,,,,,,,,,,ad5c8ac9-f728-467c-83a2-57bb599ded61,15,,"[58.2, 71.4]",3754030,0,,,,,-1.7392526,,Right Foot,,,"[55.7, 56.7]",Ground Pass,,14.91107,,,,,James McCarthy,3607.0,,,,,,,1,From Kick Off,Gerard Deulofeu Lázaro,3726.0,Right Wing,2,Everton,29,['7fdb1e66-412c-4888-abe7-8098d56eb259'],9,,,,,,,,,,,,,,,,,Everton,29,00:00:09.698,Pass,
