ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0f4af00e-8fcf-484f-bbca-26104b09c4b1,1,,,3754032,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3537, 'name': 'Jack Butland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4724, 'name': 'Glen Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 4035, 'name': 'Ryan Shawcross'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 40121, 'name': 'Philipp Wollscheid'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 3467, 'name': 'Erik Pieters'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 9625, 'name': 'Glenn Whelan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 4891, 'name': 'Ibrahim Afellay'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3670, 'name': 'Jonathan Walters'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 3325, 'name': 'Marko Arnautović'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3265, 'name': 'José Luis Sanmartín Mato'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Stoke City,30,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4b49495a-64f8-4367-bf06-71a438eabf63,2,,,3754032,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,,0,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 9014, 'name': 'Declan Rudd'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 9930, 'name': 'Ryan Bennett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 9452, 'name': ""Gary O''Neil""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 23742, 'name': 'Vadis Odjidja-Ofoe'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 32}, {'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 10966, 'name': 'Wes Hoolahan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 23663, 'name': 'Dieumerci Mbokani Bezua'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Norwich City,56,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5156ad9d-5fbb-4f74-9caa-28f31a71e136,3,,,3754032,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,['cf0307ef-f1fd-408b-b423-e8ac819d76b8'],0,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cf0307ef-f1fd-408b-b423-e8ac819d76b8,4,,,3754032,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,['5156ad9d-5fbb-4f74-9caa-28f31a71e136'],0,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9fceeab8-d2cd-4619-9603-92e0d8149096,1805,,,3754032,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,Norwich City,56,['067680ae-57b0-46b4-836a-c817dffc1bbc'],0,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,067680ae-57b0-46b4-836a-c817dffc1bbc,1806,,,3754032,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,Norwich City,56,['9fceeab8-d2cd-4619-9603-92e0d8149096'],0,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.429816,,,,,,,,,,,,,4d118836-a665-4d3e-9e25-bed75928e685,5,,"[60.0, 40.0]",3754032,0,,,,,1.4711276,,Right Foot,,,"[60.3, 43.0]",,Ground Pass,,3.0149627,,,,,Bojan Krkíc Pérez,4913.0,,,,,,Kick Off,1,From Kick Off,Ibrahim Afellay,4891.0,Left Defensive Midfield,2,Stoke City,30,['96eaf965-5194-46d9-8bf7-d8cb7639b14b'],0,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.450,Pass,
,,,,,,,,,,,,,,,0.788587,,,,,,,,,,,,,f6e573a0-d726-4ab8-b454-dcbcecc1fb32,7,,"[60.4, 43.0]",3754032,0,,,,,-2.5596876,,Right Foot,,,"[52.8, 38.0]",,Ground Pass,,9.097252,,,,,Glenn Whelan,9625.0,,,,,,,1,From Kick Off,Bojan Krkíc Pérez,4913.0,Center Attacking Midfield,2,Stoke City,30,['23bf6ac6-423f-497b-a677-4267cf475210'],0,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.880,Pass,
,,,,,,,,,,,,,,,3.255344,,,,,,,,,,,,,9d0ab3ea-bf1e-4c09-a2e8-fb62442cf8ba,10,,"[54.2, 39.9]",3754032,0,,,,,0.76331043,,Right Foot,,,"[88.9, 73.1]",,High Pass,,48.024265,,,Incomplete,,Jonathan Walters,3670.0,,,,,,,1,From Kick Off,Glenn Whelan,9625.0,Right Defensive Midfield,2,Stoke City,30,"['2f7fab2c-8818-4f52-b8cb-8846d18d6376', 'cd84ebcc-e68f-45f3-ab55-1f6d37dad247']",2,,,,,,,,,,,,,,,,Stoke City,30,00:00:02.854,Pass,
,,,,,,,,,,,,,,,1.5791,,,,,,,,,,,,,2f7fab2c-8818-4f52-b8cb-8846d18d6376,13,,"[31.2, 7.0]",3754032,0,,,,True,0.07181871,,,,,"[45.1, 8.0]",,High Pass,,13.935925,,,,,Jonathan Howson,9578.0,,,,,,Recovery,1,Regular Play,Robert Brady,10967.0,Left Back,3,Norwich City,56,"['9d0ab3ea-bf1e-4c09-a2e8-fb62442cf8ba', 'c758895a-8dc1-4b64-b3ed-6762ff636436', 'fb985899-b28f-47c2-95d3-4ffcc1a9aa06']",6,,,,,,,,,,,,,,,,Norwich City,56,00:00:06.109,Pass,True
