ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d36b860f-5606-4f1c-b788-2446dc94af87,1,,,3754037,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 13042, 'name': 'Tim Howard'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 24}, {'player': {'id': 3476, 'name': 'Muhamed Bešić'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4700, 'name': 'Matthew Pennington'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 38}, {'player': {'id': 3518, 'name': 'Leighton Baines'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3607, 'name': 'James McCarthy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 20067, 'name': 'Darron Gibson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3953, 'name': 'Aaron Lennon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 4275, 'name': 'Ross Barkley'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3683, 'name': 'Tom Cleverley'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 3442, 'name': 'El-Hadji Baye Oumar Niasse'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Everton,29,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,99495381-5ec2-47da-a03c-56c19385eebb,2,,,3754037,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20074, 'name': 'Artur Boruc'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3608, 'name': 'Simon Francis'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 9626, 'name': 'Tommy Elphick'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3341, 'name': 'Steve Cook'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3345, 'name': 'Charlie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3049, 'name': 'Matt Ritchie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 30}, {'player': {'id': 3304, 'name': 'Harry Arter'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3344, 'name': 'Andrew Surman'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3646, 'name': 'Marc Pugh'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 3346, 'name': 'Joshua King'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 3616, 'name': 'Callum Wilson'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 13}]}",AFC Bournemouth,28,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,974ea3e2-6fcd-4461-9aa2-7b32fa05906b,3,,,3754037,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['b3494be3-c329-412e-a6fc-1bbcd0136a78'],0,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b3494be3-c329-412e-a6fc-1bbcd0136a78,4,,,3754037,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['974ea3e2-6fcd-4461-9aa2-7b32fa05906b'],0,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,88977248-3e98-4c7d-92e1-7070eef768e6,1976,,,3754037,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,83,Everton,29,['3ad8cd18-d888-4daf-baf2-96161d10da4e'],0,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3ad8cd18-d888-4daf-baf2-96161d10da4e,1977,,,3754037,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,83,Everton,29,['88977248-3e98-4c7d-92e1-7070eef768e6'],0,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.522041,,,,,,,,,,,,,f4dea44f-a325-4ad2-82d9-9134bc72af95,5,,"[60.0, 40.0]",3754037,0,,,,,1.5019399,,Right Foot,,,"[60.2, 42.9]",,Ground Pass,,2.9068885,,,,Callum Wilson,3616.0,,,,,Kick Off,1,From Kick Off,Joshua King,3346.0,Right Center Forward,2,AFC Bournemouth,28,['e986b5f4-64ca-4732-a58c-02db26e4e367'],0,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.080,Pass,
,,,,,,,,,,,,,,,0.797338,,,,,,,,,,,,,f9068b11-0af2-4afb-b5e8-132c369ba37f,7,,"[60.0, 42.9]",3754037,0,,,,,-2.725154,,Right Foot,,,"[49.6, 38.3]",,Ground Pass,,11.371895,,,,Harry Arter,3304.0,,,,,,1,From Kick Off,Callum Wilson,3616.0,Left Center Forward,2,AFC Bournemouth,28,['3f0c65bc-36fb-41cd-a863-b0774b5abe81'],0,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.602,Pass,
,,,,,,,,,,,,,,,1.763912,,,,,,,,,,,,,14aa3f25-b295-4b44-8616-f43a57381c58,10,,"[48.9, 39.8]",3754037,0,,,,,1.9172567,,Left Foot,,,"[37.6, 71.1]",,Ground Pass,,33.27732,,,,Simon Francis,3608.0,,,,,,1,From Kick Off,Harry Arter,3304.0,Right Center Midfield,2,AFC Bournemouth,28,['6fe942c7-c25e-4627-bb64-fd1cb3dacdbc'],2,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:02.445,Pass,
,,,,,,,,,,,,,,,6.693545,,,,,,,,,,,,,77ed3e8d-005b-4da6-8068-f6db1091fdae,13,,"[38.5, 73.1]",3754037,0,,,,,-0.1814677,,Right Foot,,,"[114.8, 59.1]",,High Pass,,77.57377,,Incomplete,,Callum Wilson,3616.0,,,,,,1,From Kick Off,Simon Francis,3608.0,Right Back,2,AFC Bournemouth,28,"['a1c01cfc-4504-4e91-9903-e4a62923eb44', 'c7a039ea-36fc-4262-a5d9-e4c1c36e9d5a']",5,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:05.943,Pass,
