ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,82244c90-3e33-48fe-bd07-d9d4c9b7d918,1,,,3754072,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 6871, 'name': 'Costel Fane Pantilimon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6300, 'name': 'Sebastián Coates Nión'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 16}, {'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 3658, 'name': 'DeAndre Yedlin'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 24}, {'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 4417, 'name': 'Ola Toivonen'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 7171, 'name': 'Fabio Borini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 9}, {'player': {'id': 22281, 'name': 'Duncan Watmore'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 41}, {'player': {'id': 9554, 'name': 'Steven Fletcher'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 26}]}",Sunderland,41,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,35577f7a-ddb3-4424-808b-b6235f4fac12,2,,,3754072,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 3288, 'name': 'Miguel Ángel Britos Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 29}, {'player': {'id': 3626, 'name': 'Ben Watson'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 43081, 'name': 'Almen Abdi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 6870, 'name': 'José Manuel Jurado Marín'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Watford,23,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,16362a00-5510-4db6-a501-a562d3d00f15,3,,,3754072,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,['b66c65ab-4a66-4d67-ba56-233c48631c84'],0,,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b66c65ab-4a66-4d67-ba56-233c48631c84,4,,,3754072,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,['16362a00-5510-4db6-a501-a562d3d00f15'],0,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0a6483ce-622e-4535-aecf-439784f4981e,1769,,,3754072,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Watford,23,['54ee80e4-b12a-4f3d-b438-dedd02555019'],0,,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,54ee80e4-b12a-4f3d-b438-dedd02555019,1770,,,3754072,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Watford,23,['0a6483ce-622e-4535-aecf-439784f4981e'],0,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.721674,,,,,,,,,,,58c32441-8a46-4eb3-803e-289e77110dac,5,,"[60.0, 40.0]",3754072,0,,,,,1.2793396,,Right Foot,,,"[60.6, 42.0]",,Ground Pass,,2.0880613,,,,Yann Gérard M''Vila,4429.0,,,,,Kick Off,1,From Kick Off,Duncan Watmore,22281.0,Left Center Midfield,2,Sunderland,41,['158ed536-8e46-43e3-809e-c058c4ed19a5'],0,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.661,Pass,
,,,,,,,,,,,,,,,,2.321463,,,,,,,,,,,2b8754d6-ec4a-4176-80b0-2bb804f25b69,8,,"[59.7, 38.9]",3754072,0,,,,,2.7387276,,Right Foot,,,"[29.9, 51.6]",,Ground Pass,,32.393364,,,,Sebastián Coates Nión,6300.0,,,,,,1,From Kick Off,Yann Gérard M''Vila,4429.0,Left Defensive Midfield,2,Sunderland,41,['9d3f1659-eaae-4724-b1e4-912ad35f4fb2'],1,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:01.687,Pass,
,,,,,,,,,,,,,,,,2.732039,,,,,,,,,,,d5228b9c-5a72-41ac-b48b-b9b1da164ffb,11,,"[37.0, 54.9]",3754072,0,,,,,-0.013651029,,Right Foot,,,"[95.6, 54.1]",,High Pass,,58.60546,,Incomplete,,,,,,,,,1,From Kick Off,Sebastián Coates Nión,6300.0,Right Center Back,2,Sunderland,41,['9f24e290-d49e-4ac4-87b1-f6f91d923afd'],8,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:08.817,Pass,
,,,,,,,,,,,,,,,,1.176162,,,,,,,,,,,9f24e290-d49e-4ac4-87b1-f6f91d923afd,13,,"[24.5, 26.0]",3754072,0,,,,True,-0.20176235,,,,,"[37.7, 23.3]",,High Pass,,13.473307,,Incomplete,,José Manuel Jurado Marín,6870.0,,,,,Recovery,1,From Kick Off,Miguel Ángel Britos Cabrera,3288.0,Left Center Back,2,Sunderland,41,"['3186652b-92df-4f17-a292-6e9d225a859b', '4654d8aa-a324-443c-b768-a46fc98bfff9', 'd5228b9c-5a72-41ac-b48b-b9b1da164ffb', 'da54fe44-6158-46d8-960e-29183941c3ae']",11,,,,,,,,,,,,,,,,,,Watford,23,00:00:11.549,Pass,True
