ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0b3adfed-eea6-4a21-8228-f8ba207fa5f2,1,,,3754085,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3340, 'name': 'Kyle Naughton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 4726, 'name': 'Kyle Bartley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 27}, {'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4631, 'name': 'Leon Britton'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 3605, 'name': 'Sung-Yeung Ki'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3449, 'name': 'Wayne Routledge'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 20521, 'name': 'Bafétimbi Gomis'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Swansea City,26,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8e02b5de-34c3-4ad5-bf54-7e829dbe748f,2,,,3754085,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 3671, 'name': 'José Leonardo Ulloa'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Leicester City,22,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,01938ab1-618c-433f-8d7f-673dc8a9a236,3,,,3754085,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,['1fe6e74a-05e4-42e1-bb5a-3206725e2b66'],0,,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1fe6e74a-05e4-42e1-bb5a-3206725e2b66,4,,,3754085,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,['01938ab1-618c-433f-8d7f-673dc8a9a236'],0,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,81aa9701-dc19-4973-a6ba-050f437c1a30,1924,,,3754085,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Leicester City,22,['21789aac-322c-47ae-8284-557571e2c8e9'],0,,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,21789aac-322c-47ae-8284-557571e2c8e9,1925,,,3754085,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Leicester City,22,['81aa9701-dc19-4973-a6ba-050f437c1a30'],0,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.328018,,,,,,,,,,,,,b987f83d-2758-4f29-81a5-92d1097a00ef,5,,"[61.0, 40.1]",3754085,0,,,,,1.7234457,,Right Foot,,,,"[60.8, 41.4]",,Ground Pass,,1.3152946,,,,Gylfi Þór Sigurðsson,3944.0,,,,,,Kick Off,1,From Kick Off,Bafétimbi Gomis,20521.0,Center Forward,2,Swansea City,26,['0ede1e80-b4b8-4003-9a7e-acf6c238c098'],0,,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.472,Pass,
,,,,,,,,,,,,,,,,,0.759119,,,,,,,,,,,,,0e447238-db02-4035-8eba-5dec4c4ab1ee,7,,"[59.9, 41.6]",3754085,0,,,,,-3.038068,,Right Foot,,,,"[52.2, 40.8]",,Ground Pass,,7.741447,,,,Leon Britton,4631.0,,,,,,,1,From Kick Off,Gylfi Þór Sigurðsson,3944.0,Center Attacking Midfield,2,Swansea City,26,['d6814da7-53ad-4218-bca2-60180e6d3d4f'],0,,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.800,Pass,
,,,,,,,,,,,,,,,,,2.276537,,,,,,,,,,,,,7b3f39fd-b23c-4743-a664-104790c58c49,10,,"[47.9, 38.9]",3754085,0,,,,,2.226492,,Right Foot,,,,"[29.9, 62.3]",,Ground Pass,,29.522196,,,,Kyle Bartley,4726.0,,,,,,,1,From Kick Off,Leon Britton,4631.0,Right Center Midfield,2,Swansea City,26,['60097da9-f114-48bd-896a-33bb3b0aa707'],2,,,,,,,,,,,,,,,,,Swansea City,26,00:00:02.529,Pass,
,,,,,,,,,,,,,,,,,1.605312,,,,,,,,,,,,,bbb9f5cb-d264-44d1-8acb-eba20b411764,13,,"[29.7, 62.6]",3754085,0,,,,,1.156969,,Right Foot,,,,"[36.2, 77.4]",,Ground Pass,,16.164467,,,,Kyle Naughton,3340.0,,,,,,,1,From Kick Off,Kyle Bartley,4726.0,Right Center Back,2,Swansea City,26,['6eca917b-0a7b-423d-982c-ad109f3d97a1'],4,,,,,,,,,,,,,,,,,Swansea City,26,00:00:04.897,Pass,
