bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,530c0c21-79f5-4531-8e77-34bacc281eb4,1,,,,3754091,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3537, 'name': 'Jack Butland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4724, 'name': 'Glen Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 3480, 'name': 'Geoff Cameron'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 40121, 'name': 'Philipp Wollscheid'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 3467, 'name': 'Erik Pieters'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3636, 'name': 'Charlie Adam'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 9625, 'name': 'Glenn Whelan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 3325, 'name': 'Marko Arnautović'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3265, 'name': 'José Luis Sanmartín Mato'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Stoke City,30,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9b4f7e75-689f-44fc-9e7c-ff5a8306dad5,2,,,,3754091,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 3288, 'name': 'Miguel Ángel Britos Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 40118, 'name': 'Ikechi Anya'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 21}, {'player': {'id': 3626, 'name': 'Ben Watson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 29}, {'player': {'id': 43081, 'name': 'Almen Abdi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 24}]}",Watford,23,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1ab3eaa5-d5fe-495b-82be-41c641ac4894,3,,,,3754091,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,['145371e4-669b-4c82-aecf-7eb78e01e2ab'],0,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,145371e4-669b-4c82-aecf-7eb78e01e2ab,4,,,,3754091,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,['1ab3eaa5-d5fe-495b-82be-41c641ac4894'],0,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1459e746-1ddc-430f-b5bf-220489ddbac5,1678,,,,3754091,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,Stoke City,30,['f5ed15e9-d932-47e4-8655-2e99b5cff719'],0,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f5ed15e9-d932-47e4-8655-2e99b5cff719,1679,,,,3754091,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,Stoke City,30,['1459e746-1ddc-430f-b5bf-220489ddbac5'],0,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.521926,,,,,,,,,,,,,0d06856a-d09c-4bbf-a744-13856d5b8026,5,,,"[60.0, 40.0]",3754091,0,,,,,-1.5490606,,Right Foot,,,,"[60.1, 35.4]",,Ground Pass,,4.6010866,,,,Bojan Krkíc Pérez,4913.0,,,,,,Kick Off,1,From Kick Off,José Luis Sanmartín Mato,3265.0,Center Forward,2,Stoke City,30,['e5e74ef3-f358-4030-8b3b-9c2c391e7751'],0,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.075,Pass,
,,,,,,,,,,,,,,,,,,0.410895,,,,,,,,,,,,,31c9a8de-ce80-41f8-add5-60c9e39f018e,8,,,"[59.1, 37.2]",3754091,0,,,,,2.5796711,,Right Foot,,,,"[56.4, 38.9]",,Ground Pass,,3.1906111,,,,Glenn Whelan,9625.0,,,,,,,1,From Kick Off,Bojan Krkíc Pérez,4913.0,Center Attacking Midfield,2,Stoke City,30,['e9d1c3f0-7018-45a9-a8fe-00b28f363fe7'],1,,,,,,,,,,,,,,,,,Stoke City,30,00:00:01.171,Pass,
,,,,,,,,,,,,,,,,,,1.668739,,,,,,,,,,,,,bb6dc085-e171-4e7f-8625-c62e0d372c10,11,,,"[56.1, 38.7]",3754091,0,,,,,-1.9257101,,Right Foot,,,,"[44.5, 7.4]",,Ground Pass,,33.380383,,,,Erik Pieters,3467.0,,,,,,,1,From Kick Off,Glenn Whelan,9625.0,Left Center Midfield,2,Stoke City,30,['dbba35c8-0083-4945-83e3-f86edf7b56d4'],2,,,,,,,,,,,,,,,,,Stoke City,30,00:00:02.388,Pass,
,,,,,,,,,,,,,,,,,,1.009779,,,,,,,,,,,,,71b3898c-c00e-4a8e-98f9-9693b2ae2a9e,14,,,"[45.8, 6.0]",3754091,0,,,,,-0.33109608,,Left Foot,,,,"[55.4, 2.7]",,Ground Pass,,10.151355,,,,Marko Arnautović,3325.0,,,,,,,1,From Kick Off,Erik Pieters,3467.0,Left Back,2,Stoke City,30,['dae94818-1f88-4d68-83ca-4081ddcef9d7'],5,,,,,,,,,,,,,,,,,Stoke City,30,00:00:05.222,Pass,
