bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9186da32-9571-41a6-9962-f84ebd4596ce,1,,,,3754093,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,,,"{'formation': 4321, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 40127, 'name': 'Ryan Mason'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 3083, 'name': 'Heung-Min Son'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tottenham Hotspur,38,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d6a61365-b1f4-4ed9-a3a0-7afdc2a06ce4,2,,,,3754093,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3339, 'name': 'Asmir Begović'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5594, 'name': 'Branislav Ivanović'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3456, 'name': 'Kurt Happy Zouma'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3645, 'name': 'Gary Cahill'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 3957, 'name': 'César Azpilicueta Tanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3381, 'name': 'Nemanja Matić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3472, 'name': 'Willian Borges da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 40122, 'name': 'Oscar dos Santos Emboaba Júnior'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Chelsea,33,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5572bae0-e59c-4673-a6ce-586e5f75d0a3,3,,,,3754093,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['fe765024-e1b4-4f20-9c9b-d2ef0b1fe1e2'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fe765024-e1b4-4f20-9c9b-d2ef0b1fe1e2,4,,,,3754093,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['5572bae0-e59c-4673-a6ce-586e5f75d0a3'],0,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b6994a15-0f96-4746-8a8e-8b5cbc8648f9,1684,,,,3754093,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,84,Tottenham Hotspur,38,['7f6cbc11-7d9d-4f29-97c6-da4f8b6644af'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7f6cbc11-7d9d-4f29-97c6-da4f8b6644af,1685,,,,3754093,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,84,Tottenham Hotspur,38,['b6994a15-0f96-4746-8a8e-8b5cbc8648f9'],0,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.670718,,,,,,,,,,,,f1178973-c0dd-4be5-abf9-71d9516a80c4,5,,,"[60.0, 40.0]",3754093,0,,,,,3.1041102,,Right Foot,,,,"[36.0, 40.9]",Ground Pass,,24.016869,,,,Jan Vertonghen,3077.0,,,,,,Kick Off,1,From Kick Off,Harry Kane,10955.0,Center Forward,2,Tottenham Hotspur,38,['8e2f48e6-2962-4ae8-a397-c88c7900b2ea'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.467,Pass,
,,,,,,,,,,,,,,,,,6.677045,,,,,,,,,,,,7c68606c-73c2-4f43-9130-5700c7ffcae7,8,,,"[36.0, 41.5]",3754093,0,,,,,0.3835814,,Left Foot,,,,"[120.0, 75.4]",High Pass,,90.58261,,Out,,Ryan Mason,40127.0,,,,,,,1,From Kick Off,Jan Vertonghen,3077.0,Left Center Back,2,Tottenham Hotspur,38,['031a902c-4bb3-4334-8f48-0a83513009ca'],3,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:03.991,Pass,
,,,,,,,,,,,,,,,,,3.5579,,,,,,,,,,,,3fadab38-f106-4e99-a70f-b977bddb1fd6,11,,,"[7.0, 44.1]",3754093,0,,,,,0.43741456,,Right Foot,,,,"[76.5, 76.6]",High Pass,,76.723526,,Incomplete,,Branislav Ivanović,5594.0,,,,,,Goal Kick,1,From Goal Kick,Asmir Begović,3339.0,Goalkeeper,3,Chelsea,33,"['05adcef5-2207-4f7a-a682-07f1a72f4184', 'f0384652-09b5-47ad-826b-156c68d8f9aa']",42,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:42.069,Pass,
,,,,,,,,,,,,,,,,,3.062123,,,,,,,,,,,,f0384652-09b5-47ad-826b-156c68d8f9aa,14,,,"[43.6, 3.5]",3754093,0,,,,True,0.008928334,,,,,,"[66.0, 3.7]",High Pass,,22.400892,,Incomplete,,Christian Dannemann Eriksen,3043.0,,,,,,Recovery,1,From Goal Kick,Heung-Min Son,3083.0,Left Attacking Midfield,3,Chelsea,33,"['0e0ab4e7-b8cb-4632-9f86-4b00ea690b67', '23366efd-e05b-48c7-a523-1dce0c4d83dc', '2bdd59ce-09ff-46ab-8ccc-de6564cde32b', '3fadab38-f106-4e99-a70f-b977bddb1fd6']",45,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:45.627,Pass,True
