50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0b8bc5b0-3307-46e9-9c39-472c7ff7e449,1,,,,3754139,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3973, 'name': 'Àngel Rangel Zaragoza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3290, 'name': 'Federico Fernández'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3462, 'name': 'Jack Frank Porteous Cork'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 4631, 'name': 'Leon Britton'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 3449, 'name': 'Wayne Routledge'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 6950, 'name': 'Alberto Paloschi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Swansea City,26,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b44c6ab9-5d13-4199-9dac-9cd76098f2f3,2,,,,3754139,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 3970, 'name': 'Fraser Forster'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 44}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 8}, {'player': {'id': 3651, 'name': 'Matt Targett'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 33}, {'player': {'id': 16181, 'name': 'Jordy Clasie'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3328, 'name': 'James Ward-Prowse'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3272, 'name': 'Oriol Romeu Vidal'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3842, 'name': 'Shane Long'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 11062, 'name': 'Graziano Pellè'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Southampton,25,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,85569409-085b-4934-a020-04b3a629cab4,3,,,,3754139,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,['83e38a4d-5ec1-4904-a29c-5f75dded2e2b'],0,,,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,83e38a4d-5ec1-4904-a29c-5f75dded2e2b,4,,,,3754139,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,['85569409-085b-4934-a020-04b3a629cab4'],0,,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fe51dc06-a8cf-4d47-a038-2d519b143928,1784,,,,3754139,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,106,Swansea City,26,['6ad8eb7f-6fb3-4d28-af84-d6f4b11592c7'],0,,,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6ad8eb7f-6fb3-4d28-af84-d6f4b11592c7,1785,,,,3754139,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,106,Swansea City,26,['fe51dc06-a8cf-4d47-a038-2d519b143928'],0,,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.88737,,,,,,,,,,,,,,c35d6754-930d-420b-8c60-29a5c2e370d9,5,,,"[60.0, 40.0]",3754139,0,,,,,-3.0873823,,Right Foot,,,"[47.1, 39.3]",,Ground Pass,,12.918979,,,Jordy Clasie,16181.0,,,,,Kick Off,1,From Kick Off,Shane Long,3842.0,Right Center Forward,2,Southampton,25,['d19cf921-07e2-401e-a9ea-0c1afd546123'],0,,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.443,Pass,
,,,,,,,,,,,,,,,,,,,,1.308512,,,,,,,,,,,,,,6d50a6ec-b851-4096-9f49-aadf6657a906,8,,,"[47.1, 40.0]",3754139,0,,,,,1.9089073,,Right Foot,,,"[36.2, 71.0]",,Ground Pass,,32.860462,,,Virgil van Dijk,3669.0,,,,,,1,From Kick Off,Jordy Clasie,16181.0,Center Defensive Midfield,2,Southampton,25,['34b3a1f0-fabd-4ad6-8167-08df452c49c7'],2,,,,,,,,,,,,,,,,,,Southampton,25,00:00:02.389,Pass,
,,,,,,,,,,,,,,,,,,,,2.603556,,,,,,,,,,,,,,9b5ad697-96ad-428a-8e32-28591da093c7,11,,,"[35.4, 71.0]",3754139,0,,,,,-2.3745074,,Right Foot,,,"[7.6, 44.2]",,Ground Pass,,38.614506,,,Fraser Forster,3970.0,,,,,,1,From Kick Off,Virgil van Dijk,3669.0,Right Center Back,2,Southampton,25,['65418817-be4b-4b62-976a-431fd43448d5'],4,,,,,,,,,,,,,,,,,,Southampton,25,00:00:04.743,Pass,
,,,,,,,,,,,,,,,,,,,,3.515786,,,,,,,,,,,,,,38ee1138-b7fe-4fa8-b7fa-dae8a6348d2e,14,,,"[13.5, 49.9]",3754139,0,,,,,-0.0029761817,,Right Foot,,,"[80.7, 49.7]",,High Pass,,67.200294,Incomplete,,Graziano Pellè,11062.0,,,,,,1,From Kick Off,Fraser Forster,3970.0,Goalkeeper,2,Southampton,25,"['30a9e354-627e-4367-bb0e-c8c0b203d64e', 'e52e7395-e1f6-4a2f-9f6c-8794413563b2']",13,,,,,,,,,,,,,,,,,,Southampton,25,00:00:13.456,Pass,
