50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b5c9a6ee-a49b-42ee-beb3-ec03e5789aef,1,,,,3754151,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3973, 'name': 'Àngel Rangel Zaragoza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3290, 'name': 'Federico Fernández'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3462, 'name': 'Jack Frank Porteous Cork'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 4631, 'name': 'Leon Britton'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 3449, 'name': 'Wayne Routledge'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 6950, 'name': 'Alberto Paloschi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Swansea City,26,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c115f906-01cd-4189-b417-c92cbd613c93,2,,,,3754151,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10499, 'name': 'Ivo Daniel Ferreira Mendonca Pinto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 9461, 'name': 'Timm Klose'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 9452, 'name': ""Gary O''Neil""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3286, 'name': 'Nathan Redmond'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 10966, 'name': 'Wes Hoolahan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 9528, 'name': 'Steven Naismith'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 4807, 'name': 'Cameron Jerome'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Norwich City,56,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,671232e1-2cdb-4393-a5cf-ede3626b7006,3,,,,3754151,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,['9d04d221-a681-4f37-9639-faa7c13d928a'],0,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9d04d221-a681-4f37-9639-faa7c13d928a,4,,,,3754151,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,['671232e1-2cdb-4393-a5cf-ede3626b7006'],0,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,feb9c24d-6d05-4a8f-8244-707a0993e412,1577,,,,3754151,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,113,Norwich City,56,['d9a5aebd-e5fe-452d-af6d-a901ef6629a4'],0,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d9a5aebd-e5fe-452d-af6d-a901ef6629a4,1578,,,,3754151,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,113,Norwich City,56,['feb9c24d-6d05-4a8f-8244-707a0993e412'],0,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.468551,,,,,,,,,,,,,9c5e81e6-deb8-4336-97aa-a34d22944e05,5,,,"[61.0, 40.1]",3754151,0,,True,,,-3.056691,,Right Foot,,,,"[51.6, 39.3]",,Ground Pass,,9.433981,,,,Leon Britton,4631.0,,,,,Kick Off,1,From Kick Off,Alberto Paloschi,6950.0,Center Forward,2,Swansea City,26,['3d71171a-83b0-42a1-ae8b-87a57ab32b7b'],0,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.368,Pass,
,,,,,,,,,,,,,,,,0.620884,,,,,,,,,,,,,8d445e0d-dd35-465b-8d15-c203e5d76da3,10,,,"[52.4, 41.0]",3754151,0,,,,,0.02666035,,Right Foot,,,,"[59.9, 41.2]",,Ground Pass,,7.502666,,,,Gylfi Þór Sigurðsson,3944.0,,,,,,1,From Kick Off,Leon Britton,4631.0,Left Defensive Midfield,2,Swansea City,26,"['86fef133-c3a2-4a93-adaf-21fa13231d62', 'cc8a5b4c-f661-4bca-a04d-3c1614471b30', 'e395d3e3-1e0f-4b85-a6a3-80f1660b28e8']",2,,,,,,,,,,,,,,,,Swansea City,26,00:00:02.323,Pass,True
,,,,,,,,,,,,,,,,2.732459,,,,,,,,,,,,,36969957-76fa-4056-a481-1b90fa84e75d,12,,,"[59.9, 41.2]",3754151,0,,,,,1.9572594,,Right Foot,,,,"[50.5, 64.3]",,Ground Pass,,24.939327,,,,Jack Frank Porteous Cork,3462.0,,,,,,1,From Kick Off,Gylfi Þór Sigurðsson,3944.0,Center Attacking Midfield,2,Swansea City,26,['0484c3a4-7702-4fee-a323-3963d9050879'],2,,,,,,,,,,,,,,,,Swansea City,26,00:00:02.944,Pass,
,,,,,,,,,,,,,,,,1.06954,,,,,,,,,,,,,5d1ae411-1e6e-4d4d-b9a7-a8d3055353b8,14,,,"[50.5, 64.3]",3754151,0,,,,,1.2536329,,Right Foot,,,,"[54.8, 77.4]",,Ground Pass,,13.787676,,,,Àngel Rangel Zaragoza,3973.0,,,,,,1,From Kick Off,Jack Frank Porteous Cork,3462.0,Right Defensive Midfield,2,Swansea City,26,['ff37ca18-24d0-44d1-a846-1e497fc6c3c6'],5,,,,,,,,,,,,,,,,Swansea City,26,00:00:05.677,Pass,
