ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,40e78ea5-72d7-44e4-8340-1eae86943d06,1,,,3754152,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,,0,,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 9539, 'name': 'Vito Mannone'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 3658, 'name': 'DeAndre Yedlin'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 13286, 'name': 'Lamine Koné'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 4746, 'name': 'Younes Kaboul'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 13846, 'name': 'Jan Kirchhoff'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 7171, 'name': 'Fabio Borini'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3196, 'name': 'Wahbi Khazri'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 3337, 'name': 'Jermain Defoe'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Sunderland,41,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,886c26fe-3bc2-4096-a94e-5dda372b02c3,2,,,3754152,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,,0,,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Leicester City,22,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4c8e8fd6-b6b3-4fb8-a122-52e1a9626aab,3,,,3754152,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,['6ce58366-52b4-4951-b2c5-7c9eaeac5cb8'],0,,,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6ce58366-52b4-4951-b2c5-7c9eaeac5cb8,4,,,3754152,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,['4c8e8fd6-b6b3-4fb8-a122-52e1a9626aab'],0,,,,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,85b79b4a-d399-4c6f-a05a-d66c937f6d46,1546,,,3754152,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,102,Sunderland,41,['902d3a2e-9b28-4963-924e-b7b7bf747317'],0,,,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,902d3a2e-9b28-4963-924e-b7b7bf747317,1547,,,3754152,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,102,Sunderland,41,['85b79b4a-d399-4c6f-a05a-d66c937f6d46'],0,,,,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.916524,,,,,,,,,,,,795c9d64-b5d9-40de-a9f2-b5dfc5762a89,5,,"[60.0, 40.0]",3754152,0,,,,,-1.541393,,Right Foot,,,"[60.1, 36.6]",,Ground Pass,,3.4014702,,,Jermain Defoe,3337.0,,,,,Kick Off,1,From Kick Off,Fabio Borini,7171.0,Right Midfield,2,Sunderland,41,['b694b0b3-1dd7-489c-8a08-596a94d6bb10'],0,,,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.859,Pass,
,,,,,,,,,,,,,,,,,,2.495844,,,,,,,,,,,,780a8ad0-34ae-4561-a74f-6bfdfb7c4228,9,,"[65.3, 37.6]",3754152,0,,,,,-1.9812297,,Right Foot,,,"[54.9, 13.7]",,Ground Pass,,26.064728,,,Patrick van Aanholt,3321.0,,,,,,1,From Kick Off,Jermain Defoe,3337.0,Center Forward,2,Sunderland,41,"['167e2a47-46a9-4b13-84e3-b4003d118c3a', 'f750d687-d37f-4678-a420-efbb38b2e79c']",2,,,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:02.786,Pass,True
,,,,,,,,,,,,,,,,,,4.74847,,,,,,,,,,,,dc95af84-119b-4a5d-acf0-175a1941dddf,12,,"[56.0, 12.0]",3754152,0,,,,,0.056190785,,Right Foot,,,"[120.0, 15.6]",,High Pass,,64.10117,Out,,Lee Cattermole,10783.0,,,,,,1,From Kick Off,Patrick van Aanholt,3321.0,Left Back,2,Sunderland,41,['2b1d2177-3a21-46e4-bc19-1d2031ba69a1'],6,,,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:06.371,Pass,
,,,,,,,,,,,,,,,,,,5.423047,,,,,,,,,,,,f28b0d1d-6612-4815-9268-7d931e991197,15,,"[7.0, 44.1]",3754152,0,,,,,-0.34498504,,Right Foot,,,"[87.7, 15.1]",,High Pass,,85.752495,Incomplete,,,,,,,,Goal Kick,1,From Goal Kick,Kasper Schmeichel,3815.0,Goalkeeper,3,Leicester City,22,['b3662b94-1fff-4eb6-9bac-2645258dd9c2'],40,,,,,,,,,,,,,,,,,,,,Leicester City,22,00:00:40.103,Pass,
