50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e2fd5660-8c7e-49a2-91ee-f1b9d710750b,1,,,3754188,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5109, 'name': 'Paulo Dino Gazzaniga'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 16181, 'name': 'Jordy Clasie'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 11062, 'name': 'Graziano Pellè'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Southampton,25,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,47423636-dff5-4c95-b779-1244bbec6e33,2,,,3754188,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3086, 'name': 'Ben Davies'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tottenham Hotspur,38,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,86887266-226f-44b0-b383-0167604515cd,3,,,3754188,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,['845b0e78-8a3b-470c-99fc-43989d3c8a7d'],0,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,845b0e78-8a3b-470c-99fc-43989d3c8a7d,4,,,3754188,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,['86887266-226f-44b0-b383-0167604515cd'],0,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,09094a08-cf36-49a0-b178-c284229ae833,1629,,,3754188,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,105,Southampton,25,['5681a2e4-0b8b-4bd0-8e55-151b464823ff'],0,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5681a2e4-0b8b-4bd0-8e55-151b464823ff,1630,,,3754188,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,105,Southampton,25,['09094a08-cf36-49a0-b178-c284229ae833'],0,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,7b7e6a8f-5e6f-49e0-b32a-dfd5a65fb902,5,,"[60.0, 40.0]",3754188,0,,,,,1.2490457,,Right Foot,,,,"[60.4, 41.2]",,Ground Pass,,1.264911,,Harry Kane,10955.0,,,,,,Kick Off,1,From Kick Off,Bamidele Alli,3094.0,Center Attacking Midfield,2,Tottenham Hotspur,38,['b79c53db-ce9b-4aed-a615-6cf4078f5bee'],0,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.314,Pass,
,,,,,,,,,,,,,,,,1.546492,,,,,,,,,,,,,98c1781e-192a-45db-8eed-6b0807001359,8,,"[60.0, 40.0]",3754188,0,,,,,-2.6897788,,Right Foot,,,,"[39.6, 30.1]",,Ground Pass,,22.675318,,Jan Vertonghen,3077.0,,,,,,,1,From Kick Off,Harry Kane,10955.0,Center Forward,2,Tottenham Hotspur,38,['55488431-8912-49a0-ac96-080320f82413'],0,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.792,Pass,
,,,,,,,,,,,,,,,,3.464748,,,,,,,,,,,,,49dfc20c-c169-4576-9b3b-bd3abc4c76c4,11,,"[38.0, 30.6]",3754188,0,,,,,0.65045005,,Left Foot,,,,"[86.1, 67.2]",,High Pass,,60.44146,Incomplete,Erik Lamela,3585.0,,,,,,,1,From Kick Off,Jan Vertonghen,3077.0,Left Center Back,2,Tottenham Hotspur,38,"['996d7b59-f542-4105-bac2-475c171b2575', 'e65f0951-d245-4ca6-a639-5cc33196b96b']",3,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:03.662,Pass,
,,,,,,,,,,,,,,,,2.992109,,,,,,,,,,,,,e65f0951-d245-4ca6-a639-5cc33196b96b,13,,"[34.0, 12.9]",3754188,0,,,,,0.64192545,,Head,,,,"[64.5, 35.7]",,High Pass,,38.080048,Pass Offside,Graziano Pellè,11062.0,,,,,,Recovery,1,From Kick Off,Virgil van Dijk,3669.0,Left Center Back,2,Tottenham Hotspur,38,"['3d004a18-cd11-42c4-b8d7-82a42281067c', '49dfc20c-c169-4576-9b3b-bd3abc4c76c4']",7,,,,,,,,,,,,,,,,Southampton,25,00:00:07.127,Pass,
