ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,87310675-c41a-4285-8d61-e0f0dd52e0e8,1,,,3754227,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Leicester City,22,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,aeba2da8-8c7f-4130-b91c-84e48c9caed4,2,,,3754227,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3349, 'name': 'Michail Antonio'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 30}, {'player': {'id': 4280, 'name': 'Winston Reid'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3843, 'name': 'Angelo Obinze Ogbonna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3897, 'name': 'Pedro Mba Obiang Avomo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3963, 'name': 'Victor Moses'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 128704, 'name': 'Emmanuel Emenike'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 29}]}",West Ham United,40,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,a9caa0b5-60b2-4e5f-b56b-57ad6e244cd5,3,,,3754227,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,['d1fa7f74-64e3-4e08-903a-7849d6319241'],0,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,d1fa7f74-64e3-4e08-903a-7849d6319241,4,,,3754227,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,['a9caa0b5-60b2-4e5f-b56b-57ad6e244cd5'],0,,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,548bd616-78da-49fc-bbee-fab2ad4ad101,1464,,,3754227,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,81,West Ham United,40,['ab908513-950f-437c-8323-d5f487f8aada'],0,,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,ab908513-950f-437c-8323-d5f487f8aada,1465,,,3754227,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,81,West Ham United,40,['548bd616-78da-49fc-bbee-fab2ad4ad101'],0,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.382114,,,,,,,,,,,,,,,,c1daf3a3-3e30-442f-840d-26d30a9262ec,5,,"[61.0, 40.1]",3754227,0,,,,,1.8925469,,Right Foot,,,"[59.8, 43.7]",,Ground Pass,3.7947333,,,Mark Noble,3874.0,,,,,Kick Off,1,From Kick Off,Emmanuel Emenike,128704.0,Center Forward,2,West Ham United,40,['df375179-c44d-4cdb-b6cc-e07759091a98'],0,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.371,Pass,
,,,,,,,,,,,,,,,,1.294767,,,,,,,,,,,,,,,,0da1e26d-ebfe-498d-bfb1-81ceafbb6f0c,8,,"[59.7, 43.8]",3754227,0,,,,,-2.360979,,Right Foot,,,"[49.2, 33.4]",,Ground Pass,14.778701,,,Cheikhou Kouyaté,3684.0,,,,,,1,From Kick Off,Mark Noble,3874.0,Left Center Midfield,2,West Ham United,40,['5c5ac552-4aff-448d-a33a-42bb478007ad'],1,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:01.289,Pass,
,,,,,,,,,,,,,,,,1.361053,,,,,,,,,,,,,,,,673b46c1-fe93-4ae9-8f12-c1004f7e670c,11,,"[48.7, 33.2]",3754227,0,,,,,-1.7168086,,Right Foot,,,"[46.2, 16.2]",,Ground Pass,17.18284,,,Aaron Cresswell,3062.0,,,,,,1,From Kick Off,Cheikhou Kouyaté,3684.0,Right Center Midfield,2,West Ham United,40,['d065a5fa-c7a9-47fb-9b2d-f68db6177adc'],2,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:02.998,Pass,
,,,,,,,,,,,,,,,,1.030653,,,,,,,,,,,,,,,,fdf0c5cd-ad2b-4aea-9687-ca857cf6ac7f,15,,"[48.9, 14.3]",3754227,0,,,,,-0.74837804,,Left Foot,,,"[54.5, 9.1]",,Ground Pass,7.641989,,,Dimitri Payet,3491.0,,,,,,1,From Kick Off,Aaron Cresswell,3062.0,Left Back,2,West Ham United,40,['85a67de9-2003-45ab-86f0-8c6ff508b8e3'],5,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:05.315,Pass,
