ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7606c928-ff44-48af-b2d8-0b98ebe6e600,1,,,3754262,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 12608, 'name': 'Bradley Guzan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9533, 'name': 'Leandro Bacuna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 20285, 'name': 'Joleon Lescott'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 3041, 'name': 'Ciaran Clark'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 27146, 'name': 'Aly Cissokho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 43}, {'player': {'id': 20951, 'name': 'Jordan Lyden'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 38}, {'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 11117, 'name': 'Scott Sinclair'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 42701, 'name': 'Kieran Richardson'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 3450, 'name': 'Jordan Ayew'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Aston Villa,59,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b88a383b-c042-44fd-b50b-5e1a5d3e033e,2,,,3754262,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 20074, 'name': 'Artur Boruc'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3608, 'name': 'Simon Francis'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 9626, 'name': 'Tommy Elphick'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3341, 'name': 'Steve Cook'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3345, 'name': 'Charlie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3344, 'name': 'Andrew Surman'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3343, 'name': 'Dan Gosling'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3049, 'name': 'Matt Ritchie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 30}, {'player': {'id': 4416, 'name': 'Max-Alain Gradel'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 9593, 'name': 'Lewis Grabban'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 28}, {'player': {'id': 3346, 'name': 'Joshua King'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",AFC Bournemouth,28,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,10af443e-8417-47ef-85c8-dc8cc1e5b785,3,,,3754262,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,['9da4019b-6750-4f93-b339-7e4a122a987b'],0,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9da4019b-6750-4f93-b339-7e4a122a987b,4,,,3754262,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,['10af443e-8417-47ef-85c8-dc8cc1e5b785'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,275e7760-0ce4-474f-bd8f-9dbc1e3d5fa1,2030,,,3754262,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,95,Aston Villa,59,['60324494-3c00-480d-88c2-41cee0d8d600'],0,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,60324494-3c00-480d-88c2-41cee0d8d600,2031,,,3754262,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,95,Aston Villa,59,['275e7760-0ce4-474f-bd8f-9dbc1e3d5fa1'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.388351,,,,,,,,,,,,96748191-d890-4dd8-8ee4-763fea70719b,5,,"[61.0, 40.1]",3754262,0,,,,,0.27829966,,Right Foot,,,"[62.4, 40.5]",,Ground Pass,,1.456022,,,,Lewis Grabban,9593.0,,,,,Kick Off,1,From Kick Off,Joshua King,3346.0,Center Forward,2,AFC Bournemouth,28,['e1f81fc9-e346-4ced-b7dd-30a2a457d873'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.581,Pass,
,,,,,,,,,,,,,,,,1.693144,,,,,,,,,,,,c41a57c4-27e9-47b0-a13c-8a2a476f76b7,8,,"[61.6, 41.3]",3754262,0,,,,,-2.4815392,,Right Foot,,,"[40.6, 25.0]",,Ground Pass,,26.583641,,,,Charlie Daniels,3345.0,,,,,,1,From Kick Off,Lewis Grabban,9593.0,Center Attacking Midfield,2,AFC Bournemouth,28,['22141bf9-2b66-403e-a3df-f1f8eebd6464'],1,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:01.779,Pass,
,,,,,,,,,,,,,,,,1.040855,,,,,,,,,,,,a2115f8c-2a32-4ded-885f-9b1daeedd3e6,11,,"[41.2, 23.6]",3754262,0,,,,,0.53728473,,Left Foot,,,"[45.9, 26.4]",,Ground Pass,,5.470832,,,,Dan Gosling,3343.0,,,,,,1,From Kick Off,Charlie Daniels,3345.0,Left Back,2,AFC Bournemouth,28,['16859e6f-ebdf-474d-b1f1-19c15c36b995'],5,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:05.022,Pass,
,,,,,,,,,,,,,,,,1.933337,,,,,,,,,,,,1bcda360-c181-42dd-8e12-d965d3301b43,13,,"[45.0, 26.4]",3754262,0,,,,,3.050933,,Right Foot,,,"[24.1, 28.3]",,Ground Pass,,20.986185,,,,Steve Cook,3341.0,,,,,,1,From Kick Off,Dan Gosling,3343.0,Left Defensive Midfield,2,AFC Bournemouth,28,['022aad2e-2733-49d3-a8d4-a98f713f0482'],6,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:06.063,Pass,
