50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,44d3261e-ed8f-4bd5-bfbd-29451f2510af,1,,,3754293,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3537, 'name': 'Jack Butland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4724, 'name': 'Glen Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 4035, 'name': 'Ryan Shawcross'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 40121, 'name': 'Philipp Wollscheid'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 3467, 'name': 'Erik Pieters'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3636, 'name': 'Charlie Adam'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 9625, 'name': 'Glenn Whelan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 3325, 'name': 'Marko Arnautović'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3670, 'name': 'Jonathan Walters'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Stoke City,30,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3addb899-b00f-402e-9024-809f691267cf,2,,,3754293,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3339, 'name': 'Asmir Begović'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3957, 'name': 'César Azpilicueta Tanco'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 3456, 'name': 'Kurt Happy Zouma'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 20287, 'name': 'John Terry'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 12325, 'name': 'Abdul Rahman Baba'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 28100, 'name': 'Ramires Santos do Nascimento'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 3381, 'name': 'Nemanja Matić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 3472, 'name': 'Willian Borges da Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 5198, 'name': 'Diego da Silva Costa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Chelsea,33,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,596fe340-d2f8-4284-a067-7cfd0935cd55,3,,,3754293,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,['37394c81-db32-4d7b-8896-91413e65b107'],0,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,37394c81-db32-4d7b-8896-91413e65b107,4,,,3754293,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,['596fe340-d2f8-4284-a067-7cfd0935cd55'],0,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fc9797fe-fd51-4f75-81fd-d74ab01b258c,1405,,,3754293,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,Stoke City,30,['6f3d7749-4ec0-4608-9183-e79289e99c15'],0,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6f3d7749-4ec0-4608-9183-e79289e99c15,1406,,,3754293,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,Stoke City,30,['fc9797fe-fd51-4f75-81fd-d74ab01b258c'],0,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.160389,,,,,,,,,,,,f6a6f847-0683-4722-8dd5-dad7769fd7e1,5,,"[61.0, 40.1]",3754293,0,,,,,-3.0466409,,Right Foot,,,,"[46.3, 38.7]",Ground Pass,14.766516,,,,,Nemanja Matić,3381.0,,,,,,Kick Off,1,From Kick Off,Willian Borges da Silva,3472.0,Center Attacking Midfield,2,Chelsea,33,['d32a3f8f-a328-4add-ade4-f09f9f2133b2'],0,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.399,Pass,
,,,,,,,,,,,,,,,,,2.013605,,,,,,,,,,,,24eb59c3-6abe-49a1-b3c2-ddc7b7eae37c,8,,"[47.9, 39.5]",3754293,0,,,,,1.6392906,,Left Foot,,,,"[45.3, 77.4]",Ground Pass,37.98908,,,,,César Azpilicueta Tanco,3957.0,,,,,,,1,From Kick Off,Nemanja Matić,3381.0,Left Center Midfield,2,Chelsea,33,['21754ecc-d9e0-42f1-9182-486f081a68d6'],2,,,,,,,,,,,,,,,,Chelsea,33,00:00:02.424,Pass,
,,,,,,,,,,,,,,,,,0.66853,,,,,,,,,,,,1fb66d64-e8f0-4543-af2d-62991c50b69c,15,,"[109.4, 1.7]",3754293,0,,,,,1.702624,,Left Foot,,,,"[107.0, 19.8]",Ground Pass,18.258423,,,Incomplete,,,,,,,,,,1,Regular Play,Marko Arnautović,3325.0,Left Wing,3,Stoke City,30,['bdfd25ab-467a-45ee-b55c-4a904e97d128'],9,,,,,,,,,,,,,,,,Stoke City,30,00:00:09.791,Pass,
,,,,,,,,,,,,,,,,,0.694084,,,,,,,,,,,,e8b253d8-f339-4fc8-9e97-53a2c1f35e87,20,,"[94.7, 3.1]",3754293,0,,,,,-0.4069708,,Left Foot,,,True,"[100.5, 0.6]",Ground Pass,6.315853,,,,,Marko Arnautović,3325.0,,,,,,,1,Regular Play,Charlie Adam,3636.0,Right Center Midfield,3,Stoke City,30,"['1c601c7d-b168-4c8b-9ad1-7ddf063da397', '28a88e4f-cad0-40ac-97c9-888613c97002']",14,,,,,,,,,,,,,,,,Stoke City,30,00:00:14.707,Pass,True
