50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5bb0432b-7aec-4500-a521-cbe13a89f554,1,,,3754303,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3973, 'name': 'Àngel Rangel Zaragoza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3290, 'name': 'Federico Fernández'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4631, 'name': 'Leon Britton'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 3462, 'name': 'Jack Frank Porteous Cork'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 6950, 'name': 'Alberto Paloschi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 3449, 'name': 'Wayne Routledge'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 15}]}",Swansea City,26,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dcf3937f-7083-415d-bc7c-719c3437e4b3,2,,,3754303,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3488, 'name': 'Wayne Hennessey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3407, 'name': 'Scott Dann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3693, 'name': 'Damien Delaney'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 15892, 'name': 'Jordon Mutch'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 3326, 'name': 'Chung-Yong Lee'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 26699, 'name': 'Emmanuel Adebayor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Crystal Palace,31,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f436843f-baca-4bb7-84e3-98dc2c9a3323,3,,,3754303,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,['962e94ea-3207-4bec-8eec-d65859d2f505'],0,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,962e94ea-3207-4bec-8eec-d65859d2f505,4,,,3754303,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,['f436843f-baca-4bb7-84e3-98dc2c9a3323'],0,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0bb2e0e6-074a-4288-bb9e-424bcb2bca71,1687,,,3754303,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Crystal Palace,31,['7dd49eed-407c-4c1b-88af-c4db93747114'],0,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7dd49eed-407c-4c1b-88af-c4db93747114,1688,,,3754303,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Crystal Palace,31,['0bb2e0e6-074a-4288-bb9e-424bcb2bca71'],0,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.401,,,,,,,,,,,,,4c5cadd9-1a3d-436e-99af-85200271d29f,5,,"[61.0, 40.1]",3754303,0,,,,1.7196863,,Right Foot,,,,"[60.7, 42.1]",,Ground Pass,,2.0223749,,,,Alberto Paloschi,6950.0,,,,,,Kick Off,1,From Kick Off,Wayne Routledge,3449.0,Left Center Forward,2,Swansea City,26,['f7a1c067-2e64-4be3-b79d-e0f5df0b1eb3'],0,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.618,Pass,
,,,,,,,,,,,,,,,,,,,0.902,,,,,,,,,,,,,9a5eca25-ba42-4e19-8fb8-f9cf738dab85,7,,"[60.2, 41.4]",3754303,0,,,,-3.1145723,,Right Foot,,,,"[52.8, 41.2]",,Ground Pass,,7.4027023,,,,Leon Britton,4631.0,,,,,,,1,From Kick Off,Alberto Paloschi,6950.0,Right Center Forward,2,Swansea City,26,['138297bf-acb1-4c78-8b2c-60496d969134'],1,,,,,,,,,,,,,,,,Swansea City,26,00:00:01.019,Pass,
,,,,,,,,,,,,,,,,,,,2.153,,,,,,,,,,,,,1407497e-fd5b-4d53-bec5-e205608d7d2f,10,,"[50.9, 42.1]",3754303,0,,,,1.3896219,,Right Foot,,,,"[57.0, 75.4]",,Low Pass,,33.8541,,,,Àngel Rangel Zaragoza,3973.0,,,,,,,1,From Kick Off,Leon Britton,4631.0,Center Defensive Midfield,2,Swansea City,26,['7c34726f-6428-4359-b9c5-dc0fae561722'],2,,,,,,,,,,,,,,,,Swansea City,26,00:00:02.453,Pass,
,,,,,,,,,,,,,,,,,,,1.0642,,,,,,,,,,,,,4150b9ec-ef02-4339-a3b2-024380f167bb,13,,"[61.5, 77.3]",3754303,0,,,,-0.5123895,,Right Foot,,,,"[75.9, 69.2]",,Ground Pass,,16.521803,,,,Alberto Paloschi,6950.0,,,,,,,1,From Kick Off,Àngel Rangel Zaragoza,3973.0,Right Back,2,Swansea City,26,['909b43e1-28bd-458f-81cf-15de0d87e4fc'],5,,,,,,,,,,,,,,,,Swansea City,26,00:00:05.701,Pass,
