ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6f32b936-988d-4210-bad7-b6befb1da264,1,,,,3754307,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3291, 'name': 'Joe Hart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3052, 'name': 'Pablo Javier Zabaleta Girod'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 3389, 'name': 'Eliaquim Mangala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 5596, 'name': 'Aleksandar Kolarov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 16003, 'name': 'Fernando Francisco Reges'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 42}, {'player': {'id': 6821, 'name': 'Jesús Navas González'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 15}, {'player': {'id': 3064, 'name': 'David Josué Jiménez Silva'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 3708, 'name': 'Kelechi Promise Iheanacho'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 72}, {'player': {'id': 3237, 'name': 'Sergio Leonel Agüero del Castillo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Manchester City,36,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6844dc27-9640-48a6-a227-66f8242f2607,2,,,,3754307,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 20446, 'name': 'Shay Given'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 24}, {'player': {'id': 3643, 'name': 'Phil Bardsley'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 4035, 'name': 'Ryan Shawcross'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 40121, 'name': 'Philipp Wollscheid'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 6560, 'name': 'Marc Muniesa Martínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 3480, 'name': 'Geoff Cameron'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 9625, 'name': 'Glenn Whelan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3603, 'name': 'Mame Biram Diouf'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 4346, 'name': 'Gilbert Gianelli Imbula Wanga'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 3325, 'name': 'Marko Arnautović'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3265, 'name': 'José Luis Sanmartín Mato'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Stoke City,30,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cb2629e2-a4f2-4350-a589-096f056ad366,3,,,,3754307,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,['9b0a2e45-990b-4da4-9bfc-fc51ebe1f4ee'],0,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9b0a2e45-990b-4da4-9bfc-fc51ebe1f4ee,4,,,,3754307,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,['cb2629e2-a4f2-4350-a589-096f056ad366'],0,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f6bbc4c8-6660-4eb1-8f51-2b8dbbd6138b,1869,,,,3754307,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,82,Stoke City,30,['24ff6264-80ad-4326-9673-7318a037d0ac'],0,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,24ff6264-80ad-4326-9673-7318a037d0ac,1870,,,,3754307,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,82,Stoke City,30,['f6bbc4c8-6660-4eb1-8f51-2b8dbbd6138b'],0,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.131013,,,,,,,,,,,,,,5fe21883-80e4-4c1e-acf6-6e8caa8840f3,5,,,"[60.0, 40.0]",3754307,0,,,,,1.6373645,,Right Foot,,,"[59.9, 41.5]",,Ground Pass,1.5033296,,,Kelechi Promise Iheanacho,3708.0,,,,,Kick Off,1,From Kick Off,Sergio Leonel Agüero del Castillo,3237.0,Left Center Forward,2,Manchester City,36,['5b7e3331-5f96-45b9-833e-e209915e3b8e'],0,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.426,Pass,
,,,,,,,,,,,,,,,0.88193,,,,,,,,,,,,,,39620404-0460-40eb-a19e-d0647830f9f3,8,,,"[59.9, 41.7]",3754307,0,,,,,-2.748832,,Right Foot,,,"[52.9, 38.8]",,Ground Pass,7.5769386,,,Gnégnéri Yaya Touré,3087.0,,,,,,1,From Kick Off,Kelechi Promise Iheanacho,3708.0,Right Center Forward,2,Manchester City,36,['43d793df-f394-4c0a-b68c-11013fe341b1'],0,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.688,Pass,
,,,,,,,,,,,,,,,1.676809,,,,,,,,,,,,,,074d2c2d-31aa-4875-b36c-dd60ec0ea75d,12,,,"[52.2, 38.6]",3754307,0,,,,,-2.1561108,,Left Foot,,,"[35.1, 12.8]",,Ground Pass,30.952383,,,Eliaquim Mangala,3389.0,,,,,,1,From Kick Off,Gnégnéri Yaya Touré,3087.0,Left Defensive Midfield,2,Manchester City,36,"['540ecad3-f2de-4961-b457-20bb2fe013f3', '5c4d3942-422d-4c0f-9f3f-736321597f8f']",2,,,,,,,,,,,,,,,,Manchester City,36,00:00:02.086,Pass,True
,,,,,,,,,,,,,,,1.37483,,,,,,,,,,,,,,901c960d-bc49-4861-9538-70b8124e18b5,15,,,"[35.3, 12.6]",3754307,0,,,,,-0.5635775,,Left Foot,,,"[49.7, 3.5]",,Ground Pass,17.034376,,,Aleksandar Kolarov,5596.0,,,,,,1,From Kick Off,Eliaquim Mangala,3389.0,Left Center Back,2,Manchester City,36,['97b0ca84-c23f-4117-a748-dc9f18971366'],4,,,,,,,,,,,,,,,,Manchester City,36,00:00:04.979,Pass,
