bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ad3d6b92-241e-4532-aba9-d2b040d313bf,1,,,3754318,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3611, 'name': 'Kevin Wimmer'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tottenham Hotspur,38,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0eb1e0d4-1975-4f35-8332-7421d2e31dad,2,,,3754318,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4276, 'name': 'David Ospina Ramírez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 3475, 'name': 'Per Mertesacker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3528, 'name': 'Kieran Gibbs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 3568, 'name': 'Mohamed Naser Elsayed Elneny'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 35}, {'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 3569, 'name': 'Daniel Nii Tackie Mensah Welbeck'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,82f496f4-45d8-4883-a028-78dbdb461004,3,,,3754318,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['d368cf44-c062-4c13-99ae-e7d6e35cb82d'],0,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d368cf44-c062-4c13-99ae-e7d6e35cb82d,4,,,3754318,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['82f496f4-45d8-4883-a028-78dbdb461004'],0,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5b944d21-6f56-464d-9423-2577387f4e0c,1894,,,3754318,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Arsenal,1,['10dfe1d3-ea2d-4381-9823-7a442f61db82'],0,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,10dfe1d3-ea2d-4381-9823-7a442f61db82,1895,,,3754318,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Arsenal,1,['5b944d21-6f56-464d-9423-2577387f4e0c'],0,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,1.53389,,,,,,,,,,,,,199cf9f1-bf8b-401a-b299-1e65ecf693e6,5,,"[61.0, 40.1]",3754318,0,,,,,3.1301863,,Right Foot,,,"[34.7, 40.4]",,Ground Pass,,26.30171,,,,Toby Alderweireld,20005.0,,,,,Kick Off,1,From Kick Off,Harry Kane,10955.0,Center Forward,2,Tottenham Hotspur,38,['10db6799-16ed-4b0b-9ea0-98cc4504b98a'],1,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:01.436,Pass,
,,,,,,,,,,,,,,2.73798,,,,,,,,,,,,,9c70fa72-87a7-4093-b4ca-054a69571d5f,8,,"[39.2, 43.1]",3754318,0,,,,,0.5414718,,Left Foot,,,"[81.1, 68.3]",,High Pass,,48.89427,,Incomplete,,Kyle Walker,3205.0,,,,,,1,From Kick Off,Toby Alderweireld,20005.0,Right Center Back,2,Tottenham Hotspur,38,"['733675a9-42b7-44f1-8b22-477f0580533f', '8d882963-bd10-4a55-bdc2-8223fc380066']",4,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:04.351,Pass,
,,,,,,,,,,,,,,2.347851,,,,,,,,,,,,,f2975cfd-4633-4c77-ab00-b12480fca727,17,,"[44.2, 0.1]",3754318,0,,,,,0.18602626,,,,,"[79.8, 6.8]",,High Pass,,36.22499,,Incomplete,,Daniel Nii Tackie Mensah Welbeck,3569.0,,,,,Throw-in,1,From Throw In,Kieran Gibbs,3528.0,Left Back,3,Arsenal,1,"['357ce3bc-17f0-48d3-8ef1-8bf84b34038b', 'fb0f963f-2910-4bd5-856c-cfafcfb651b4']",24,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:24.969,Pass,
,,,,,,,,,,,,,,0.459838,,,,,,,,,,,,,357ce3bc-17f0-48d3-8ef1-8bf84b34038b,19,,"[40.3, 73.3]",3754318,0,,,,,0.17184202,,Head,,,"[52.4, 75.4]",,Low Pass,,12.280879,,,,Christian Dannemann Eriksen,3043.0,,,,,Interception,1,Regular Play,Eric Dier,10956.0,Left Defensive Midfield,4,Tottenham Hotspur,38,"['00bf69b6-5445-4604-8b85-9ab81c104b65', 'f2975cfd-4633-4c77-ab00-b12480fca727']",27,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:27.317,Pass,
