50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1326a321-bdce-4078-9279-e19d38acbb79,1,,,3754322,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3957, 'name': 'César Azpilicueta Tanco'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 3645, 'name': 'Gary Cahill'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 5594, 'name': 'Branislav Ivanović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 12325, 'name': 'Abdul Rahman Baba'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 5475, 'name': 'John Michael Nchekwube Obinna'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3472, 'name': 'Willian Borges da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 3504, 'name': 'Ruben Loftus-Cheek'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 12}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5198, 'name': 'Diego da Silva Costa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Chelsea,33,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,f4d46418-1feb-4e9b-9f5c-41fe09617c65,2,,,3754322,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3291, 'name': 'Joe Hart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3052, 'name': 'Pablo Javier Zabaleta Girod'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 3389, 'name': 'Eliaquim Mangala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 5596, 'name': 'Aleksandar Kolarov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3054, 'name': 'Fernando Luiz Rosa'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 42}, {'player': {'id': 6821, 'name': 'Jesús Navas González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 20253, 'name': 'Samir Nasri'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 3237, 'name': 'Sergio Leonel Agüero del Castillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Manchester City,36,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,159b9caf-c543-4ada-93a3-081fccf46090,3,,,3754322,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,['525c6cc6-a6ff-4610-870c-5032cd8ca707'],0,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,525c6cc6-a6ff-4610-870c-5032cd8ca707,4,,,3754322,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,['159b9caf-c543-4ada-93a3-081fccf46090'],0,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,fdc134f5-0075-43ac-9960-21662c952a74,1994,,,3754322,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,103,Chelsea,33,['76fb90e3-fba1-42b5-b4f6-9dac93d96145'],0,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,76fb90e3-fba1-42b5-b4f6-9dac93d96145,1995,,,3754322,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,103,Chelsea,33,['fdc134f5-0075-43ac-9960-21662c952a74'],0,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.259605,,,,,,,,,,,,,,,,80604bb7-3d8a-4986-9a74-94b67ed357e9,5,,"[60.0, 40.0]",3754322,0,,,,,1.8925469,,Right Foot,,,,"[58.9, 43.3]",,Ground Pass,,3.4785054,,,,,Sergio Leonel Agüero del Castillo,3237.0,,,,,Kick Off,1,From Kick Off,Kevin De Bruyne,3089.0,Center Attacking Midfield,2,Manchester City,36,['291ede7d-fabe-4504-bb90-e5cb26a3b97d'],0,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.094,Pass,
,,,,,,,,,,,,,,,,,,1.032171,,,,,,,,,,,,,,,,62e48ec1-d85f-45b5-aa87-407532337b54,8,,"[58.6, 41.1]",3754322,0,,,,,-2.8305943,,Right Foot,,,,"[50.2, 38.4]",,Ground Pass,,8.823265,,,,,Gnégnéri Yaya Touré,3087.0,,,,,,1,From Kick Off,Sergio Leonel Agüero del Castillo,3237.0,Center Forward,2,Manchester City,36,['07333cdb-a242-465b-b538-9f73123c3e5b'],0,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.394,Pass,
,,,,,,,,,,,,,,,,,,1.732305,,,,,,,,,,,,,,,,50be18b6-d39c-472b-95a6-d57fdfe2d7e5,11,,"[47.7, 33.0]",3754322,0,,,,,-2.1407542,,Right Foot,,,,"[33.6, 11.0]",,Ground Pass,,26.130634,,,,,Eliaquim Mangala,3389.0,,,,,,1,From Kick Off,Gnégnéri Yaya Touré,3087.0,Left Defensive Midfield,2,Manchester City,36,['31f8310b-3080-4372-844b-d001bc4a6e10'],2,,,,,,,,,,,,,,,,Manchester City,36,00:00:02.831,Pass,
,,,,,,,,,,,,,,,,,,0.936454,,,,,,,,,,,,,,,,a61050e5-a5af-48f5-9dd3-5f74079a45be,14,,"[37.7, 12.3]",3754322,0,,,,,0.26434243,,Left Foot,,,,"[51.0, 15.9]",,Ground Pass,,13.778606,,,,,Gnégnéri Yaya Touré,3087.0,,,,,,1,From Kick Off,Eliaquim Mangala,3389.0,Left Center Back,2,Manchester City,36,['46843d0c-e39a-44e8-8b85-445dd817db4e'],5,,,,,,,,,,,,,,,,Manchester City,36,00:00:05.786,Pass,
