50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cb5014a3-5871-4cc8-8191-ee517eeb548c,1,,,,3889182,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 39825, 'name': 'Stefano Tacconi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40028, 'name': 'Luciano Favero'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 398843, 'name': 'Nicola Caricola'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 39823, 'name': 'Sergio Brio'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 39832, 'name': 'Massimo Mauro'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 7}, {'player': {'id': 398844, 'name': 'Antonio Cabrini'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 398841, 'name': 'Massimo Bonini'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 398840, 'name': 'Michel Platini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 398845, 'name': 'Lionello Manfredonia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 398842, 'name': 'Aldo Serena'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 15008, 'name': 'Michael Laudrup'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Juventus,224,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1a324c75-999a-4951-ae7a-120b3dbcc3ac,2,,,,3889182,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,,0,,,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 39943, 'name': 'Claudio Garella'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19624, 'name': 'Ciro Ferrara'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 39817, 'name': 'Alessandro Renica'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 39947, 'name': 'Giuseppe Bruscolotti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 39846, 'name': 'Fernando De Napoli'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 8}, {'player': {'id': 398849, 'name': 'Luciano Sola'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 7}, {'player': {'id': 39944, 'name': 'Moreno Ferrario'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 39952, 'name': 'Salvatore Bagni'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 39954, 'name': 'Francesco Romano'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 38641, 'name': 'Diego Armando Maradona'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 39953, 'name': 'Bruno Giordano'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Napoli,227,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,True,237d377c-79cb-43d0-87d0-5cff1cf85c2d,3,,,,3889182,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,['cff5f1f6-8d27-4be0-955c-4226629adc0e'],0,,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,True,cff5f1f6-8d27-4be0-955c-4226629adc0e,4,,,,3889182,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,['237d377c-79cb-43d0-87d0-5cff1cf85c2d'],0,,,,,,,,,,,,,,,,,,Napoli,227,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bcb9dd4d-b155-4ed7-82b6-95b09d5913dc,1549,,,,3889182,45,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,107,Napoli,227,['61c17b65-e7f5-42b7-9633-ebe4fc7ef580'],0,,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,61c17b65-e7f5-42b7-9633-ebe4fc7ef580,1550,,,,3889182,45,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,107,Napoli,227,['bcb9dd4d-b155-4ed7-82b6-95b09d5913dc'],0,,,,,,,,,,,,,,,,,,Napoli,227,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,2.140902,,,,,,,,,,,,,,33823a73-0712-4e26-a860-9eacbbbf7806,5,,,"[61.0, 40.1]",3889182,0,,,,1.5676811,,Right Foot,,"[61.1, 72.2]",,Ground Pass,,32.100155,,,Massimo Mauro,39832.0,,,,,,Kick Off,1,From Kick Off,Aldo Serena,398842.0,Right Center Forward,2,Juventus,224,['29be844c-dc1a-4dfb-83d8-04fea9eebf33'],0,,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.043,Pass,
,,,,,,,,,,,,,,,,,,,1.363239,,,,,,,,,,,,,,475abc2d-8808-4c17-99c1-0d577dfc4b9e,11,,,"[72.0, 66.9]",3889182,0,,,,-1.7341624,,Left Foot,,"[69.0, 48.7]",,Ground Pass,,18.445595,,,Lionello Manfredonia,398845.0,,,,,,,1,From Kick Off,Massimo Mauro,39832.0,Right Wing Back,2,Juventus,224,"['b4a4a7b0-df08-41ed-bf57-891338c200c0', 'c9e5d56b-1ea1-4218-88d6-4096cd6eee92']",6,,,,,,,,,,,,,,,,,,Juventus,224,00:00:06.717,Pass,True
,,,,,,,,,,,,,,,,,,,1.178727,,,,,,,,,,,,,,d3989c48-de8b-4109-95d4-deec7fedad3e,18,,,"[66.1, 44.0]",3889182,0,,,,-1.3899968,,Left Foot,,"[69.5, 25.4]",,Ground Pass,,18.9082,,,Antonio Cabrini,398844.0,,,,,,,1,From Kick Off,Lionello Manfredonia,398845.0,Left Center Midfield,2,Juventus,224,['37bd93e0-8b35-41a4-bdff-57acaa9ecc74'],10,,,,,,,,,,,,,,,,,,Juventus,224,00:00:10.027,Pass,
,,,,,,,,,,,,,,,,,,,3.707852,,,,,,,,,,,,,,6c9767f2-939a-445e-9fbf-58772c81d603,21,,,"[68.5, 24.2]",3889182,0,,,,-0.8834806,,Left Foot,,"[88.2, 0.2]",,Ground Pass,,31.049799,Out,,,,,,,,,,1,From Kick Off,Antonio Cabrini,398844.0,Left Wing Back,2,Juventus,224,,11,,,,,,,,,,,,,,,,,,Juventus,224,00:00:11.487,Pass,
