50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7ddcad31-7609-4203-bf02-4a10dc336cdf,1,,,3878554,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 38312, 'name': 'Eugenio Lamanna'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 7176, 'name': 'Sebastian De Maio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 7467, 'name': 'Nicolás Andrés Burdisso'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 8}, {'player': {'id': 9940, 'name': 'Armando Izzo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4369, 'name': 'Issa Cissokho'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 90}, {'player': {'id': 5717, 'name': 'Diego Sebastián Laxalt Suárez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 93}, {'player': {'id': 26728, 'name': 'Alberto Facundo Costa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 7475, 'name': 'Tomás Eduardo Rincón Hernández'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 88}, {'player': {'id': 10530, 'name': 'Jules Olivier Ntcham'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 3556, 'name': 'Serge Gakpé'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 13}, {'player': {'id': 7146, 'name': 'Goran Pandev'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]}",Genoa,233,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8b59d261-639a-46da-bb0a-e01b66d971b4,2,,,3878554,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 9887, 'name': 'Rafael de Andrade Bittencourt Pinheiro'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 31488, 'name': 'Vangelis Moras'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 7695, 'name': 'Samuel Souprayen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 69}, {'player': {'id': 32119, 'name': 'Leandro Greco'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 7020, 'name': 'Jacopo Sala'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 5512, 'name': 'Emil Hallfreðsson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 26442, 'name': 'Boško Janković'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 386651, 'name': 'Juan Ignacio Gómez Taleb'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 20252, 'name': 'Luca Toni'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Hellas Verona,226,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2e714d84-08d5-4168-9b8e-feb4671a8b17,3,,,3878554,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,['a7ed7ef3-f0ca-46ef-af63-0ad19295bb9c'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a7ed7ef3-f0ca-46ef-af63-0ad19295bb9c,4,,,3878554,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,['2e714d84-08d5-4168-9b8e-feb4671a8b17'],0,,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,db7adaa1-5c16-4e6d-a25f-2815b286bd4b,1621,,,3878554,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,95,Genoa,233,['7c976f62-271e-4f94-ba91-dcd6dc994117'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7c976f62-271e-4f94-ba91-dcd6dc994117,1622,,,3878554,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,95,Genoa,233,['db7adaa1-5c16-4e6d-a25f-2815b286bd4b'],0,,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.476041,,,,,,,,,,,,,7baa636e-8a67-4a6d-9b0e-536dd9ac9a24,5,,"[61.0, 40.1]",3878554,0,True,,,2.0344439,,Right Foot,,,"[60.2, 41.7]",,Ground Pass,,1.7888544,,,,Luca Toni,20252.0,,,,,Kick Off,1,From Kick Off,Juan Ignacio Gómez Taleb,386651.0,Left Wing,2,Hellas Verona,226,['cee4cede-802c-4073-bbc8-16a1b98d68fb'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.435,Pass,
,,,,,,,,,,,,,,,,2.18105,,,,,,,,,,,,,a72aeb7d-0715-448e-955b-aa9f7a45b76d,7,,"[60.4, 42.7]",3878554,0,,,,3.012682,,Right Foot,,,"[33.4, 46.2]",,Ground Pass,,27.225906,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,From Kick Off,Luca Toni,20252.0,Center Forward,2,Hellas Verona,226,['ea7b119c-20ac-40dd-a9f8-fb034092f46a'],1,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:01.148,Pass,
,,,,,,,,,,,,,,,,1.787144,,,,,,,,,,,,,18d52214-ac5b-4e0e-b8e8-8d7d42df03ec,10,,"[28.4, 53.9]",3878554,0,,,,0.07116272,,Right Foot,,,"[77.5, 57.4]",,High Pass,,49.224586,,,,Luca Toni,20252.0,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Right Center Back,2,Hellas Verona,226,['5d8d18c7-cf10-435f-8eec-1c40e54d2215'],4,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:04.630,Pass,
,,,,,,,,,,,,,,,,3.862731,,,,,,,,,,,,,d810dd9b-b1ec-43e6-aee0-d2cf1b875558,12,,"[77.5, 57.4]",3878554,0,,,,0.10583023,,Head,,,"[104.8, 60.3]",,Low Pass,,27.453598,,Incomplete,,Jacopo Sala,7020.0,,,,,,1,From Kick Off,Luca Toni,20252.0,Center Forward,2,Hellas Verona,226,"['59eda72e-5d1c-423e-9b69-e56a3fd24915', 'fc2dcc4e-ece0-4980-88ee-aa381d4df10a']",6,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:06.577,Pass,
,,,,,,,,,,,,,,,,1.301977,,,,,,,,,,,,,95cd9dcd-5edd-438c-9188-0e260c8018f8,16,,"[16.1, 15.4]",3878554,0,,,,-0.9038881,,Left Foot,,,"[27.2, 1.3]",,Ground Pass,,17.944916,,,,Armando Izzo,9940.0,,,,,,1,From Kick Off,Nicolás Andrés Burdisso,7467.0,Center Back,2,Hellas Verona,226,['10189187-a611-44fa-b17b-0b887541ee4a'],11,,,,,,,,,,,,,,,,,,Genoa,233,00:00:11.166,Pass,
,,,,,,,,,,,,,,,,0.881162,,,,,,,,,,,,,9ea87ac9-f02e-4aba-9b61-63036950a7d4,20,,"[27.1, 0.8]",3878554,0,,,,-0.22923194,,Left Foot,,,"[30.1, 0.1]",,Ground Pass,,3.0805843,,Out,,,,,,,,,1,From Kick Off,Armando Izzo,9940.0,Left Center Back,2,Hellas Verona,226,['3233c32d-09ed-49b5-9717-2b2f238fb0ba'],12,,,,,,,,,,,,,,,,,,Genoa,233,00:00:12.714,Pass,True
