50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2001c2fa-209d-43c0-aed6-6aaf84054cde,1,,,3878601,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7018, 'name': 'Emiliano Viviano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 2}, {'player': {'id': 387417, 'name': 'Mattia Cassani'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 7019, 'name': 'Matías Agustín Silvestre'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 9884, 'name': 'Niklas Moisander'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 7012, 'name': 'Vasco Regini'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 16586, 'name': 'Fernando Lucas Martins'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 36364, 'name': 'Dávid Ivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 95}, {'player': {'id': 7009, 'name': 'Édgar Osvaldo Barreto Cáceres'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6334, 'name': 'Luis Fernando Muriel Fruto'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 24}, {'player': {'id': 7000, 'name': 'Eder Citadin Martins'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 6759, 'name': 'Roberto Soriano'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Sampdoria,234,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,33fc667e-e10f-4fef-bc13-e0e43b6b54ae,2,,,3878601,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 7174, 'name': 'Antonio Mirante'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 83}, {'player': {'id': 7704, 'name': 'Alex Ferrari'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 7142, 'name': 'Luca Rossettini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 8849, 'name': 'Domenico Maietta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 7169, 'name': 'Adam Masina'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 8851, 'name': 'Saphir Sliti Taïder'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8280, 'name': 'Godfred Donsah'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 30}, {'player': {'id': 34565, 'name': 'Anthony Mounier'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 7775, 'name': 'Emanuele Giaccherini'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 45591, 'name': 'Franco Brienza'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 8103, 'name': 'Mattia Destro'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Bologna,240,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9d68bc10-7728-45cc-9fc3-56224267adb8,3,,,3878601,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,['818af336-5369-41e3-a559-ce0fe4ac4217'],0,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,818af336-5369-41e3-a559-ce0fe4ac4217,4,,,3878601,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,['9d68bc10-7728-45cc-9fc3-56224267adb8'],0,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e81367cc-7416-4510-83be-2e6b16b06451,1891,,,3878601,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,92,Sampdoria,234,['7c52feb7-673e-4dd1-9297-eae84bc48ef2'],0,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7c52feb7-673e-4dd1-9297-eae84bc48ef2,1892,,,3878601,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,92,Sampdoria,234,['e81367cc-7416-4510-83be-2e6b16b06451'],0,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.471812,,,,,,,,,,,,,9772b8dd-4820-4cf6-9cde-6887fae88c40,5,,"[60.0, 40.0]",3878601,0,,True,,,2.0607536,,Right Foot,,,,"[59.2, 41.5]",,Ground Pass,,1.7,,,,,Roberto Soriano,6759.0,,,,,Kick Off,1,From Kick Off,Eder Citadin Martins,7000.0,Left Wing,2,Sampdoria,234,['3460177e-c400-4e96-a31c-6b94e66ab144'],0,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.684,Pass,
,,,,,,,,,,,,,,,,,,1.568461,,,,,,,,,,,,,fd42d6b7-13a7-4066-ab39-5ca445c912c2,7,,"[58.2, 42.3]",3878601,0,,,,,2.0518503,,Right Foot,,,,"[47.5, 62.8]",,Ground Pass,,23.124447,,,,,Mattia Cassani,387417.0,,,,,,1,From Kick Off,Roberto Soriano,6759.0,Center Forward,2,Sampdoria,234,['edae87c8-c608-4116-9ff5-25ad069b89b3'],1,,,,,,,,,,,,,,,,Sampdoria,234,00:00:01.346,Pass,
,,,,,,,,,,,,,,,,,,1.425611,,,,,,,,,,,,,dd6b139a-9f51-4a5c-87f7-c2a9391685af,10,,"[51.0, 73.3]",3878601,0,,,,,-0.2511936,,Right Foot,,,,"[88.8, 63.6]",,High Pass,,39.024734,,,,,Roberto Soriano,6759.0,,,,,,1,From Kick Off,Mattia Cassani,387417.0,Right Back,2,Sampdoria,234,['95c5660a-810f-46c1-9683-30cbfb79ad99'],5,,,,,,,,,,,,,,,,Sampdoria,234,00:00:05.777,Pass,
,,,,,,,,,,,,,,,,,,2.753221,,,,,,,,,,,,,9a7b5e2e-29d4-424d-ad2d-c24fab74bcd4,18,,"[21.6, 15.1]",3878601,0,,,,,1.8450892,,Left Foot,,,,"[15.1, 38.2]",,Ground Pass,,23.997084,,,,,Luca Rossettini,7142.0,,,,,,1,From Kick Off,Adam Masina,7169.0,Left Back,2,Sampdoria,234,['4e51ef0d-d632-41fa-8466-992768f2b9d2'],10,,,,,,,,,,,,,,,,Bologna,240,00:00:10.526,Pass,
