50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,58a1dc96-c738-4d08-8b11-e0ccd6e32614,1,,,,3878603,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 3577, 'name': 'Molla Wagué'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 46670, 'name': 'Iván Rodrigo Piris Leguizamón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 89}, {'player': {'id': 25116, 'name': 'Edenílson Andrade dos Santos'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 21}, {'player': {'id': 8191, 'name': 'Ali Adnan Kadhim Al Tameemi'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 53}, {'player': {'id': 6743, 'name': 'Manuel Rolando Iturra Urrutia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 33529, 'name': 'Panagiotis Giorgios Kone'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 33}, {'player': {'id': 19846, 'name': 'Antonio Di Natale'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 7017, 'name': 'Duván Esteban Zapata Banguera'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Udinese,230,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1bd0525c-a1be-486b-af3e-304b568e6d67,2,,,,3878603,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 11508, 'name': 'Łukasz Skorupski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 7155, 'name': 'Vincent Laurini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7160, 'name': 'Lorenzo Tonelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 17520, 'name': 'Federico Barba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 7151, 'name': 'Mário Rui Silva Duarte'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 3412, 'name': 'Assane Dioussé El Hadji'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 40251, 'name': 'Daniele Croce'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 7150, 'name': 'Riccardo Saponara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 7054, 'name': 'Manuel Pucciarelli'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 40252, 'name': 'Massimo Maccarone'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Empoli,290,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f3dc4408-12f9-410b-947e-0d5bfb744e4b,3,,,,3878603,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,['b4f6b650-7805-4148-9fc2-8920a45a56dd'],0,,,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b4f6b650-7805-4148-9fc2-8920a45a56dd,4,,,,3878603,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,['f3dc4408-12f9-410b-947e-0d5bfb744e4b'],0,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,94a4d8da-24ec-4925-88b3-8e87d89d13ff,1781,,,,3878603,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,111,Empoli,290,['787cc9dc-c7b5-470a-9b1c-d80af5357bcf'],0,,,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,787cc9dc-c7b5-470a-9b1c-d80af5357bcf,1782,,,,3878603,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,111,Empoli,290,['94a4d8da-24ec-4925-88b3-8e87d89d13ff'],0,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.45912,,,,,,,,,,,,1534c4c1-604d-4ae9-833a-d7c8ce7e3a4a,5,,,"[61.0, 40.1]",3878603,0,,,,,1.5978168,,Right Foot,,,"[60.9, 43.8]",,Ground Pass,,3.7013512,,,Duván Esteban Zapata Banguera,7017.0,,,,,,Kick Off,1,From Kick Off,Antonio Di Natale,19846.0,Right Center Forward,2,Udinese,230,['cb5d5f61-89da-4aaf-9baa-93a7052fcb0d'],0,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.413,Pass,
,,,,,,,,,,,,,,,,1.931847,,,,,,,,,,,,f3e23014-f54b-4fc0-acfa-03831af74830,8,,,"[60.9, 44.6]",3878603,0,,,,,-3.0138516,,Right Foot,,,"[39.1, 41.8]",,Ground Pass,,21.97908,,,Danilo Larangeira,7799.0,,,,,,,1,From Kick Off,Duván Esteban Zapata Banguera,7017.0,Left Center Forward,2,Udinese,230,['0941b1d0-6034-44dd-a994-8c65b9df6842'],0,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.952,Pass,
,,,,,,,,,,,,,,,,4.752443,,,,,,,,,,,,166ec02e-a17a-4f53-abe4-e007edca9669,11,,,"[43.4, 42.4]",3878603,0,,,,,-0.24529703,,Right Foot,,,"[117.3, 23.9]",,High Pass,,76.18044,Incomplete,,Ali Adnan Kadhim Al Tameemi,8191.0,,,,,,,1,From Kick Off,Danilo Larangeira,7799.0,Center Back,2,Udinese,230,"['2ce72171-8f2f-4895-a50d-590b7edc1fdf', '792b51e0-9597-40aa-84ee-a709c12d0e02']",3,,,,,,,,,,,,,,,,,Udinese,230,00:00:03.739,Pass,
,,,,,,,,,,,,,,,,2.451732,,,,,,,,,,,,64e9fa46-7bf3-4880-a840-304ffde5586e,14,,,"[12.0, 40.6]",3878603,0,,True,,,-0.96938074,,Keeper Arm,,,"[35.4, 6.5]",,High Pass,,41.35662,,,Mário Rui Silva Duarte,7151.0,,,,,,,1,From Kick Off,Łukasz Skorupski,11508.0,Goalkeeper,2,Udinese,230,['4647ffea-266b-43c7-876d-3ce1496e3540'],15,,,,,,,,,,,,,,,,,Empoli,290,00:00:15.320,Pass,
